county,barony,holding,built_date,seed_source,pixels,status,ck2_province,ck2_province_name,capital,later_bookmark
c_tarmalune,b_tarmalune,city_holding,initial,capital_position,847,placed,1638,Tarmalune,yes,no
c_tarmalune,b_arendenmore,castle_holding,initial,sampled,815,placed,1638,Tarmalune,no,no
c_tarmalune,b_dawnside,city_holding,initial,port_position,816,placed,1638,Tarmalune,no,no
c_tarmalune,b_maerhavel,church_holding,initial,sampled,1040,placed,1638,Tarmalune,no,no
c_ramekho,b_ramekho,city_holding,initial,capital_position,1079,placed,1630,Ramekho,yes,no
c_imdolphyn,b_imdolphyn,city_holding,initial,capital_position,799,placed,1628,Imdolphyn,yes,no
c_imdolphyn,b_dexal,castle_holding,initial,sampled,416,placed,1628,Imdolphyn,no,no
c_harglast,b_harglast,city_holding,initial,capital_position,1437,placed,1625,Harglast,yes,no
c_harglast,b_ironguard,castle_holding,initial,sampled,802,placed,1625,Harglast,no,no
c_fanedown,b_fanedown,city_holding,initial,capital_position,2919,placed,1637,Fanedown,yes,no
c_fanedown,b_mraelarneka,castle_holding,initial,sampled,1247,placed,1637,Fanedown,no,no
c_orgymist,b_orgymist,tribal_holding,initial,capital_position,3159,placed,1629,Orgymist,yes,no
c_maskath,b_maskath,tribal_holding,initial,capital_position,3092,placed,1631,Maskath,yes,no
c_sambral,b_sambral,castle_holding,initial,capital_position,2255,placed,1626,Sambral,yes,no
c_sambral,b_the_high_rise,city_holding,initial,port_position,1067,placed,1626,Sambral,no,no
c_ishamar_isles,b_ishamar,tribal_holding,initial,capital_position,3057,placed,1627,Ishamar Isles,yes,no
c_lylorn,b_lylorn,city_holding,initial,capital_position,2559,placed,2150,Lylorn,yes,no
c_lylorn,b_arombar,castle_holding,initial,sampled,1677,placed,2150,Lylorn,no,no
c_marrauk,b_marrauk,city_holding,initial,capital_position,4335,placed,2151,Marrauk,yes,no
c_amral,b_amral,castle_holding,initial,capital_position,4821,placed,2394,Amral,yes,no
c_tarsith,b_tarsith,city_holding,initial,capital_position,3093,placed,2146,Tarsith,yes,no
c_tarsith,b_kust,castle_holding,initial,sampled,1569,placed,2146,Tarsith,no,no
c_telox,b_telox,tribal_holding,initial,capital_position,3616,placed,2145,Telox,yes,no
c_gontal_pass,b_djerad_saari,castle_holding,initial,capital_position,2439,placed,2148,Gontal Pass,yes,no
c_aradiman,b_aradiman,tribal_holding,initial,capital_position,4032,placed,2149,Aradiman,yes,no
c_mreyelundar,b_mreyelundar,city_holding,initial,capital_position,2464,placed,2147,Mreyelundar,yes,no
c_mreyelundar,b_dragonwing,church_holding,initial,sampled,1075,placed,2147,Mreyelundar,no,no
c_dusklan,b_dusklan,city_holding,initial,capital_position,1006,placed,2154,Dusklan,yes,no
c_dusklan,b_rondim,church_holding,initial,sampled,404,placed,2154,Dusklan,no,no
c_brittlebone_coast,b_brittlebone_well,tribal_holding,initial,capital_position,2894,placed,2155,Brittlebone Coast,yes,no
c_oraundil,b_maranetha,tribal_holding,initial,capital_position,1977,placed,2156,Oraundil,yes,no
c_graxan_forest,b_graxan,tribal_holding,initial,capital_position,7231,placed,2157,Graxan Forest,yes,no
c_arashand,b_arashand,tribal_holding,initial,capital_position,4350,placed,2158,Arashand,yes,no
c_marangor,b_marangor,castle_holding,initial,capital_position,1201,placed,1665,Marangor,yes,no
c_marangor,b_oriph,city_holding,initial,port_position,838,placed,1665,Marangor,no,no
c_marangor,b_araxaur,church_holding,initial,sampled,763,placed,1665,Marangor,no,no
c_kaluth,b_kaluth,castle_holding,initial,capital_position,2584,placed,1666,Kaluth,yes,no
c_lamrar,b_lamrar,castle_holding,initial,capital_position,1238,placed,1663,Lamrar,yes,no
c_lamrar,b_maura_rauth,city_holding,initial,port_position,1069,placed,1663,Lamrar,no,no
c_daerr,b_daerr,castle_holding,initial,capital_position,2997,placed,1667,Daerr,yes,no
c_daerr,b_corglaak,city_holding,initial,port_position,1151,placed,1667,Daerr,no,no
c_ulvarr,b_ulvarr,castle_holding,initial,capital_position,2616,placed,1668,Ulvarr,yes,no
c_maeynda,b_djerad_aramazath,castle_holding,initial,capital_position,2902,placed,1669,Maeynda,yes,no
c_glarn,b_glarn,castle_holding,initial,capital_position,3769,placed,1657,Glarn,yes,no
c_glarn,b_tyebar,city_holding,initial,port_position,1601,placed,1657,Glarn,no,no
c_arangyn,b_arangyn,castle_holding,initial,capital_position,1779,placed,1656,Arangyn,yes,no
c_arangyn,b_djerad_azaurand,city_holding,initial,port_position,631,placed,1656,Arangyn,no,no
c_mratanga,b_mratanga,castle_holding,initial,capital_position,4934,placed,1658,Mratanga,yes,no
c_tymanchebar,b_tetath,castle_holding,initial,capital_position,2007,placed,1660,Tymanchebar,yes,no
c_tymanchebar,b_mandisk,city_holding,initial,port_position,0,demoted,1660,Tymanchebar,no,no
c_narvarr,b_narvarr,castle_holding,initial,capital_position,2938,placed,1659,Narvarr,yes,no
c_narvarr,b_thera,city_holding,initial,port_position,1766,placed,1659,Narvarr,no,no
