county,defined,built,max_settlements
c_abarun,7,1,3
c_abreon,7,2,3
c_achelar,7,2,3
c_adamas_tooth,7,2,3
c_adbarrim,7,4,5
c_addak,7,1,3
c_adder_swamp,7,1,3
c_adder_woods,7,1,3
c_adderspring,7,1,3
c_adhal,7,2,3
c_adrila,7,1,2
c_aerilpar_forest,7,1,3
c_ahlarkhem,7,3,4
c_ahma,7,1,3
c_ahruukar,10,3,4
c_ahtitlak,7,1,2
c_aib,7,3,3
c_aina,7,2,4
c_airspur,7,2,5
c_ajayib,7,4,5
c_ajmer_forest,7,1,3
c_akaam,7,2,3
c_akanax,7,2,3
c_akararbasa,7,1,3
c_akashay,7,1,3
c_akshu,7,3,4
c_al_abib,7,1,3
c_al_anwahr,7,1,2
c_al_asirr,7,3,5
c_al_azra,7,2,4
c_al_faddi,7,1,3
c_al_faraq_islands,7,1,3
c_al_hanieh,7,1,3
c_al_harir,7,2,3
c_al_harmah,7,2,3
c_al_haul,7,1,3
c_al_kidr,7,1,5
c_al_kurtum,7,2,3
c_al_mahabanah,7,1,3
c_al_malih,7,2,3
c_al_munamma,7,2,3
c_al_nuziyyah,7,2,3
c_al_qahera,7,3,3
c_al_sarif,7,1,3
c_al_tarik_islands,7,1,3
c_al_wahl,7,2,3
c_al_zabdiyat,7,1,3
c_alaghon,7,5,6
c_alamaqu,7,1,3
c_alamirs_end,7,3,3
c_alamontyr,7,3,3
c_alaoreum,7,1,4
c_alashan,7,4,5
c_aldani_basin,7,1,3
c_aldoman,7,1,3
c_aldreth,7,2,4
c_alisiwhann,7,3,3
c_almawt,7,1,3
c_almorel,7,2,3
c_almraiven,7,3,4
c_alonmarch,7,3,4
c_alorev,7,1,4
c_alphar_and_kelthan,7,2,3
c_aluar,7,2,4
c_aluivyn,7,3,4
c_aman,7,1,3
c_amarrev,9,1,3
c_amassa,7,1,3
c_amazandar,7,3,5
c_amekufa,7,3,3
c_amkethran,7,3,4
c_ammathluir,7,2,3
c_ammathtar,7,3,4
c_amnwater,7,4,5
c_amphail,7,3,3
c_amral,6,1,4
c_amruthar,7,2,3
c_amry,7,2,3
c_amstelar,7,2,3
c_amtar_eave,7,1,3
c_anarath,7,1,3
c_anauril,7,1,4
c_ancients_hollow,7,1,3
c_angast,7,3,4
c_angol,7,2,3
c_anhaurz,7,2,3
c_ankatatra,7,1,3
c_ankhapur,7,4,5
c_ankhur,7,3,4
c_ankhwood,7,1,3
c_anklis_and_qusur,7,1,3
c_anktarina,7,1,3
c_ansi,7,1,4
c_ar_rasumah,7,1,3
c_araash,10,1,3
c_arabalar,7,2,3
c_arabel,7,4,5
c_aradiman,7,1,4
c_arael_hills,10,1,3
c_araksa,7,3,4
c_araneh,7,2,3
c_arangyn,7,2,4
c_arashand,7,1,4
c_araugul,7,1,4
c_arcata,7,2,3
c_arch_wood,7,1,2
c_archenbridge,7,3,4
c_archtassel,7,2,2
c_ardeep_forest,8,3,4
c_ardeepsward,7,2,3
c_ardhi_kavu,7,3,3
c_aretax_bay,7,1,3
c_argaervale,9,1,4
c_argenmoor,7,1,4
c_argul,7,1,4
c_arjol,7,1,3
c_armridge,7,1,3
c_arn_forest,7,1,4
c_arnrock,7,1,2
c_arrabar,7,4,6
c_arran,7,3,4
c_arthyn,7,2,3
c_arylon,7,1,4
c_asbravn,7,1,3
c_ascalhorn,7,4,5
c_ascore,7,1,4
c_ashabenford,8,3,4
c_ashanvast,7,1,2
c_ashenwood,7,1,3
c_asher_plain,7,1,3
c_ashfields,7,2,4
c_aspervi,7,1,3
c_assam,7,2,3
c_assundath,7,2,3
c_atai,7,1,4
c_atars_looking_glass,7,1,2
c_athab_cape,7,2,3
c_athkatla,8,5,6
c_atoratgins,7,1,3
c_aurils_end,7,1,2
c_aurora,7,1,2
c_aval,7,1,3
c_avax,7,2,3
c_avyn,7,1,3
c_axard,7,2,3
c_azhul_pass,7,1,2
c_aznawood,7,1,3
c_aztul,7,2,3
c_azun,7,2,3
c_azuni,7,2,3
c_bab_al_gaba,7,2,3
c_babado,7,3,3
c_baelrah,7,2,3
c_bahat,7,1,3
c_bakhuk,7,1,3
c_balaj,7,1,4
c_baldurs_gate,8,4,7
c_bamas,7,1,3
c_banai,7,1,3
c_banda,7,1,3
c_banlm,7,1,3
c_banu,7,3,4
c_bara,7,1,4
c_barakuir,7,0,
c_barbarians_road,7,1,3
c_bardshyr,7,3,3
c_bariya,7,1,3
c_barrowfield,7,2,3
c_barze,7,1,4
c_bathme,7,2,3
c_batiriland,7,1,3
c_battle_of_bones,8,1,3
c_bauthwaf,7,3,4
c_beacon_cairn,7,1,3
c_beacon_rocks,7,1,2
c_beast_country,7,1,2
c_beast_lands,7,1,3
c_beast_marches,7,2,3
c_beastburn,7,1,3
c_beasts_coast,7,1,2
c_beland,7,1,3
c_beldenshyn,7,1,3
c_belhancol,7,3,3
c_beliard,8,2,3
c_belintholme,7,2,3
