scope,key_path,uses,distinct_values,sample_values
characters,<date>,47107,0,
characters,trait,38473,634,creature_human | creature_orc | cruel | creature_dwarf | ambitious | creature_elf
characters,name,18124,15038,  | Manshoon | Ali | Amahl | Jan | Darius
characters,culture,18124,335,highcoaster | cormyrean | orc | amnian | tethyrian | draeven
characters,religion,18124,81,triadic | mercantile | inventive | martial_faith | calishite_faith | arcane
characters,<date>/birth,18124,1,True
characters,<date>/death,18124,1,True
characters,dynasty,17484,5735,500 | 6800 | 6500 | 504 | 509 | 518
characters,father,9658,7657,2 | 49480 | 56001 | 45002 | 5310 | 61026
characters,female,5134,2,True | False
characters,mother,3834,2645,45001 | 5001 | 61430 | 69111 | 329 | 350
characters,<date>/immortal_age,3421,53,30 | 50 | 40 | 60 | 20 | 16
characters,<date>/death/death_reason,3108,80,death_battle | death_murder | death_duel | death_missing | death_natural | death_spellplague
characters,<date>/employer,2833,916,7001 | 3 | 33002 | 15001 | 15122 | 2007
characters,<date>/add_trait,2477,723,longevity | absent | adventurer | lich | avatar | lunatic
characters,<date>/effect,2112,0,
characters,<date>/death/killer,1307,828,3 | 53001 | 28031 | 28299 | 9047 | 56001
characters,<date>/culture,1150,121,highcoaster | hadhar | yuanti | tethyrian | nelanthern | amnian
characters,<date>/remove_trait,1070,178,absent | adventurer | creature_human | sahuagin_warrior | trained_fighter | trained_wizard
characters,<date>/give_nickname,1032,832,nick_the_younger | nick_the_old | nick_the_red | nick_the_black | nick_the_great | nick_the_wise
characters,<date>/add_spouse,857,830,49445 | 62200 | 20061 | 20205 | 66229 | 49480
characters,<date>/trait,681,178,longevity | has_bubonic_plague | sahuagin_warrior | sahuagin_chief | dead_crown_fylkir | master_fighter
characters,learning,633,24,8 | 7 | 9 | 10 | 6 | 4
characters,<date>/effect/add_friend,587,339,3 | 4 | 50759 | 117 | 2043 | 2047
characters,martial,547,18,8 | 7 | 6 | 5 | 4 | 9
characters,intrigue,410,20,7 | 8 | 6 | 5 | 4 | 9
characters,<date>/effect_even_if_dead,407,0,
characters,<date>/effect/add_rival,380,260,2057 | 2052 | 53095 | 2058 | 231 | 2051
characters,<date>/religion,375,50,shadow_gods | dead_three | blue_flame | church_of_cyric | uthgardt_faith | triadic
characters,<date>/effect/set_character_flag,371,67,sorc_originrevealed | lycan_court | undead_court | local_court | secret_dragon | no_family
characters,diplomacy,366,18,6 | 7 | 8 | 5 | 4 | 3
characters,stewardship,342,15,7 | 8 | 6 | 4 | 5 | 3
characters,easter_egg,336,2,True | False
characters,<date>/effect/join_society,312,26,arcane_brotherhood | harpers | cult_of_the_dragon | knight_order_samular | black_network | eldreth_veluuthra
characters,dna,220,212,calhgogcedd | nffmcpniplm | ikcokblnpka | bpjfoagnodc | kmiajmkccci | hgbjelgdffm
characters,<date>/effect_even_if_dead/set_graphical_culture,202,51,lich | dracolich | vampire | wight | undeadelf | lichelf
characters,secret_religion,171,18,shadow_gods | dead_three | loviatar | infernal | abyssal_cult | thasmudyanic
characters,disallow_random_traits,163,1,True
characters,<date>/add_matrilineal_spouse,156,156,47 | 105 | 104 | 196 | 305 | 339
characters,<date>/effect/add_lover,146,132,9047 | 62200 | 23 | 15036 | 2029 | 56001
characters,<date>/name,145,116,Obould | Shoon | Tyranthraxus | Helmont | Khelben | Leodom
characters,<date>/effect_even_if_dead/set_special_character_title,131,58,HIGHMAGE | PALADINKING | DUKE | WARCAPTAIN | MEISARCH | AXE_M
characters,<date>/effect/give_job_title,112,5,job_marshal | job_chancellor | job_spiritual | job_treasurer | job_spymaster
