ck2_code,occurrences,scope_chain,function,status,ck3_code,evidence
[From.GetTitledFirstName],8248,From,GetTitledFirstName,mapped,[ck2_from.GetTitledFirstName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:45
[From.GetFirstName],7151,From,GetFirstName,mapped,[ck2_from.GetFirstName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:47
[From.GetSheHe],3146,From,GetSheHe,mapped,[ck2_from.GetSheHe],Faerun/Faerun/localisation/000_generalvanillaloc.csv:46
[From.GetHerHis],3073,From,GetHerHis,mapped,[ck2_from.GetHerHis],Faerun/Faerun/localisation/000_generalvanillaloc.csv:46
[Root.GetTitledFirstName],2767,Root,GetTitledFirstName,mapped,[ROOT.Char.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:46
[From.GetTitledName],2271,From,GetTitledName,mapped,[ck2_from.GetTitledFirstName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:280
[Root.Get_E],2198,Root,Get_E,custom,[ROOT.Char.Custom('Get_E')],Faerun/Faerun/localisation/000_shou_lung.csv:2715
[From.GetSheHeCap],2145,From,GetSheHeCap,mapped,[ck2_from.GetSheHe|U],Faerun/Faerun/localisation/000_shou_lung.csv:17
[This.GetTitledFirstName],1815,This,GetTitledFirstName,mapped,[THIS.Char.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:740
[From.GetHerHim],1698,From,GetHerHim,mapped,[ck2_from.GetHerHim],Faerun/Faerun/localisation/000_generalvanillaloc.csv:5
[Root.GetFirstName],1604,Root,GetFirstName,mapped,[ROOT.Char.GetFirstName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:286
[From.Get_E],1381,From,Get_E,custom,[ck2_from.Custom('Get_E')],Faerun/Faerun/localisation/000_generalvanillaloc.csv:234
[GetFromRelation],1359,,GetFromRelation,custom_unverified,[ROOT.Char.Custom('GetFromRelation')],Faerun/Faerun/localisation/000_shou_lung.csv:261
[FromFrom.GetTitledFirstName],1204,FromFrom,GetTitledFirstName,mapped,[ck2_fromfrom.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:254
[Root.GetTitle],1106,Root,GetTitle,mapped,[ROOT.Char.GetTitleAsName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:237
[From.GetIlElle],1100,From,GetIlElle,custom,[ck2_from.Custom('GetIlElle')],Faerun/Faerun/localisation/000_generalvanillaloc.csv:46
[Root.GetHerHis],1027,Root,GetHerHis,mapped,[ROOT.Char.GetHerHis],Faerun/Faerun/localisation/000_shou_lung.csv:754
[Root.Capital.GetName],947,Root.Capital,GetName,mapped,[ROOT.Char.GetCapitalLocation.GetName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:178
[From.GetIlElleCap],866,From,GetIlElleCap,custom,[ck2_from.Custom('GetIlElleCap')],Faerun/Faerun/localisation/000_shou_lung.csv:17
[From.Get_le_TitledFirstName],856,From,Get_le_TitledFirstName,custom,[ck2_from.Custom('Get_le_TitledFirstName')],Faerun/Faerun/localisation/000_generalvanillaloc.csv:46
[Root.Religion.GetName],830,Root.Religion,GetName,mapped,[ROOT.Char.GetFaith.GetName],Faerun/Faerun/localisation/000_casus_belli_changes.csv:17
[Root.Religion.GetHighGodName],803,Root.Religion,GetHighGodName,mapped,[ROOT.Char.GetFaith.HighGodName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:56
[From.Get_Le_TitledFirstName],779,From,Get_Le_TitledFirstName,custom,[ck2_from.Custom('Get_Le_TitledFirstName')],Faerun/Faerun/localisation/000_soi_muslim_honorary_titles_events_changes.csv:13
[Root.GetLordLady],767,Root,GetLordLady,mapped,[ROOT.Char.GetLadyLord],Faerun/Faerun/localisation/000_generalvanillaloc.csv:237
[Root.GetTitledName],724,Root,GetTitledName,mapped,[ROOT.Char.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:1364
[From.GetOA],686,From,GetOA,custom,[ck2_from.Custom('GetOA')],Faerun/Faerun/localisation/00_succession_voting.csv:5
[Root.Spouse.GetFirstName],622,Root.Spouse,GetFirstName,mapped,[ROOT.Char.GetPrimarySpouse.GetFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:2147
[From.GetBestName],593,From,GetBestName,mapped,[ck2_from.GetTitledFirstName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:9
[From.GetSocietyRank],586,From,GetSocietyRank,custom,[ck2_from.Custom('GetSocietyRank')],Faerun/Faerun/localisation/000_starpact.csv:144
[Root.Location.GetName],581,Root.Location,GetName,mapped,[ROOT.Char.GetLocation.GetName],Faerun/Faerun/localisation/000_job_actions_changes.csv:5
[Root.PrimaryTitle.GetName],560,Root.PrimaryTitle,GetName,mapped,[ROOT.Char.GetPrimaryTitle.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:64
[Root.GetOA],552,Root,GetOA,custom,[ROOT.Char.Custom('GetOA')],Faerun/Faerun/localisation/000_generalvanillaloc.csv:237
[FromFrom.GetFirstName],507,FromFrom,GetFirstName,mapped,[ck2_fromfrom.GetFirstName],Faerun/Faerun/localisation/05_oldgods_blot_events.csv:20
[From.GetManWoman],485,From,GetManWoman,custom,[ck2_from.Custom('GetManWoman')],Faerun/Faerun/localisation/000_shou_lung.csv:257
[Root.Religion.GetRandomGodName],476,Root.Religion,GetRandomGodName,mapped,[ROOT.Char.GetFaith.HighGodName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:16
[From.GetOnA],466,From,GetOnA,custom,[ck2_from.Custom('GetOnA')],Faerun/Faerun/localisation/000_generalvanillaloc.csv:234
