ck2_key,count,sources,samples
same_opinion,416,trait:00_traits.txt;trait:02_traits.txt;trait:04_battle_scars_and_tattoos_traits.txt;trait:05_LT_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:roleplaying_traits.txt;trait:template_traits.txt,lunatic=5;possessed=5;maimed=5
combat_rating,382,trait:00_traits.txt;trait:01_traits.txt;trait:02_traits.txt;trait:03_traits.txt;trait:04_battle_scars_and_tattoos_traits.txt;trait:05_LT_traits.txt;trait:Congenital_Traits.txt;trait:acquired_traits.txt;trait:character_class_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:roleplaying_traits.txt;trait:template_traits.txt,amateurish_plotter=2;flamboyant_schemer=4;intricate_webweaver=6
martial,283,building:00_buildings.txt;trait:00_traits.txt;trait:01_traits.txt;trait:02_traits.txt;trait:03_traits.txt;trait:05_LT_traits.txt;trait:Congenital_Traits.txt;trait:acquired_traits.txt;trait:character_class_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:roleplaying_traits.txt;trait:template_traits.txt,intricate_webweaver=1;elusive_shadow=2;naive_appeaser=-1
diplomacy,257,building:00_buildings.txt;trait:00_traits.txt;trait:02_traits.txt;trait:Congenital_Traits.txt;trait:acquired_traits.txt;trait:character_class_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:roleplaying_traits.txt;trait:template_traits.txt,intricate_webweaver=1;elusive_shadow=2;naive_appeaser=1
learning,240,building:00_buildings.txt;trait:00_traits.txt;trait:02_traits.txt;trait:Congenital_Traits.txt;trait:acquired_traits.txt;trait:character_class_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:template_traits.txt,charismatic_negotiator=1;grey_eminence=2;fortune_builder=1
intrigue,231,building:00_Class_building.txt;building:00_buildings.txt;trait:00_traits.txt;trait:02_traits.txt;trait:Congenital_Traits.txt;trait:acquired_traits.txt;trait:character_class_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:roleplaying_traits.txt;trait:template_traits.txt,amateurish_plotter=1;flamboyant_schemer=3;intricate_webweaver=6
stewardship,201,building:00_buildings.txt;trait:00_traits.txt;trait:02_traits.txt;trait:05_LT_traits.txt;trait:Congenital_Traits.txt;trait:acquired_traits.txt;trait:character_class_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:roleplaying_traits.txt;trait:template_traits.txt,amateurish_plotter=-1;flamboyant_schemer=-1;intricate_webweaver=-1
health,114,trait:00_traits.txt;trait:02_traits.txt;trait:05_LT_traits.txt;trait:Congenital_Traits.txt;trait:acquired_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:template_traits.txt,misguided_warrior=0.5;tough_soldier=0.5;skilled_tactician=0.5
tax_income,99,building:00_Castle.txt;building:00_Class_building.txt;building:00_buildings.txt;building:00_nomadic_tribal.txt;building:00_tradepost.txt;building:00_tribal.txt;building:unique_castle_buildings.txt;building:unique_city_buildings.txt,ca_wall_1=0.2;ca_wall_2=0.2;ca_wall_3=0.2
sex_appeal_opinion,91,trait:00_traits.txt;trait:02_traits.txt;trait:04_battle_scars_and_tattoos_traits.txt;trait:Congenital_Traits.txt;trait:acquired_traits.txt;trait:god_patron_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:template_traits.txt,lunatic=-10;possessed=-10;syphilitic=-10
fertility,74,building:00_buildings.txt;trait:00_traits.txt;trait:02_traits.txt;trait:Congenital_Traits.txt;trait:acquired_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:roleplaying_traits.txt;trait:template_traits.txt,underhanded_rogue=0.05;charismatic_negotiator=0.05;grey_eminence=0.1
fort_level,70,building:00_Castle.txt;building:00_Class_building.txt;building:00_buildings.txt;building:00_fort.txt;building:00_nomadic_tribal.txt;building:00_tradepost.txt;building:00_tribal.txt;building:unique_castle_buildings.txt;building:unique_city_buildings.txt,ca_wall_q_1=0.5;ca_wall_q_2=0.5;ca_wall_q_3=0.5
church_opinion,63,building:00_Class_building.txt;building:00_buildings.txt;building:00_hospital.txt;trait:00_traits.txt;trait:02_traits.txt;trait:character_class_traits.txt,drunkard=-5;crusader=15;gluttonous=-5
garrison_size,58,building:00_Castle.txt;building:00_Class_building.txt;building:00_buildings.txt;building:00_fort.txt;building:00_tradepost.txt;building:00_tribal.txt;building:00_undead_building.txt;building:unique_castle_buildings.txt;building:unique_city_buildings.txt,ca_con_wall_6=1.00;ca_keep_1=0.05;ca_keep_2=0.1
archers,56,building:00_Castle.txt;building:00_Class_building.txt;building:00_buildings.txt;building:00_tribal.txt;building:unique_castle_buildings.txt;building:unique_city_buildings.txt,ca_militia_barracks_1=10;ca_militia_barracks_2=50;ca_militia_barracks_3=90
levy_size,56,building:00_Castle.txt;building:00_buildings.txt;building:00_nomadic_tribal.txt;building:00_tribal.txt;building:00_undead_building.txt,ca_wall_1=0.025;ca_wall_2=0.025;ca_wall_3=0.05
light_infantry,51,building:00_Castle.txt;building:00_Class_building.txt;building:00_buildings.txt;building:00_nomadic_tribal.txt;building:00_tribal.txt;building:unique_castle_buildings.txt;command_modifier:00_traits.txt;command_modifier:02_traits.txt,command_modifier=0.2;command_modifier=0.1;ca_militia_barracks_1=80
damage,50,command_modifier:00_traits.txt;command_modifier:02_traits.txt;command_modifier:character_class_traits.txt;command_modifier:god_patron_traits.txt;command_modifier:misc_traits.txt;command_modifier:template_traits.txt,command_modifier=-0.1;command_modifier=0.1;command_modifier=0.2
vassal_opinion,49,trait:00_traits.txt;trait:02_traits.txt;trait:Congenital_Traits.txt;trait:acquired_traits.txt;trait:character_class_traits.txt;trait:god_patron_traits.txt;trait:religious_traits.txt;trait:roleplaying_traits.txt,lunatic=-5;hunchback=-5;genius=5
same_opinion_if_same_religion,48,trait:00_traits.txt;trait:01_traits.txt;trait:02_traits.txt;trait:03_traits.txt;trait:race_traits.txt,crusader=15;zealous=15;mujahid=15
text_effect_spell_tactics,48,trait:character_class_traits.txt,trained_bard=1;journeyman_bard=1;expert_bard=1
attrition,47,trait:02_traits.txt;trait:god_patron_traits.txt;trait:religious_traits.txt,logistics_expert=-0.5;patron_chauntea=-0.05;patron_malar=-0.05
monthly_character_prestige,43,building:00_buildings.txt;building:00_tradepost.txt;building:unique_city_buildings.txt;trait:00_traits.txt;trait:01_traits.txt;trait:02_traits.txt;trait:04_battle_scars_and_tattoos_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt,proud=0.5;scarred=0.1;born_in_the_purple=0.5
morale_offence,41,command_modifier:00_traits.txt;command_modifier:02_traits.txt;command_modifier:character_class_traits.txt;command_modifier:god_patron_traits.txt;command_modifier:template_traits.txt,command_modifier=0.1;command_modifier=0.1;command_modifier=0.15
light_cavalry,40,building:00_Castle.txt;building:00_Class_building.txt;building:00_buildings.txt;building:00_nomadic_tribal.txt;building:00_tribal.txt;command_modifier:god_patron_traits.txt,command_modifier=0.05;ca_stable_1=35;ca_stable_2=45
defence,38,command_modifier:00_traits.txt;command_modifier:02_traits.txt;command_modifier:character_class_traits.txt;command_modifier:god_patron_traits.txt;command_modifier:misc_traits.txt,command_modifier=0.2;command_modifier=0.25;command_modifier=-0.1
general_opinion,36,trait:00_traits.txt;trait:02_traits.txt;trait:05_LT_traits.txt;trait:Congenital_Traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt;trait:race_traits.txt;trait:roleplaying_traits.txt;trait:template_traits.txt,syphilitic=-5;leper=-20;kinslayer=-10
monthly_character_piety,35,building:00_buildings.txt;trait:00_traits.txt;trait:02_traits.txt;trait:god_patron_traits.txt;trait:misc_traits.txt,celibate=1;lustful=-0.25;chaste=0.5
opposite_opinion,34,trait:00_traits.txt;trait:01_traits.txt;trait:02_traits.txt;trait:04_battle_scars_and_tattoos_traits.txt;trait:race_traits.txt;trait:template_traits.txt,celibate=-5;hedonist=-5;chaste=-5
siege,34,command_modifier:00_traits.txt;command_modifier:02_traits.txt;command_modifier:character_class_traits.txt;command_modifier:god_patron_traits.txt,command_modifier=0.4;command_modifier=0.2;command_modifier=0.5
convert_to_castle,32,building:00_nomadic_tribal.txt;building:00_tribal.txt;building:00_tribal_giants.txt,tb_nomad_ranch_2=ca_town_1;tb_nomad_ranch_4=ca_town_2;tb_horde_fort_2=ca_wall_1
convert_to_city,32,building:00_nomadic_tribal.txt;building:00_tribal.txt,tb_nomad_ranch_2=ct_marketplace_1;tb_nomad_ranch_4=ct_marketplace_2;tb_horde_fort_2=ct_wall_1
heavy_infantry,32,building:00_Castle.txt;building:00_Class_building.txt;building:00_buildings.txt;building:00_nomadic_tribal.txt;building:unique_castle_buildings.txt;building:unique_city_buildings.txt;command_modifier:00_traits.txt;command_modifier:02_traits.txt,command_modifier=0.2;command_modifier=0.25;command_modifier=0.2
morale_defence,32,command_modifier:00_traits.txt;command_modifier:02_traits.txt;command_modifier:character_class_traits.txt;command_modifier:god_patron_traits.txt;command_modifier:misc_traits.txt,command_modifier=-0.2;command_modifier=0.1;command_modifier=0.15
health_penalty,31,trait:00_traits.txt;trait:02_traits.txt,pneumonic=-4;syphilitic=-2;leper=-1.5
tech_growth_modifier,30,building:00_buildings.txt;building:00_hospital.txt;building:00_tradepost.txt;trait:00_traits.txt;trait:god_patron_traits.txt;trait:religious_traits.txt,scholar=0.10;patron_azuth=0.1;patron_gond=0.05
ai_republic_modifier,28,building:00_nomadic_tribal.txt;building:00_tribal.txt,tb_nomad_ranch_1=10;tb_nomad_ranch_2=10;tb_nomad_ranch_3=10
liege_piety,27,building:00_Class_building.txt;building:00_buildings.txt;building:00_hospital.txt,tp_druid_circle=0.1;tp_druid_circle_2=0.1;tp_druid_circle_3=0.2
speed,27,command_modifier:00_traits.txt;command_modifier:02_traits.txt;command_modifier:character_class_traits.txt;command_modifier:god_patron_traits.txt,command_modifier=0.2;command_modifier=0.1;command_modifier=0.3
plot_power_modifier,25,trait:character_class_traits.txt;trait:god_patron_traits.txt;trait:religious_traits.txt;trait:template_traits.txt,shadow=0.01;trained_shadow=0.02;journeyman_shadow=0.04
ai_feudal_modifier,24,building:00_nomadic_tribal.txt;building:00_tribal.txt,tb_nomad_ranch_1=-10;tb_nomad_ranch_2=-10;tb_nomad_ranch_3=-10
global_revolt_risk,24,trait:02_traits.txt;trait:god_patron_traits.txt;trait:religious_traits.txt,otter=-0.15;patron_bane=-0.05;patron_helm=-0.05
terrain,24,command_modifier:02_traits.txt,command_modifier=plains;command_modifier=farmlands;command_modifier=steppe
levy_reinforce_rate,23,building:00_Castle.txt;building:00_buildings.txt;building:00_nomadic_tribal.txt;building:00_tribal.txt;trait:god_patron_traits.txt,patron_laogzed=0.05;patron_chan_cheng=0.05;ca_training_grounds_1=0.1
galleys,22,building:00_Castle.txt;building:00_buildings.txt;building:00_tribal.txt,ca_shipyard_1=6;ca_shipyard_2=7;ca_shipyard_3=8
land_morale,22,building:00_Castle.txt;building:00_buildings.txt;building:00_nomadic_tribal.txt;building:00_tribal.txt;trait:god_patron_traits.txt,patron_helm=0.05;patron_torm=0.05;patron_the_drummer=0.05
retinuesize,22,building:00_Castle.txt;building:00_buildings.txt;building:00_nomadic_tribal.txt;building:00_tradepost.txt;building:00_tribal.txt;building:00_undead_building.txt,ca_training_grounds_1=20;ca_training_grounds_2=20;ca_training_grounds_3=20
same_religion_opinion,22,trait:00_traits.txt;trait:02_traits.txt;trait:race_traits.txt;trait:religious_traits.txt,excommunicated=-15;heresiarch=25;monk=5
flank,21,command_modifier:00_traits.txt;command_modifier:02_traits.txt;command_modifier:character_class_traits.txt;command_modifier:god_patron_traits.txt,command_modifier=0.2;command_modifier=0.2;command_modifier=0.025
pursue,21,command_modifier:00_traits.txt;command_modifier:character_class_traits.txt;command_modifier:misc_traits.txt,command_modifier=0.2;command_modifier=0.25;command_modifier=0.025
retreat,21,command_modifier:00_traits.txt;command_modifier:02_traits.txt;command_modifier:character_class_traits.txt;command_modifier:misc_traits.txt,command_modifier=0.1;command_modifier=0.2;command_modifier=0.025
narrow_flank,20,command_modifier:02_traits.txt;command_modifier:character_class_traits.txt,command_modifier=0.5;command_modifier=0.3;command_modifier=0.025
fertility_penalty,19,trait:00_traits.txt;trait:02_traits.txt,pneumonic=-0.5;syphilitic=-0.2;leper=-0.95
intrigue_penalty,18,trait:00_traits.txt;trait:02_traits.txt,pneumonic=-2;syphilitic=-1;has_tuberculosis=-2
diplomacy_penalty,17,trait:00_traits.txt;trait:02_traits.txt,pneumonic=-2;syphilitic=-1;has_tuberculosis=-2
pikemen,17,building:00_Castle.txt;building:00_buildings.txt;building:unique_castle_buildings.txt;building:unique_city_buildings.txt,ca_barracks_1=15;ca_barracks_2=15;ca_barracks_3=20
stewardship_penalty,17,trait:00_traits.txt;trait:02_traits.txt,pneumonic=-2;syphilitic=-1;has_tuberculosis=-1
global_tax_modifier,16,trait:00_traits.txt;trait:god_patron_traits.txt;trait:religious_traits.txt,greedy=0.1;charitable=-0.05;patron_waukeen=0.05
learning_penalty,16,trait:00_traits.txt;trait:02_traits.txt,pneumonic=-2;syphilitic=-1;has_typhoid_fever=-1
disease_defence,15,building:00_Class_building.txt;building:00_buildings.txt;building:00_hospital.txt,hospital_herbalist=0.05;hospital_herbalist_2=0.1;hospital_herbalist_3=0.15
martial_penalty,15,trait:00_traits.txt;trait:02_traits.txt,pneumonic=-2;syphilitic=-1;has_typhoid_fever=-2
center,14,command_modifier:00_traits.txt;command_modifier:02_traits.txt;command_modifier:character_class_traits.txt,command_modifier=0.2;command_modifier=0.2;command_modifier=0.025
text_effect_divine_class,14,trait:character_class_traits.txt,cleric=1;trained_cleric=1;journeyman_cleric=1
demesne_size,13,trait:character_class_traits.txt;trait:god_patron_traits.txt;trait:religious_traits.txt,trained_aristocrat=1;journeyman_aristocrat=1;expert_aristocrat=1
plot_discovery_chance,13,trait:00_traits.txt;trait:character_class_traits.txt;trait:god_patron_traits.txt;trait:religious_traits.txt;trait:template_traits.txt,mystic=0.1;shadow=0.01;trained_shadow=0.02
court_size_modifier,12,building:00_Castle.txt;building:00_nomadic_tribal.txt;building:00_tribal.txt,ca_town_1=1;ca_town_2=1;ca_town_3=1
text_effect_sneak_tactic,12,trait:character_class_traits.txt,trained_ranger=1;journeyman_ranger=1;expert_ranger=1
tribal_opinion,12,trait:00_traits.txt;trait:02_traits.txt;trait:04_battle_scars_and_tattoos_traits.txt;trait:acquired_traits.txt,strong=10;weak=-10;robust=4
opinion_of_loyal,10,trait:god_patron_traits.txt;trait:religious_traits.txt,patron_helm=5;patron_mask=-5;patron_torm=10
text_effect_disease_imm,10,trait:character_class_traits.txt,journeyman_paladin=1;expert_paladin=1;master_paladin=1
tradevalue,10,building:00_buildings.txt;building:00_tradepost.txt,ct_planned_infrastructure_1=5;ct_planned_infrastructure_2=5;ct_planned_infrastructure_3=5
days_of_supply,9,trait:00_traits.txt;trait:02_traits.txt;trait:character_class_traits.txt,gardener=15;logistics_expert=30;ranger=3
economy_techpoints,9,building:00_buildings.txt;building:00_hospital.txt;building:unique_city_buildings.txt,ct_university_1=0.05;ct_university_2=0.05;ct_university_3=0.05
global_supply_limit,9,building:00_nomadic_tribal.txt;trait:god_patron_traits.txt,patron_elemental_evil=0.05;no_meat_preserver_1=0.3;no_meat_preserver_2=0.05
knights,9,building:00_Castle.txt;building:00_Class_building.txt;building:00_buildings.txt;command_modifier:god_patron_traits.txt,command_modifier=0.05;ca_stable_4=5;ca_stable_5=10
supply_limit,9,trait:god_patron_traits.txt;trait:religious_traits.txt,patron_chauntea=0.05;patron_mielikki=0.05;patron_shaundakul=0.05
culture_flex,8,trait:god_patron_traits.txt;trait:race_traits.txt,patron_selune=-0.05;patron_cyrrollalee=-0.05;patron_trickster_gods=-0.05
defensive_plot_power_modifier,8,trait:02_traits.txt;trait:god_patron_traits.txt;trait:race_traits.txt;trait:religious_traits.txt;trait:template_traits.txt,schemer=0.1;patron_tymora=0.05;patron_beshaba=0.05
giant_troops,8,building:00_Castle_giants.txt;building:00_tribal_giants.txt,ca_giants_dwelling_1=6;ca_giants_dwelling_2=12;ca_giants_dwelling_3=18
giant_troops_defensive,8,building:00_Castle_giants.txt;building:00_tribal_giants.txt,ca_giants_dwelling_1=0.05;ca_giants_dwelling_2=0.025;ca_giants_dwelling_3=0.025
giant_troops_offensive,8,building:00_Castle_giants.txt;building:00_tribal_giants.txt,ca_giants_dwelling_1=0.05;ca_giants_dwelling_2=0.025;ca_giants_dwelling_3=0.025
global_winter_supply,8,building:00_nomadic_tribal.txt,no_meat_preserver_1=1;no_meat_preserver_2=0.4;no_meat_preserver_3=0.4
infidel_opinion,8,trait:00_traits.txt;trait:02_traits.txt;trait:religious_traits.txt,cynical=5;zealous=-25;heresiarch=-15
moved_capital_months_mult,8,building:00_nomadic_tribal.txt,no_meat_preserver_1=-0.05;no_meat_preserver_2=-0.05;no_meat_preserver_3=-0.06
religious_enemy,8,command_modifier:02_traits.txt;command_modifier:character_class_traits.txt;command_modifier:misc_traits.txt,command_modifier=0.3;command_modifier=0.025;command_modifier=0.05
build_cost_castle_modifier,7,trait:character_class_traits.txt,fighter=-0.01;trained_fighter=-0.02;journeyman_fighter=-0.03
dwarf_group_opinion,7,trait:race_traits.txt,creature_drow=-10;creature_giant=-10;creature_ogre=-10
dynasty_opinion,7,trait:00_traits.txt;trait:02_traits.txt;trait:god_patron_traits.txt;trait:religious_traits.txt,kinslayer=-25;familial_kinslayer=-20;dynastic_kinslayer=-15
hidden_combat_rating,7,trait:template_traits.txt,werewolf=7;wererat=5;weretiger=10
liege_opinion,7,trait:00_traits.txt;trait:god_patron_traits.txt;trait:roleplaying_traits.txt,envious=-15;proud=-5;humble=5
liege_prestige,7,building:00_Castle.txt;building:00_Class_building.txt;building:00_hospital.txt,ca_oppressive_fortifications_1=0.05;tb_beastlairs_5=0.05;tb_beastlairs_6=0.1
text_effect_barb_cb,7,trait:character_class_traits.txt,barbarian=1;trained_barbarian=1;journeyman_barbarian=1
text_effect_bard_seduce,7,trait:character_class_traits.txt,bard=1;trained_bard=1;journeyman_bard=1
text_effect_druid_build,7,trait:character_class_traits.txt,druid=1;trained_druid=1;journeyman_druid=1
text_effect_rogue_cb,7,trait:character_class_traits.txt,rogue=1;trained_rogue=1;journeyman_rogue=1
text_effect_shadow_jobs,7,trait:character_class_traits.txt,shadow=1;trained_shadow=1;journeyman_shadow=1
build_cost_modifier,6,trait:character_class_traits.txt;trait:template_traits.txt,journeyman_aristocrat=-0.03;expert_aristocrat=-0.06;master_aristocrat=-0.09
culture_techpoints,6,building:00_buildings.txt;building:00_hospital.txt;building:unique_city_buildings.txt,tp_school_1=0.04;tp_school_2=0.04;library_1=0.03
good_human_pantheon_group_opinion,6,trait:02_traits.txt;trait:race_traits.txt,baptized_by_pope=5;pagan_branch_1=10;creature_tiefling=-5
gunpowder_troops,6,building:00_Class_building.txt,ct_firearms_workshop_1=60;ct_firearms_workshop_2=90;ct_firearms_workshop_3=120
