table,ck2_key,column,status,token,verdict,live_hits,info_hits,evidence
culture_fields.csv,<group_id> = { ... },ck3_key,approx,heritage,found,335,5,common/casus_belli_types/09_mpo_wars.txt:1756
culture_fields.csv,<group_id> = { ... },ck3_key,approx,language,found,472,4,common/scripted_character_templates/01_ep1_character_templates.txt:614
culture_fields.csv,parent,ck3_key,approx,parents,found,73,6,common/defines/00_defines.txt:356
culture_fields.csv,color,ck3_key,exact,color,found,4089,7,common/legends/legend_types/00_legends.txt:2
culture_fields.csv,graphical_cultures,ck3_key,approx,building_gfx,found,254,4,common/culture/aesthetics_bundles/00_aesthetics.txt:24
culture_fields.csv,graphical_cultures,ck3_key,approx,clothing_gfx,found,259,2,common/culture/aesthetics_bundles/00_aesthetics.txt:25
culture_fields.csv,graphical_cultures,ck3_key,approx,coa_gfx,found,255,2,common/culture/aesthetics_bundles/00_aesthetics.txt:23
culture_fields.csv,graphical_cultures,default_when_none,approx,building_gfx,found,254,4,common/culture/aesthetics_bundles/00_aesthetics.txt:24
culture_fields.csv,graphical_cultures,default_when_none,approx,western_building_gfx,found,276,1,common/scripted_triggers/00_illustration_triggers.txt:47
culture_fields.csv,graphical_cultures,default_when_none,approx,clothing_gfx,found,259,2,common/culture/aesthetics_bundles/00_aesthetics.txt:25
culture_fields.csv,graphical_cultures,default_when_none,approx,western_clothing_gfx,found,56,0,common/customizable_localization/00_regional_custom_localization.txt:4457
culture_fields.csv,graphical_cultures,default_when_none,approx,coa_gfx,found,255,2,common/culture/aesthetics_bundles/00_aesthetics.txt:23
culture_fields.csv,graphical_cultures,default_when_none,approx,western_coa_gfx,found,79,1,common/coat_of_arms/template_lists/coa_templates.txt:266
culture_fields.csv,graphical_cultures (culture-level override),ck3_key,approx,building_gfx,found,254,4,common/culture/aesthetics_bundles/00_aesthetics.txt:24
culture_fields.csv,graphical_cultures (culture-level override),ck3_key,approx,clothing_gfx,found,259,2,common/culture/aesthetics_bundles/00_aesthetics.txt:25
culture_fields.csv,graphical_cultures (culture-level override),ck3_key,approx,coa_gfx,found,255,2,common/culture/aesthetics_bundles/00_aesthetics.txt:23
culture_fields.csv,unit_graphical_cultures,ck3_key,approx,unit_gfx,found,253,2,common/culture/aesthetics_bundles/00_aesthetics.txt:26
culture_fields.csv,unit_graphical_cultures,default_when_none,approx,unit_gfx,found,253,2,common/culture/aesthetics_bundles/00_aesthetics.txt:26
culture_fields.csv,unit_graphical_cultures,default_when_none,approx,western_unit_gfx,found,38,0,common/customizable_localization/00_regional_custom_localization.txt:3775
culture_fields.csv,(none),ck3_key,none,ethnicities,found,247,2,common/ethnicities/00_ethnicities_templates.txt:2
culture_fields.csv,(none),default_when_none,none,ethnicities,found,247,2,common/ethnicities/00_ethnicities_templates.txt:2
culture_fields.csv,(none),ck3_key,none,house_coa_frame,found,234,1,common/culture/cultures/00_west_germanic.txt:24
culture_fields.csv,(none),ck3_key,none,house_coa_mask_offset,found,143,0,common/culture/cultures/00_west_germanic.txt:25
culture_fields.csv,(none),ck3_key,none,house_coa_mask_scale,found,143,0,common/culture/cultures/00_west_germanic.txt:26
culture_fields.csv,(none),ck3_key,none,dynasty_coa_frame,info_only,0,1,common/culture/cultures/_cultures.info:90
culture_fields.csv,(none),ck3_key,none,ethos,found,263,3,common/accolade_types/04_ep2_skilled_attributes.txt:78
culture_fields.csv,(none),default_when_none,none,ethos_communal,found,177,0,common/accolade_types/04_ep2_eminent_attributes.txt:540
culture_fields.csv,(none),ck3_key,none,heritage,found,335,5,common/casus_belli_types/09_mpo_wars.txt:1756
culture_fields.csv,(none),ck3_key,none,language,found,472,4,common/scripted_character_templates/01_ep1_character_templates.txt:614
culture_fields.csv,feminist,ck3_key,approx,martial_custom,found,248,0,common/game_concepts/00_game_concepts.txt:331
culture_fields.csv,feminist,default_when_none,approx,martial_custom_male_only,found,234,0,common/culture/pillars/00_martial_custom.txt:6
culture_fields.csv,horde,ck3_key,approx,head_determination,found,246,1,common/culture/pillars/00_head_determination.txt:6
culture_fields.csv,horde,ck3_key,approx,traditions,found,295,2,common/defines/00_defines.txt:1163
culture_fields.csv,horde,default_when_none,approx,head_determination_domain,found,208,0,common/culture/pillars/00_head_determination.txt:5
culture_fields.csv,(none),ck3_key,none,traditions,found,295,2,common/defines/00_defines.txt:1163
culture_fields.csv,(none),default_when_none,none,traditions,found,295,2,common/defines/00_defines.txt:1163
culture_fields.csv,seafarer,ck3_key,approx,traditions,found,295,2,common/defines/00_defines.txt:1163
culture_fields.csv,allow_looting,ck3_key,approx,traditions,found,295,2,common/defines/00_defines.txt:1163
culture_fields.csv,castes,ck3_key,approx,traditions,found,295,2,common/defines/00_defines.txt:1163
culture_fields.csv,dukes_called_kings,ck3_key,approx,type,found,3953,143,common/council_positions/00_council_positions.txt:887
culture_fields.csv,dukes_called_kings,ck3_key,approx,title,found,3953,143,common/council_positions/00_council_positions.txt:2760
culture_fields.csv,dukes_called_kings,ck3_key,approx,tier,found,4056,40,common/council_positions/00_council_positions.txt:882
culture_fields.csv,dukes_called_kings,ck3_key,approx,duchy,found,1998,21,common/task_contracts/admin_contracts.txt:2836
culture_fields.csv,dukes_called_kings,ck3_key,approx,name_lists,found,316,3,common/flavorization/10_tgp_korea_flavorization.txt:9
culture_fields.csv,tribal_name,ck3_key,approx,type,found,3953,143,common/council_positions/00_council_positions.txt:887
culture_fields.csv,tribal_name,ck3_key,approx,title,found,3953,143,common/council_positions/00_council_positions.txt:2760
culture_fields.csv,tribal_name,ck3_key,approx,governments,found,1146,18,common/council_positions/00_council_positions.txt:1760
culture_fields.csv,tribal_name,ck3_key,approx,tribal_government,found,1456,1,common/casus_belli_types/01_fp1_wars.txt:1003
culture_fields.csv,tribal_name,ck3_key,approx,name_lists,found,316,3,common/flavorization/10_tgp_korea_flavorization.txt:9
culture_fields.csv,modifier,ck3_key,approx,province_modifier,found,1388,12,common/legends/legend_types/00_legends.txt:207
culture_fields.csv,character_modifier,ck3_key,exact,character_modifier,found,2972,22,common/game_concepts/00_game_concepts.txt:2639
culture_fields.csv,male_names,ck3_key,exact,male_names,found,218,3,common/culture/name_lists/00_west_germanic.txt:58
culture_fields.csv,male_names,default_when_none,exact,male_names,found,218,3,common/culture/name_lists/00_west_germanic.txt:58
culture_fields.csv,male_names,default_when_none,exact,Placeholder,found,156,0,common/customizable_localization/99_pl_relations.txt:2
culture_fields.csv,female_names,ck3_key,exact,female_names,found,218,3,common/culture/name_lists/00_west_germanic.txt:78
culture_fields.csv,female_names,default_when_none,exact,female_names,found,218,3,common/culture/name_lists/00_west_germanic.txt:78
culture_fields.csv,female_names,default_when_none,exact,Placeholder,found,156,0,common/customizable_localization/99_pl_relations.txt:2
culture_fields.csv,(none),ck3_key,none,name_list,found,254,3,common/flavorization/00_title_holders.txt:8015
culture_fields.csv,(dynasty names live in common/dynasties),ck3_key,approx,dynasty_names,found,219,2,common/culture/name_lists/00_west_germanic.txt:30
culture_fields.csv,(dynasty names live in common/dynasties),ck3_key,approx,cadet_dynasty_names,found,203,1,common/culture/name_lists/00_west_germanic.txt:3
culture_fields.csv,(dynasty names live in common/dynasties),default_when_none,approx,dynasty_names,found,219,2,common/culture/name_lists/00_west_germanic.txt:30
culture_fields.csv,from_dynasty_prefix,ck3_key,approx,dynasty_of_location_prefix,found,128,2,common/culture/name_lists/00_west_germanic.txt:82
culture_fields.csv,bastard_dynasty_prefix,ck3_key,exact,bastard_dynasty_prefix,found,3,0,common/culture/name_lists/00_west_germanic.txt:83
culture_fields.csv,male_patronym / female_patronym + prefix (bool),ck3_key,approx,patronym_prefix_male,found,33,1,common/culture/name_lists/00_west_germanic.txt:529
culture_fields.csv,male_patronym / female_patronym + prefix (bool),ck3_key,approx,patronym_suffix_male,found,46,2,common/culture/name_lists/00_west_germanic.txt:85
culture_fields.csv,male_patronym / female_patronym + prefix (bool),ck3_key,approx,patronym_prefix_female,found,29,1,common/culture/name_lists/00_west_germanic.txt:530
culture_fields.csv,male_patronym / female_patronym + prefix (bool),ck3_key,approx,patronym_suffix_female,found,37,2,common/culture/name_lists/00_west_germanic.txt:86
culture_fields.csv,(implicit in CK2 whenever a patronym is set),ck3_key,approx,always_use_patronym,found,31,7,common/governments/00_government_types.txt:134
culture_fields.csv,(implicit in CK2 whenever a patronym is set),default_when_none,approx,always_use_patronym,found,31,7,common/governments/00_government_types.txt:134
culture_fields.csv,pat_grf_name_chance,ck3_key,exact,pat_grf_name_chance,found,85,1,common/culture/name_lists/00_west_germanic.txt:89
culture_fields.csv,mat_grf_name_chance,ck3_key,exact,mat_grf_name_chance,found,85,1,common/culture/name_lists/00_west_germanic.txt:90
culture_fields.csv,father_name_chance,ck3_key,exact,father_name_chance,found,85,1,common/culture/name_lists/00_west_germanic.txt:91
culture_fields.csv,pat_grm_name_chance,ck3_key,exact,pat_grm_name_chance,found,85,1,common/culture/name_lists/00_west_germanic.txt:94
culture_fields.csv,mat_grm_name_chance,ck3_key,exact,mat_grm_name_chance,found,85,1,common/culture/name_lists/00_west_germanic.txt:95
culture_fields.csv,mother_name_chance,ck3_key,exact,mother_name_chance,found,85,1,common/culture/name_lists/00_west_germanic.txt:96
culture_fields.csv,founder_named_dynasties,ck3_key,exact,founder_named_dynasties,found,88,1,common/culture/name_lists/00_tungusic.txt:157
culture_fields.csv,dynasty_name_first,ck3_key,approx,dynasty_name_first,found,22,0,common/culture/name_lists/00_ainu.txt:3
culture_fields.csv,dynasty_name_first,ck3_key,approx,name_order_convention,found,26,1,common/culture/cultures/00_magyar.txt:40
culture_fields.csv,dynasty_title_names,ck3_key,approx,can_be_named_after_dynasty,found,171,2,common/landed_titles/06_philippines.txt:1886
culture_fields.csv,dynasty_title_names,ck3_key,approx,house_based_map_names,found,64,1,common/culture/name_lists/00_japanese.txt:3
culture_fields.csv,mercenary_names (CK2 keeps these in common/mercenaries),ck3_key,approx,mercenary_names,found,82,2,common/culture/name_lists/00_west_germanic.txt:100
culture_fields.csv,grammar_transform,ck3_key,exact,grammar_transform,found,9,0,common/culture/name_lists/00_iberian.txt:666
