id,kind,status,emitted,score,reason
DW_demonic_impregnation,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
DW_prolong_life,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
abandon_province,title_decisions,modified,no,,"title-scope (filter=/ai_target_filter=), CK3 has no title-scope decisions"
abandon_trade_post,trade_post_decisions,modified,no,,trade-post-scope; trade routes/posts do not exist in CK3 1.19 (docs/mechanics_inventory.md)
aboleth_lay_egg,decisions,new,yes,0.826,"below min_score, is_shown forced off"
acquire_society_title_decision,society_decisions,new,yes,0.000,"below min_score, is_shown forced off"
adopt_chinese_imperialism,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
adopt_faith,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
adopt_heir,targeted_decisions,new,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
adopt_heir_fake,decisions,new,yes,0.462,"below min_score, is_shown forced off"
adopt_shou_lung_imperialism,decisions,new,yes,0.479,"below min_score, is_shown forced off"
adopt_tribalism,settlement_decisions,deleted,no,,"settlement-scope (filter=/ai_target_filter=), CK3 has no settlement-scope decisions"
adventuring_quest,decisions,new,yes,0.594,"below min_score, is_shown forced off"
african_tolerate_abrahamics,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
ai_claim_county_if_baron,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
ai_request_sponsored_baptism,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
akadian_adaptability_decision,decisions,new,yes,0.444,"below min_score, is_shown forced off"
alcohol_gift_decision,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
alliance_diplomacy,society_decisions,new,yes,0.412,"below min_score, is_shown forced off"
alliance_mediation,society_decisions,new,yes,0.091,"below min_score, is_shown forced off"
alliance_raise_ships,society_decisions,new,yes,0.300,"below min_score, is_shown forced off"
alliance_raise_troops,society_decisions,new,yes,0.150,"below min_score, is_shown forced off"
ancestor_worship,decisions,modified,yes,0.711,"below min_score, is_shown forced off"
animate_objects,decisions,new,yes,0.368,"below min_score, is_shown forced off"
anti_host_adventuring,targeted_decisions,new,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
appease_spirits,society_decisions,new,yes,0.375,"below min_score, is_shown forced off"
arcane_experiment,society_decisions,new,yes,0.458,"below min_score, is_shown forced off"
ask_for_land,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
ask_for_pardon,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
ask_help_to_manage_titles,decisions,modified,yes,0.353,"below min_score, is_shown forced off"
ask_teutonic_for_help_pagan,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
ask_teutonic_for_help_teutonic,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
ask_to_leave_court,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
ask_wards_liege_to_allow_culture_religion_swap,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
ask_wards_liege_to_allow_faith_focus,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
assassins_borrow_money,society_decisions,modified,yes,0.500,"below min_score, is_shown forced off"
assassins_clear_marked_for_death_target,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
assassins_donate,society_decisions,modified,yes,0.500,"below min_score, is_shown forced off"
assassins_drug_effect,society_decisions,modified,yes,0.417,"below min_score, is_shown forced off"
assassins_mark_for_death,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
assassins_pay_debt,society_decisions,modified,yes,0.552,"below min_score, is_shown forced off"
assassins_raise_ships,society_decisions,modified,yes,0.200,"below min_score, is_shown forced off"
assassins_raise_troops,society_decisions,modified,yes,0.167,"below min_score, is_shown forced off"
assassins_recruit,targeted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
assassins_scare_ruler,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
