id,kind,faerun_file,vanilla_file,status,changed_keys,uses_faerun_mechanic,vanilla_dup_count,faerun_dup_count
DW_demonic_impregnation,targeted_decisions,decisions/mnm_devil_worshipers_decisions.txt,decisions/mnm_society_decisions.txt,modified,ai_will_do;allow;effect;from_potential;is_in_society;potential,societies,1,1
DW_prolong_life,targeted_decisions,decisions/mnm_devil_worshipers_decisions.txt,decisions/mnm_society_decisions.txt,modified,ai_will_do;effect;from_potential;is_in_society;potential,societies,1,1
abandon_province,title_decisions,decisions/title_decisions.txt,decisions/title_decisions.txt,modified,ai;ai_check_interval;revoke_allowed,governments_custom,1,1
abandon_trade_post,trade_post_decisions,decisions/trade_post_decisions.txt,decisions/trade_post_decisions.txt,modified,revoke_allowed,trade_routes,1,1
aboleth_lay_egg,decisions,decisions/faerun_culturerace_decisions.txt,,new,,,0,1
acquire_society_title_decision,society_decisions,decisions/faerun_societies_decisions.txt,,new,,societies,0,1
adopt_chinese_imperialism,decisions,,decisions/jd_decisions.txt,deleted,,,1,0
adopt_faith,targetted_decisions,,decisions/HL_clan_decisions.txt,deleted,,,1,0
adopt_heir,targeted_decisions,decisions/faerun_misc_decisions.txt,,new,,bloodlines;governments_custom,0,1
adopt_heir_fake,decisions,decisions/faerun_misc_decisions.txt,,new,,,0,1
adopt_shou_lung_imperialism,decisions,decisions/shou_lung_decisions.txt,,new,,bloodlines;governments_custom;offmap_powers,0,1
adopt_tribalism,settlement_decisions,,decisions/settlement_decisions.txt,deleted,,,1,0
adventuring_quest,decisions,decisions/faerun_adventuring_decisions.txt,,new,,minor_titles,0,1
african_tolerate_abrahamics,decisions,,decisions/religious_decisions.txt,deleted,,,1,0
ai_claim_county_if_baron,decisions,,decisions/HFP_realm_decisions.txt,deleted,,,1,0
ai_request_sponsored_baptism,decisions,,decisions/HF_baptism_decisions.txt,deleted,,,1,0
akadian_adaptability_decision,decisions,decisions/faerun_religious_decisions.txt,,new,,,0,1
alcohol_gift_decision,targetted_decisions,decisions/wonder_decisions.txt,decisions/wonder_decisions.txt,modified,effect,job_titles;wonders,1,1
alliance_diplomacy,society_decisions,decisions/faerun_societies_decisions.txt,,new,,societies,0,1
alliance_mediation,society_decisions,decisions/faerun_societies_decisions.txt,,new,,societies,0,1
alliance_raise_ships,society_decisions,decisions/faerun_societies_decisions.txt,,new,,societies,0,1
alliance_raise_troops,society_decisions,decisions/faerun_societies_decisions.txt,,new,,societies,0,1
ancestor_worship,decisions,decisions/minor_decisions.txt,decisions/minor_decisions.txt,modified,ai_will_do;allow;effect;potential;revoke_allowed,,1,1
