key,section,count
trait,trigger,1169
has_character_flag,trigger,337
custom_tooltip,trigger,330
text,trigger,330
religion,trigger,296
not_casting,trigger,275
has_character_modifier,trigger,261
wealth,trigger,203
character,trigger,189
hidden_tooltip,trigger,154
flag,trigger,125
liege,trigger,121
had_character_flag,trigger,119
ai,trigger,118
war,trigger,116
using_cb,trigger,105
mult_modifier,trigger,100
always,trigger,96
prisoner,trigger,95
culture,trigger,95
piety,trigger,94
is_adult,trigger,90
trigger_if,trigger,89
independent,trigger,87
is_inaccessible_or_incapable_trigger,trigger,85
religion_group,trigger,78
culture_group,trigger,77
government,trigger,73
prestige,trigger,70
society_rank,trigger,66
years,trigger,62
has_landed_title,trigger,62
higher_tier_than,trigger,59
any_war,trigger,53
is_playable,trigger,52
tier,trigger,50
attacker,trigger,50
has_dlc,trigger,47
owner,trigger,44
count,trigger,42
society,trigger,42
is_inaccessible_trigger,trigger,42
days,trigger,41
any_liege,trigger,41
location,trigger,40
society_member_of,trigger,39
is_landed,trigger,38
defender,trigger,36
z_sorcerer,trigger,35
rank,trigger,34
faction_power,trigger,34
faction,trigger,34
power,trigger,34
has_holder,trigger,33
is_tribal,trigger,33
conditional_tooltip,trigger,33
scaled_wealth,trigger,33
has_artifact,trigger,33
age,trigger,31
wild_magic_recovery,trigger,29
holding_type,trigger,29
is_incapable,trigger,28
is_occupied,trigger,25
month,trigger,25
any_realm_character,trigger,24
has_minor_title,trigger,24
capital_scope,trigger,24
z_warlock,trigger,24
same_society_as,trigger,23
which,trigger,23
any_demesne_title,trigger,22
months,trigger,22
primary_title,trigger,22
has_alternate_start_parameter,trigger,22
key,trigger,22
has_society_currency_major_trigger,trigger,20
top_liege,trigger,20
year,trigger,20
z_cleric,trigger,20
region,trigger,19
is_primary_war_defender,trigger,18
trigger_else,trigger,18
health,trigger,18
z_paladin,trigger,18
will_liege_enforce_peace,trigger,18
has_liege_enforced_peace,trigger,18
check_variable,trigger,17
is_nomadic,trigger,17
holder_scope,trigger,17
z_wizard,trigger,17
title,trigger,16
min,trigger,16
free_court_slots,trigger,16
