ck2_id,ck3_id,namespace,kind,ck3_type,theme,emitted,live,score,mapped,total,gates,calls,loc_keys,source_file
104999,fae_ck2.65531,fae_ck2,character_event,character_event,default,yes,no,0.000,0,5,score,,,events/muslim_honorary_titles_events.txt
105008,fae_ck2.65530,fae_ck2,character_event,character_event,default,yes,no,0.000,0,2,score,,,events/muslim_honorary_titles_events.txt
105009,fae_ck2.65529,fae_ck2,character_event,character_event,default,yes,no,0.143,1,7,score,,,events/muslim_honorary_titles_events.txt
105019,fae_ck2.65528,fae_ck2,character_event,character_event,default,yes,no,0.455,5,11,score,,,events/muslim_honorary_titles_events.txt
105029,fae_ck2.65527,fae_ck2,character_event,character_event,default,yes,no,0.000,0,4,score,,,events/muslim_honorary_titles_events.txt
105034,fae_ck2.65526,fae_ck2,character_event,character_event,default,yes,no,0.565,13,23,score,,,events/muslim_honorary_titles_events.txt
105049,fae_ck2.65525,fae_ck2,character_event,character_event,default,yes,no,0.308,8,26,score;dead_call;unsaved_scope,105050,,events/muslim_honorary_titles_events.txt
105059,fae_ck2.65524,fae_ck2,character_event,character_event,default,yes,no,0.286,2,7,score,,,events/muslim_honorary_titles_events.txt
105064,fae_ck2.65523,fae_ck2,character_event,character_event,default,yes,no,0.286,2,7,score,,,events/muslim_honorary_titles_events.txt
105074,fae_ck2.65522,fae_ck2,character_event,character_event,default,yes,no,0.167,1,6,score,,,events/muslim_honorary_titles_events.txt
105099,fae_ck2.65521,fae_ck2,character_event,character_event,default,yes,no,0.167,1,6,score,,,events/muslim_honorary_titles_events.txt
105149,fae_ck2.65520,fae_ck2,character_event,character_event,default,yes,no,0.167,1,6,score,,,events/muslim_honorary_titles_events.txt
105199,fae_ck2.65519,fae_ck2,character_event,character_event,default,yes,no,0.286,2,7,score,,,events/muslim_honorary_titles_events.txt
105249,fae_ck2.65518,fae_ck2,character_event,character_event,default,yes,no,0.167,1,6,score,,,events/muslim_honorary_titles_events.txt
