namespace,events,files
BRO,116,events/faerun_arcane_brotherhood_events.txt
faegods,115,events/faerun_patrons_new.txt
MNM,108,events/job_offmap.txt;events/mnm_artifacts_events.txt;events/mnm_devil_worshipers_events.txt;events/mnm_monastic_orders_events.txt
KNI,96,events/faerun_knight_order.txt;events/faerun_knight_tournament_events.txt
frstory,77,events/faerun_story_events.txt
uthgar,64,events/faerun_uthgardt_events.txt
ADVN,55,events/faerun_adventuring_events.txt
ZHE,52,events/faerun_black_network_events.txt
frmaint,52,events/faerun_various_maintenance.txt
generalmisc,50,events/faerun_general_misc_events.txt
EME,44,events/faerun_emerald_enclave_events.txt
HRP,44,events/faerun_harpers_events.txt
frvamp,44,events/faerun_vampires.txt
spellaux,40,events/faerun_spell_aux_events.txt
HERA,36,events/faerun_heralds_events.txt
divrel,35,events/faerun_diverse_religious.txt
wizinit,35,events/faerun_wizard_init.txt
EVER,29,events/faerun_everlasting_events.txt
STH,29,events/faerun_shadow_thieves_events.txt
RAID,28,events/faerun_raiding_events.txt
CDR,25,events/faerun_cult_of_the_dragon_events.txt
frwerebeast,25,events/faerun_werebeast_events.txt
<numeric>,24,events/married_life_events.txt;events/muslim_honorary_titles_events.txt;events/plot_events.txt;events/polygamy_events.txt
sacrifice,23,events/faerun_religious_sacrifice_events.txt
TWI,23,events/faerun_twisted_rune_events.txt
fr_uprising,21,events/faerun_uprising_events.txt
LA,20,events/faerun_lord_alliance_events.txt
polyam,20,events/faerun_polyamory_events.txt
FaerunSocieties,19,events/faerun_Societies.txt
ELDC,19,events/faerun_elder_concord_events.txt
fr_prepared_invasion,18,events/faerun_prepared_invasion_events.txt
conv,17,events/faerun_religious_events.txt
BFL,15,events/faerun_brotherhood_of_true_flame_events.txt
KRAK,15,events/faerun_kraken_society_events.txt
nomadtribalmaint,14,events/faerun_nomadic_tribal_maintenance.txt
fighterevt,13,events/faerun_fighter_events.txt
frelections,13,events/faerun_mr_elections.txt
MASK,13,events/faerun_night_masks_events.txt
rlg_chg,12,events/faerun_religion_switch.txt
seldarine,12,events/faerun_seldarine_events.txt
frzakh,11,events/faerun_zakharan_events.txt
DAL,10,events/faerun_dales_council_events.txt
frduel,10,events/faerun_duel_events.txt
faithcleanup,10,events/faerun_religious_title_maintenance.txt
aberrationevt,9,events/faerun_aberration_events.txt
ALWAR,9,events/faerun_alignment_war_events.txt
frprov,9,events/faerun_province_events.txt
TELF,8,events/faerun_shadow_telflamm_events.txt
HF,7,events/HF_religious_events.txt;events/HF_saintly_bloodlines_events.txt;events/HF_warrior_lodge_mission_events.txt
localleaders,7,events/faerun_job_meet_local_leaders_events.txt
frxp,7,events/faerun_new_xp_system.txt
racial_aging,7,events/faerun_racial_aging_events.txt
TOG,7,events/oldgods_blot_events.txt;events/oldgods_mongol_events.txt;events/oldgods_pagan_feasts.txt
asmodeusdeal,6,events/faerun_asmodeus_deal_events.txt
racialbirth,6,events/faerun_birth_racial_events.txt
INVNT,6,events/faerun_inventive_events.txt
frplots,6,events/faerun_plot_events.txt
faerun_ruler_events,6,events/faerun_ruler_events.txt
RIP,6,events/rip_flavor_events.txt;events/rip_maimed_events.txt;events/rip_torture_events.txt
WAR_HELP_OFFERS,6,events/war_help_offers.txt
FaerunSorcerer,5,events/faerun_Sorcerer.txt
dragon_type,5,events/faerun_dragon_type_events.txt
frimmortal,5,events/faerun_immortals.txt
monster,5,events/faerun_monster_events.txt
WARL,5,events/faerun_warlock_events.txt
ARTF,4,events/faerun_artifact_events.txt
FCE,4,events/faerun_court_events.txt
Ordning,4,events/faerun_ordning_events.txt
character_trait,4,events/faerun_racial_trait.txt
froldrealms,4,events/faerun_realm_revivals.txt
DEAD,4,events/faerun_undead_events.txt
FaerunMercenaries,3,events/faerun_Mercenaries.txt
FSC,3,events/faerun_Sea_Creatures.txt
fradoption,3,events/faerun_adoption_events .txt
druidinit,3,events/faerun_druid_init.txt
frmeltpot,3,events/faerun_melting_pots.txt
minorpurg,3,events/faerun_minority_purge.txt
PATRONS_NEW,3,events/faerun_patrons_events_new.txt
fertility,3,events/faerun_racial_fertility_events.txt
FaerunSiege,3,events/faerun_siege_events.txt
FMU,2,events/faerun_Magic_User.txt
rollofyears,2,events/faerun_roll_of_years.txt
secret_identity,2,events/faerun_secret_identity_events.txt
sorcinit,2,events/faerun_sorc_init.txt
triad,2,events/faerun_triad_events.txt
yikaria,2,events/faerun_yikaria.txt
HFP,1,events/HFP_random_flavor_events.txt
beauty,1,events/beauty_inheritance_event.txt
FRE,1,events/faerun_Rogue.txt
absent,1,events/faerun_absent_culling.txt
frbarb,1,events/faerun_barbarian.txt
courtflag,1,events/faerun_court_flag.txt
frtut,1,events/faerun_misc_tutorial_events.txt
morndin,1,events/faerun_mordinsamman_events.txt
womenstatusmaint,1,events/faerun_status_of_women_maintenance.txt
intelligence,1,events/intelligence_inheritance_event.txt
strength,1,events/strength_trait_event.txt
