field,value,uses
picture,GFX_evt_bishop,113
picture,GFX_evt_relic_box,90
picture,GFX_evt_wizard,54
picture,GFX_evt_melee,44
picture,GFX_evt_vampire_1,43
picture,GFX_evt_angels_1,33
picture,GFX_evt_library,28
picture,GFX_evt_dark_prayer,24
picture,GFX_evt_werewolf,23
picture,GFX_evt_savage_frontier,20
picture,GFX_evt_experiment,17
picture,GFX_evt_joust,17
picture,GFX_evt_viking_throneroom_oldgods,16
picture,GFX_evt_stressed_ruler,15
picture,GFX_evt_steppe_mercenaries,15
picture,GFX_evt_shady_meeting,14
picture,GFX_evt_bandits,13
picture,GFX_evt_battle,13
picture,GFX_evt_gathering_of_minds,12
picture,GFX_evt_magic_ritual,12
picture,GFX_evt_large_army,11
picture,GFX_evt_duel_scene,11
picture,GFX_evt_feast,11
picture,GFX_evt_tribal_shrine,11
picture,GFX_evt_abyss_1,10
picture,GFX_evt_into_the_dungeon,9
picture,GFX_evt_adventurers_3,9
picture,GFX_evt_market,9
picture,GFX_evt_lovers,9
picture,GFX_evt_wizard_2,9
picture,GFX_evt_adventurers,8
picture,GFX_evt_burning_house,8
picture,GFX_evt_council,8
picture,GFX_evt_secret_ceremony,8
picture,GFX_evt_religious_exultation,8
picture,GFX_evt_whispers,8
picture,GFX_evt_vikings_arriving_oldgods,7
picture,GFX_evt_adventurers_2,7
picture,GFX_evt_catching_heretic,7
picture,GFX_evt_fire_imp,7
picture,GFX_evt_dragon_1,7
picture,GFX_evt_acererak_1,7
picture,GFX_evt_midwinter_blot_oldgods,7
picture,GFX_evt_angels_2,7
picture,GFX_evt_bloodlines,6
picture,GFX_evt_died_battle,6
picture,GFX_evt_quarrel,6
picture,GFX_evt_hunt,6
picture,GFX_evt_emissary,6
picture,GFX_evt_bad_news,6
picture,GFX_evt_orcs,6
picture,GFX_evt_underdark_1,5
picture,GFX_evt_castle_construction,5
picture,GFX_evt_treasure,5
picture,GFX_evt_noble_in_castle,5
picture,GFX_evt_mind_flayers_2,5
picture,GFX_evt_kraken,5
picture,GFX_evt_gossip_1,5
picture,GFX_evt_bhaalspawn,5
picture,GFX_evt_carnage_1,4
picture,GFX_evt_eavesdropping,4
picture,GFX_evt_drunk,4
picture,GFX_evt_death,4
picture,GFX_evt_death_knight,4
picture,GFX_evt_imam,4
picture,GFX_evt_emissary_arabic,4
picture,GFX_evt_waterdeep_1,4
picture,GFX_evt_huzuz_1,4
picture,GFX_evt_demons_1,4
picture,GFX_evt_torture,4
picture,GFX_evt_secluded_in_prayer,4
picture,GFX_evt_birth,3
picture,GFX_evt_illness,3
picture,GFX_evt_suspicious_noble,3
picture,GFX_evt_blue_fire_1,3
picture,GFX_evt_ioun_stones,3
picture,GFX_evt_lunatic,3
picture,GFX_evt_scandal,3
picture,GFX_evt_peasants,3
picture,GFX_evt_child_reading,3
picture,GFX_evt_doge_republic,3
picture,GFX_evt_born_purple_byzantine,3
picture,GFX_evt_blue_fire_3,3
picture,GFX_evt_festival_1,3
picture,GFX_evt_riders_night_hf,3
picture,GFX_evt_siege,3
picture,GFX_evt_barbarian_1,3
picture,GFX_evt_council_quarrelling,3
picture,GFX_evt_magic_2,3
picture,GFX_evt_zhentilar_1,2
picture,GFX_evt_plane_limbo_1,2
picture,GFX_evt_norse_tempest,2
picture,GFX_evt_adventurers_4,2
picture,GFX_evt_castle_3,2
picture,GFX_evt_burning_house_arabic,2
picture,GFX_evt_spelljammer_1,2
picture,GFX_evt_modrons_1,2
picture,GFX_evt_scholar_1,2
picture,GFX_evt_weaponsmith,2
picture,GFX_evt_book_carolingian_script,2
picture,GFX_evt_shadowy_cabal,2
picture,GFX_evt_marriage,2
picture,GFX_evt_noble_haughty_talking_to_peasants,2
picture,GFX_evt_busy_trading_dock_republic,2
picture,GFX_evt_rival_rulers,2
picture,GFX_evt_dragon_3,2
picture,GFX_evt_forest_a,2
picture,GFX_evt_rider_1,2
picture,GFX_evt_courtiers_talking,2
picture,GFX_evt_recovery,2
picture,GFX_evt_tribal_lands,2
picture,GFX_evt_forest_b,2
picture,GFX_evt_savannah_a,2
picture,GFX_evt_monastery_monks,2
picture,GFX_evt_bane_1,2
picture,GFX_evt_yikarian,2
picture,GFX_evt_jugglers,2
picture,GFX_evt_courier,2
picture,GFX_evt_runecaster_1,2
picture,GFX_evt_northlander_raid,2
picture,GFX_evt_prisoner_hf,2
picture,GFX_evt_china_expansionist,2
picture,GFX_evt_drow_2,2
picture,GFX_evt_drow_3,2
picture,GFX_evt_zakhara_ruins,2
picture,GFX_evt_sarya,2
picture,GFX_evt_red_wizards_1,2
picture,GFX_evt_shaman,2
picture,GFX_evt_brothel,2
picture,GFX_evt_genie_1,2
picture,GFX_evt_desert_rider,2
picture,GFX_evt_china_diplomatic_success,2
picture,GFX_evt_impalement,2
picture,GFX_evt_children_talking,1
picture,GFX_evt_sahuagin_1,1
picture,GFX_evt_aquatic_tomb,1
picture,GFX_evt_sneak_attack,1
picture,GFX_evt_camp_fire,1
picture,GFX_evt_high_forest,1
picture,GFX_evt_ruins_1,1
picture,GFX_evt_dungeons_1,1
picture,GFX_evt_traps_1,1
picture,GFX_evt_magic_cave,1
