key,uses
option,2715
id,1762
is_triggered_only,1759
desc,1537
picture,1321
immediate,712
border,617
trigger,573
hide_window,530
after,181
title,153
has_dlc,98
only_playable,95
prisoner,67
min_age,67
portrait,62
has_character_flag,50
capable_only,39
notification,37
only_capable,34
weight_multiplier,34
hide_from,29
is_in_society,28
fail_trigger_effect,27
only_rulers,27
religion_group,22
ai,20
major_trigger,20
quest_target,18
major,17
religion,12
hide_new,11
culture,6
is_patrician,6
is_married,6
only_men,5
only_independent,5
in_command,5
war,4
show_root,4
has_job_title,4
mean_time_to_happen,3
has_global_flag,3
max_age,2
only_women,2
show_from_from,2
sound,1
lacks_dlc,1
is_part_of_plot,1
is_friendly,1
