ck2_key,unmapped_uses
character_event,1345
trait,990
mother_even_if_dead,907
true_father_even_if_dead,857
add_trait,710
culture,636
ai,617
religion,495
opinion,429
hidden_tooltip,404
reverse_opinion,397
new_artifact,384
ai_chance,324
which,321
prestige,312
add_character_modifier,277
mult_modifier,242
combat_rating,222
increase_adv_fatigue_effect,221
has_character_modifier,199
society_member_of,176
set_graphical_culture,170
set_secret_religion,169
remove_character_modifier,145
has_dlc,131
new_character,127
spawn_unit,122
add_friend,117
create_character,117
any_society_member,105
religion_group,103
wealth,103
culture_group,102
break,100
transfer_scaled_wealth,97
piety,96
only_playable,95
reverse_add_favor,93
clr_artifact_flagsmodifiers_effect,93
z_druid,86
death,83
num_of_settlements,77
has_province_modifier,72
z_bard,70
z_ranger,67
clr_quest,67
is_in_society,66
has_quest,65
has_ambition,65
on_trigger,64
join_society,63
date,63
portrait,62
tooltip,60
random_realm_character,60
is_evil_religion,58
scaled_wealth,56
z_rogue,52
z_wizard,51
has_global_flag,51
z_warlock,49
z_shadow,49
z_fighter,49
name,48
capital_scope,48
remove_opinion,47
tooltip_info,46
is_undead,46
z_paladin,45
any_trade_post,45
secret_religion,45
any_realm_character,44
z_barbarian,43
society_influence,43
has_law,41
is_generic_sacrifice_religion,41
heal_wounds_adv_effect,40
higher_tier_than,40
society,40
notification,37
repeat_event,37
raiding_ruler_trigger,37
block_general_event_trigger,36
persistent_event_target,36
z_sorcerer,35
z_artificer,35
society_rank,35
holder_scope,34
any_demesne_province,34
weight_multiplier,33
set_society_grandmaster,33
combat_rating_diff,33
has_minor_title,32
controls_religion,32
can_join_society,32
is_inaccessible_trigger,31
random_courtier_or_vassal,30
any_demesne_title,30
is_patrician,30
society_quest_event,30
attribute_diff,30
letter_event,29
z_cleric,29
hide_from,29
disband_event_forces,28
clear_event_target,27
z_monk,27
graphical_culture,26
is_close_relative,26
narrative_event,25
society_rank_up,25
is_within_diplo_range,25
decrease_adv_fatigue_effect,24
society_can_rank_up,24
add_society_currency_minor_effect,24
any_liege,24
yearly_income,24
amount,24
any_courtier_or_vassal,23
has_lover,23
add_province_modifier,23
add_age,22
add_law,22
add_rival,21
is_smart_trigger,21
