kind,key,uses
trigger,trait,6578
trigger,has_character_flag,1159
trigger,mother_even_if_dead,748
trigger,ai,740
trigger,religion,706
trigger,culture,702
trigger,true_father_even_if_dead,699
trigger,learning,530
trigger,which,490
trigger,intrigue,486
trigger,diplomacy,461
trigger,is_alive,392
trigger,society_member_of,390
trigger,event_target:party_member_2,387
trigger,event_target:party_member_3,387
trigger,event_target:party_member_4,387
trigger,event_target:party_member_1,381
trigger,character,354
trigger,martial,345
trigger,from,325
trigger,check_variable,292
trigger,prisoner,270
trigger,allow_changing_culture,269
trigger,has_character_modifier,248
trigger,combat_rating,239
trigger,root,232
trigger,has_province_modifier,231
trigger,z_multiclass,218
trigger,who,215
trigger,trigger_if,184
trigger,always,183
trigger,mult_modifier,179
trigger,liege,162
trigger,religion_group,149
trigger,society_rank,147
trigger,has_global_flag,147
trigger,has_minor_title,140
trigger,opinion,138
trigger,has_landed_title,127
trigger,tier,124
trigger,culture_group,121
trigger,trigger_else,120
trigger,is_landed,115
trigger,name,107
trigger,region,102
trigger,event_target:raider_leader,97
trigger,is_female,95
trigger,event_target:elimination_target,93
trigger,z_druid,88
trigger,month,84
trigger,title,80
trigger,num_of_settlements,77
trigger,has_game_rule,76
trigger,has_quest,71
trigger,z_bard,71
trigger,has_province_flag,71
trigger,event_target:province_raid_target,71
trigger,government,70
trigger,is_adult,70
trigger,z_ranger,67
trigger,date,66
trigger,is_evil_religion,64
trigger,graphical_culture,64
trigger,has_ambition,62
trigger,attracted_to_prev_trigger,62
trigger,location,56
trigger,z_rogue,55
trigger,is_in_society,54
trigger,higher_tier_than,54
trigger,controls_religion,53
trigger,trigger_else_if,53
trigger,z_wizard,52
trigger,has_law,52
trigger,leader,52
trigger,any_vassal,52
trigger,block_general_event_trigger,51
trigger,is_within_diplo_range,51
trigger,any_realm_province,51
trigger,employer,51
trigger,event_target:lover_to_introduce,51
trigger,z_warlock,50
trigger,z_shadow,50
trigger,z_fighter,49
trigger,is_inaccessible_trigger,48
trigger,age,47
trigger,z_paladin,47
trigger,is_undead,46
trigger,holder_scope,44
trigger,has_artifact_flag,43
trigger,same_society_as,43
trigger,z_barbarian,43
trigger,society_influence,43
trigger,is_ruler,42
trigger,prev,42
trigger,society,41
trigger,has_opinion_modifier,40
trigger,primary_title,39
trigger,any_realm_character,39
trigger,dynasty,39
trigger,holding_type,37
trigger,z_sorcerer,36
trigger,z_artificer,36
trigger,any_society_member,36
trigger,any_liege,36
trigger,event_target:partner_to_introduce_lover_to,35
trigger,any_demesne_province,34
trigger,race_is_part_human,34
trigger,count,33
trigger,olrox_is_good_religion_trigger,33
trigger,is_society_grandmaster,33
trigger,capital_scope,33
trigger,holy_order,33
trigger,is_close_relative,33
trigger,combat_rating_diff,33
trigger,event_target:vampfound,33
trigger,event_target:lycanfound,33
trigger,z_cleric,32
trigger,mercenary,30
trigger,event_target:assassin,30
trigger,attribute_diff,30
trigger,attribute,30
trigger,any_child,29
trigger,is_incapable,29
trigger,z_monk,27
trigger,is_strong_trigger,27
trigger,is_rival,27
trigger,independent,27
