ck2_trait,source_file,ck3_treatment,note
absent,misc_traits.txt,port,misc character trait
acute,acquired_traits.txt,port,acquired character trait
adopted,roleplaying_traits.txt,comment,roleplaying marker read by Faerun events
afflicted_lycanthrope,template_traits.txt,race_trait,"creature template (lycanthrope, feytouched, ...); owned by the races lane"
androgynous,misc_traits.txt,port,misc character trait
angered_patron,roleplaying_traits.txt,comment,roleplaying marker read by Faerun events
aoist_trait,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
archfiend,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
archlich,template_traits.txt,race_trait,"creature template (lycanthrope, feytouched, ...); owned by the races lane"
aristocrat,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
artificer,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
asexual,roleplaying_traits.txt,comment,roleplaying marker read by Faerun events
athar_trait,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
atheist_trait,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
avatar,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
barbarian,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
bard,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
beautiful,Congenital_Traits.txt,port,congenital trait; CK3 target is genetic = yes plus a group/level tier
bhaalspawn,misc_traits.txt,port,misc character trait
bio_aarin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_abdel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_abu_bakr,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_acererak,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_aerie,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_aeron,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_aida,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ajantis,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_akar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_alaundo,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_alias,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_alicia,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_alora,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_alphonse,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_alusair,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_alustriel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_alvaerele,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
