province_id,definition_name,centroid_x_px,centroid_y_px_raster,positions_city_x_px,positions_city_y_px_bottom_origin,positions_city_y_px_raster,dx_px,dy_px,atlas_x_px_pred,atlas_y_px_pred,status
1,Waterdeep,1116.3,480.7,1119.0,2838.0,490.0,2.7,9.3,1036.6,376.1,verified
2,Amphail,1139.3,430.7,1134.0,2893.0,435.0,-5.3,4.3,1049.9,327.3,verified
3,Daggerford,1171.2,511.2,1168.0,2810.0,518.0,-3.2,6.8,1080.0,400.9,verified
8,Neverwinter,1038.3,308.5,1034.0,3017.0,311.0,-4.3,2.5,961.2,217.3,verified
13,Baldurs Gate,1238.0,776.0,1238.0,2542.0,786.0,0.0,10.0,1142.1,638.6,verified
15,Elturel,1362.5,758.3,1359.0,2559.0,769.0,-3.5,10.7,1249.4,623.5,verified
16,Scornubel,1394.2,756.8,1394.0,2569.0,759.0,-0.2,2.2,1280.5,614.6,verified
17,Luskan,1017.1,221.1,1013.0,3099.0,229.0,-4.1,7.9,942.6,144.6,verified
25,Silverymoon,1299.7,245.7,1300.0,3079.0,249.0,0.3,3.3,1197.1,162.3,verified
29,Everlund,1305.3,280.0,1307.0,3050.0,278.0,1.7,-2.0,1203.3,188.0,verified
38,Sundabar,1376.2,251.7,1371.0,3067.0,261.0,-5.2,9.3,1260.1,172.9,verified
66,Berdusk,1436.5,839.0,1427.0,2490.0,838.0,-9.5,-1.0,1309.8,684.7,verified
74,Athkatla,1254.1,979.2,1250.0,2349.0,979.0,-4.1,-0.2,1152.8,809.8,verified
92,Iriaebor,1495.3,849.9,1478.0,2468.0,860.0,-17.3,10.1,1355.0,704.2,verified
142,Calimport,1276.1,1342.9,1277.0,1986.0,1342.0,0.9,-0.9,1176.7,1131.7,verified
190,Westgate,1721.2,867.6,1735.0,2459.0,869.0,13.8,1.4,1582.9,712.2,verified
249,Suzail,1632.7,812.3,1628.0,2509.0,819.0,-4.7,6.7,1488.0,667.8,verified
270,Mulmaster,2022.8,612.8,2022.0,2713.0,615.0,-0.8,2.2,1837.5,486.9,verified
