city_a,city_b,pid_a,pid_b,px_distance,km_from_atlas_scale,mi_from_atlas_scale,canon_distance_mi,canon_kind,implied_km_per_px_from_canon,source,status
Waterdeep,Neverwinter,1,8,198.2,574.9,357.2,300.0,road,2.4365,"FR canon (High Road), assumed",assumed
Waterdeep,Baldurs Gate,1,13,319.0,925.5,575.1,640.0,road,3.2285,"FR canon (Coast Way), assumed",assumed
Waterdeep,Amphail,1,2,57.0,165.4,102.8,30.0,road,0.8469,"Waterdeep boxed set, assumed",assumed
Waterdeep,Daggerford,1,3,56.4,163.7,101.7,100.0,road,2.8516,"FR canon, assumed",assumed
Neverwinter,Luskan,8,17,84.6,245.6,152.6,170.0,road,3.2321,"FR canon (High Road), assumed",assumed
Silverymoon,Sundabar,25,38,72.0,208.9,129.8,100.0,straight,2.2350,"FR canon, assumed",assumed
Silverymoon,Everlund,25,29,29.8,86.5,53.8,50.0,straight,2.6973,"FR canon, assumed",assumed
Baldurs Gate,Athkatla,13,74,193.4,561.0,348.6,350.0,road,2.9129,"FR canon (Coast Way), assumed",assumed
Athkatla,Calimport,74,142,364.0,1056.0,656.2,500.0,road,2.2106,"FR canon (Trade Way), assumed",assumed
Baldurs Gate,Elturel,13,15,122.2,354.5,220.3,130.0,road,1.7122,"FR canon, assumed",assumed
Elturel,Scornubel,15,16,36.4,105.6,65.6,60.0,road,2.6527,"FR canon, assumed",assumed
Scornubel,Berdusk,16,66,85.6,248.4,154.3,60.0,road,1.1278,"FR canon, assumed",assumed
Berdusk,Iriaebor,66,92,55.5,161.1,100.1,60.0,road,1.7385,"FR canon, assumed",assumed
Suzail,Westgate,249,190,118.1,342.6,212.9,220.0,straight,2.9978,"FR canon, assumed",assumed
Westgate,Mulmaster,190,270,383.3,1111.9,690.9,380.0,straight,1.5957,"FR canon, assumed",assumed
Waterdeep,Silverymoon,1,25,301.4,874.4,543.3,640.0,road,3.4173,"FR canon, assumed",assumed
SUMMARY,median_implied_km_per_px,,,,,,,,2.5446,"SOURCE 1 (canon, assumed)",assumed
SUMMARY,atlas_scale_bar_km_per_px,,,,,,,,3.2710,atlas scale bar / atlas px,verified
SUMMARY,faerun_km_per_px,,,,,,,,2.9011,atlas_km_per_px / registration scale 1.1275,verified
