tag,resolution_factor,n_patches,cycles_per_km,km,amplitude_levels,ratio_to_vanilla
ours_2x,2,48,0.00526,189.94,70970.56,1.679
ours_2x,2,48,0.01053,94.97,26194.45,1.213
ours_2x,2,48,0.01579,63.31,11485.14,1.001
ours_2x,2,48,0.02106,47.48,5993.38,0.819
ours_2x,2,48,0.02632,37.99,3731.73,0.789
ours_2x,2,48,0.03159,31.66,2469.5,0.807
ours_2x,2,48,0.03685,27.13,1652.38,0.834
ours_2x,2,48,0.04212,23.74,1117.61,0.751
ours_2x,2,48,0.04738,21.1,775.71,0.724
ours_2x,2,48,0.05265,18.99,617.96,0.71
ours_2x,2,48,0.05791,17.27,502.7,0.74
ours_2x,2,48,0.06318,15.83,418.54,0.707
ours_2x,2,48,0.06844,14.61,364.7,0.723
ours_2x,2,48,0.07371,13.57,324.5,0.757
ours_2x,2,48,0.07897,12.66,290.27,0.779
ours_2x,2,48,0.08424,11.87,261.58,0.826
ours_2x,2,48,0.0895,11.17,241.74,0.929
ours_2x,2,48,0.09477,10.55,221.42,0.933
ours_2x,2,48,0.10003,10.0,205.11,0.957
ours_2x,2,48,0.1053,9.5,187.54,0.98
ours_2x,2,48,0.11056,9.04,168.47,1.001
ours_2x,2,48,0.11583,8.63,153.11,0.996
ours_2x,2,48,0.12109,8.26,142.29,1.006
ours_2x,2,48,0.12636,7.91,132.59,1.026
ours_2x,2,48,0.13162,7.6,124.05,1.06
ours_2x,2,48,0.13689,7.31,113.0,1.079
ours_2x,2,48,0.14215,7.03,105.56,1.102
ours_2x,2,48,0.14742,6.78,99.9,1.108
ours_2x,2,48,0.15268,6.55,91.09,1.079
ours_2x,2,48,0.15795,6.33,84.56,1.073
ours_2x,2,48,0.16321,6.13,79.9,1.093
ours_2x,2,48,0.16847,5.94,75.48,1.119
ours_2x,2,48,0.17374,5.76,71.66,1.16
ours_2x,2,48,0.179,5.59,68.31,1.165
ours_2x,2,48,0.18427,5.43,64.45,1.156
ours_2x,2,48,0.18953,5.28,58.7,1.111
ours_2x,2,48,0.1948,5.13,54.79,1.097
ours_2x,2,48,0.20006,5.0,51.48,1.095
ours_2x,2,48,0.20533,4.87,48.43,1.098
ours_2x,2,48,0.21059,4.75,46.28,1.123
ours_2x,2,48,0.21586,4.63,44.39,1.159
ours_2x,2,48,0.22112,4.52,41.63,1.142
ours_2x,2,48,0.22639,4.42,39.45,1.125
ours_2x,2,48,0.23165,4.32,37.82,1.124
ours_2x,2,48,0.23692,4.22,36.64,1.136
ours_2x,2,48,0.24218,4.13,35.06,1.135
ours_2x,2,48,0.24745,4.04,34.38,1.166
ours_2x,2,48,0.25271,3.96,33.38,1.188
ours_2x,2,48,0.25798,3.88,33.03,1.237
ours_2x,2,48,0.26324,3.8,32.15,1.271
ours_2x,2,48,0.26851,3.72,31.72,1.326
ours_2x,2,48,0.27377,3.65,32.53,1.425
ours_2x,2,48,0.27904,3.58,31.5,1.418
ours_2x,2,48,0.2843,3.52,30.94,1.434
ours_2x,2,48,0.28957,3.45,30.27,1.445
ours_2x,2,48,0.29483,3.39,30.83,1.518
ours_2x,2,48,0.3001,3.33,30.3,1.54
ours_2x,2,48,0.30536,3.27,29.88,1.569
ours_2x,2,48,0.31063,3.22,29.68,1.612
ours_2x,2,48,0.31589,3.17,29.56,1.662
ours_2x,2,48,0.32116,3.11,29.77,1.736
ours_2x,2,48,0.32642,3.06,29.59,1.791
ours_2x,2,48,0.33169,3.01,29.45,1.854
ours_2x,2,48,0.33695,2.97,30.34,1.989
ours_2x,2,48,0.34221,2.92,29.79,2.014
ours_2x,2,48,0.34748,2.88,31.04,2.149
ours_2x,2,48,0.35274,2.83,30.34,2.153
ours_2x,2,48,0.35801,2.79,29.61,2.154
ours_2x,2,48,0.36327,2.75,29.53,2.205
ours_2x,2,48,0.36854,2.71,29.14,2.234
ours_2x,2,48,0.3738,2.68,29.38,2.314
ours_2x,2,48,0.37907,2.64,28.75,2.329
ours_2x,2,48,0.38433,2.6,28.69,2.392
ours_2x,2,48,0.3896,2.57,27.26,2.341
ours_2x,2,48,0.39486,2.53,27.1,2.399
ours_2x,2,48,0.40013,2.5,26.23,2.396
ours_2x,2,48,0.40539,2.47,25.51,2.408
ours_2x,2,48,0.41066,2.44,25.57,2.496
ours_2x,2,48,0.41592,2.4,25.0,2.527
ours_2x,2,48,0.42119,2.37,24.45,2.562
ours_2x,2,48,0.42645,2.34,24.06,2.579
ours_2x,2,48,0.43172,2.32,23.74,2.58
ours_2x,2,48,0.43698,2.29,23.75,2.616
ours_2x,2,48,0.44225,2.26,22.77,2.544
ours_2x,2,48,0.44751,2.23,22.81,2.585
ours_2x,2,48,0.45278,2.21,22.27,2.559
ours_2x,2,48,0.45804,2.18,22.31,2.602
ours_2x,2,48,0.46331,2.16,22.46,2.658
ours_2x,2,48,0.46857,2.13,21.24,2.551
ours_2x,2,48,0.47384,2.11,21.44,2.614
ours_2x,2,48,0.4791,2.09,21.31,2.639
ours_2x,2,48,0.48437,2.06,20.93,2.632
ours_2x,2,48,0.48963,2.04,20.82,2.66
ours_2x,2,48,0.4949,2.02,20.34,2.641
ours_2x,2,48,0.50016,2.0,20.27,2.676
ours_2x,2,48,0.50542,1.98,20.31,2.726
ours_2x,2,48,0.51069,1.96,20.22,2.761
ours_2x,2,48,0.51595,1.94,19.93,2.767
ours_2x,2,48,0.52122,1.92,18.94,2.677
ours_2x,2,48,0.52648,1.9,19.53,2.81
ours_2x,2,48,0.53175,1.88,19.43,2.829
ours_2x,2,48,0.53701,1.86,19.22,2.819
ours_2x,2,48,0.54228,1.84,19.15,2.831
ours_2x,2,48,0.54754,1.83,18.98,2.828
ours_2x,2,48,0.55281,1.81,19.23,2.887
ours_2x,2,48,0.55807,1.79,18.74,2.835
ours_2x,2,48,0.56334,1.78,18.79,2.865
ours_2x,2,48,0.5686,1.76,18.9,2.906
ours_2x,2,48,0.57387,1.74,18.79,2.912
ours_2x,2,48,0.57913,1.73,18.82,2.941
ours_2x,2,48,0.5844,1.71,18.32,2.886
ours_2x,2,48,0.58966,1.7,18.57,2.95
ours_2x,2,48,0.59493,1.68,18.81,3.013
ours_2x,2,48,0.60019,1.67,18.5,2.987
ours_2x,2,48,0.60546,1.65,18.41,2.999
ours_2x,2,48,0.61072,1.64,18.34,3.012
ours_2x,2,48,0.61599,1.62,18.19,3.015
ours_2x,2,48,0.62125,1.61,18.21,3.044
ours_2x,2,48,0.62652,1.6,17.82,3.004
ours_2x,2,48,0.63178,1.58,17.68,3.007
ours_2x,2,48,0.63705,1.57,18.1,3.107
ours_2x,2,48,0.64231,1.56,17.76,3.076
ours_2x,2,48,0.64758,1.54,17.67,3.087
ours_2x,2,48,0.65284,1.53,18.33,3.232
ours_2x,2,48,0.65811,1.52,17.88,3.182
ours_2x,2,48,0.66337,1.51,18.0,3.214
ours_2x,2,48,0.66864,1.5,17.38,3.104
ours_1x_build20,1,48,0.00263,379.88,94360.96,2.184
ours_1x_build20,1,48,0.00526,189.94,45583.01,1.078
ours_1x_build20,1,48,0.0079,126.63,20018.7,0.631
ours_1x_build20,1,48,0.01053,94.97,12044.99,0.558
ours_1x_build20,1,48,0.01316,75.98,7745.69,0.498
ours_1x_build20,1,48,0.01579,63.31,5243.42,0.457
ours_1x_build20,1,48,0.01843,54.27,3932.65,0.435
ours_1x_build20,1,48,0.02106,47.48,2931.88,0.401
ours_1x_build20,1,48,0.02369,42.21,2275.78,0.395
ours_1x_build20,1,48,0.02632,37.99,1850.01,0.391
ours_1x_build20,1,48,0.02896,34.53,1494.04,0.404
ours_1x_build20,1,48,0.03159,31.66,1192.25,0.39
ours_1x_build20,1,48,0.03422,29.22,946.02,0.375
ours_1x_build20,1,48,0.03685,27.13,776.87,0.392
ours_1x_build20,1,48,0.03949,25.33,646.71,0.373
ours_1x_build20,1,48,0.04212,23.74,565.43,0.38
ours_1x_build20,1,48,0.04475,22.35,491.19,0.396
ours_1x_build20,1,48,0.04738,21.1,433.25,0.404
ours_1x_build20,1,48,0.05002,19.99,385.58,0.397
ours_1x_build20,1,48,0.05265,18.99,339.94,0.391
ours_1x_build20,1,48,0.05528,18.09,293.08,0.381
ours_1x_build20,1,48,0.05791,17.27,276.06,0.407
ours_1x_build20,1,48,0.06055,16.52,269.43,0.424
ours_1x_build20,1,48,0.06318,15.83,254.82,0.431
ours_1x_build20,1,48,0.06581,15.2,246.65,0.45
ours_1x_build20,1,48,0.06844,14.61,245.26,0.486
ours_1x_build20,1,48,0.07108,14.07,250.81,0.544
ours_1x_build20,1,48,0.07371,13.57,246.67,0.575
ours_1x_build20,1,48,0.07634,13.1,244.76,0.611
ours_1x_build20,1,48,0.07897,12.66,243.87,0.654
ours_1x_build20,1,48,0.08161,12.25,240.67,0.698
ours_1x_build20,1,48,0.08424,11.87,235.49,0.744
ours_1x_build20,1,48,0.08687,11.51,228.96,0.794
ours_1x_build20,1,48,0.0895,11.17,221.22,0.85
ours_1x_build20,1,48,0.09213,10.85,210.03,0.844
ours_1x_build20,1,48,0.09477,10.55,205.0,0.864
ours_1x_build20,1,48,0.0974,10.27,196.33,0.869
ours_1x_build20,1,48,0.10003,10.0,188.49,0.879
ours_1x_build20,1,48,0.10266,9.74,179.95,0.887
ours_1x_build20,1,48,0.1053,9.5,170.49,0.891
ours_1x_build20,1,48,0.10793,9.27,163.09,0.907
ours_1x_build20,1,48,0.11056,9.04,154.76,0.919
ours_1x_build20,1,48,0.11319,8.83,146.05,0.914
ours_1x_build20,1,48,0.11583,8.63,139.61,0.908
ours_1x_build20,1,48,0.11846,8.44,135.11,0.915
ours_1x_build20,1,48,0.12109,8.26,128.64,0.909
ours_1x_build20,1,48,0.12372,8.08,121.56,0.898
ours_1x_build20,1,48,0.12636,7.91,120.21,0.93
ours_1x_build20,1,48,0.12899,7.75,115.7,0.94
ours_1x_build20,1,48,0.13162,7.6,111.6,0.954
ours_1x_build20,1,48,0.13425,7.45,104.84,0.946
ours_1x_build20,1,48,0.13689,7.31,99.23,0.947
ours_1x_build20,1,48,0.13952,7.17,97.42,0.988
ours_1x_build20,1,48,0.14215,7.03,94.1,0.982
ours_1x_build20,1,48,0.14478,6.91,90.58,0.974
ours_1x_build20,1,48,0.14742,6.78,87.35,0.969
ours_1x_build20,1,48,0.15005,6.66,85.05,0.974
ours_1x_build20,1,48,0.15268,6.55,80.76,0.956
ours_1x_build20,1,48,0.15531,6.44,77.24,0.946
ours_1x_build20,1,48,0.15795,6.33,75.71,0.961
ours_1x_build20,1,48,0.16058,6.23,72.88,0.959
ours_1x_build20,1,48,0.16321,6.13,70.89,0.969
ours_1x_build20,1,48,0.16584,6.03,69.35,0.986
ours_1x_build20,1,48,0.16847,5.94,67.1,0.995
ours_1x_build20,1,48,0.17111,5.84,64.22,0.994
ours_1x_build20,1,48,0.17374,5.76,62.3,1.008
ours_1x_build20,1,48,0.17637,5.67,60.41,1.005
ours_1x_build20,1,48,0.179,5.59,58.52,0.998
ours_1x_build20,1,48,0.18164,5.51,55.71,0.974
ours_1x_build20,1,48,0.18427,5.43,53.12,0.953
ours_1x_build20,1,48,0.1869,5.35,51.15,0.942
ours_1x_build20,1,48,0.18953,5.28,50.56,0.957
ours_1x_build20,1,48,0.19217,5.2,48.9,0.951
ours_1x_build20,1,48,0.1948,5.13,47.52,0.952
ours_1x_build20,1,48,0.19743,5.07,46.11,0.951
ours_1x_build20,1,48,0.20006,5.0,45.05,0.958
ours_1x_build20,1,48,0.2027,4.93,43.53,0.955
ours_1x_build20,1,48,0.20533,4.87,41.42,0.939
ours_1x_build20,1,48,0.20796,4.81,41.01,0.961
ours_1x_build20,1,48,0.21059,4.75,39.47,0.958
ours_1x_build20,1,48,0.21323,4.69,38.45,0.967
ours_1x_build20,1,48,0.21586,4.63,36.93,0.964
ours_1x_build20,1,48,0.21849,4.58,35.61,0.959
ours_1x_build20,1,48,0.22112,4.52,34.86,0.957
ours_1x_build20,1,48,0.22376,4.47,34.35,0.961
ours_1x_build20,1,48,0.22639,4.42,32.84,0.937
ours_1x_build20,1,48,0.22902,4.37,32.11,0.935
ours_1x_build20,1,48,0.23165,4.32,31.16,0.926
ours_1x_build20,1,48,0.23429,4.27,30.91,0.938
