tag,resolution_factor,n_patches,cycles_per_km,km,amplitude_levels,ratio_to_vanilla
ours_2x_fixed,2,48,0.00526,189.94,70953.91,1.678
ours_2x_fixed,2,48,0.01053,94.97,26177.13,1.212
ours_2x_fixed,2,48,0.01579,63.31,11457.29,0.998
ours_2x_fixed,2,48,0.02106,47.48,5957.33,0.814
ours_2x_fixed,2,48,0.02632,37.99,3688.69,0.78
ours_2x_fixed,2,48,0.03159,31.66,2424.51,0.792
ours_2x_fixed,2,48,0.03685,27.13,1609.68,0.812
ours_2x_fixed,2,48,0.04212,23.74,1078.11,0.724
ours_2x_fixed,2,48,0.04738,21.1,739.54,0.69
ours_2x_fixed,2,48,0.05265,18.99,583.58,0.671
ours_2x_fixed,2,48,0.05791,17.27,470.83,0.693
ours_2x_fixed,2,48,0.06318,15.83,392.17,0.663
ours_2x_fixed,2,48,0.06844,14.61,345.13,0.684
ours_2x_fixed,2,48,0.07371,13.57,310.74,0.724
ours_2x_fixed,2,48,0.07897,12.66,282.44,0.758
ours_2x_fixed,2,48,0.08424,11.87,257.42,0.813
ours_2x_fixed,2,48,0.0895,11.17,237.38,0.912
ours_2x_fixed,2,48,0.09477,10.55,215.85,0.91
ours_2x_fixed,2,48,0.10003,10.0,199.09,0.929
ours_2x_fixed,2,48,0.1053,9.5,180.27,0.942
ours_2x_fixed,2,48,0.11056,9.04,162.85,0.967
ours_2x_fixed,2,48,0.11583,8.63,149.43,0.972
ours_2x_fixed,2,48,0.12109,8.26,137.71,0.973
ours_2x_fixed,2,48,0.12636,7.91,127.35,0.985
ours_2x_fixed,2,48,0.13162,7.6,119.56,1.022
ours_2x_fixed,2,48,0.13689,7.31,109.35,1.044
ours_2x_fixed,2,48,0.14215,7.03,102.63,1.072
ours_2x_fixed,2,48,0.14742,6.78,97.66,1.084
ours_2x_fixed,2,48,0.15268,6.55,90.87,1.076
ours_2x_fixed,2,48,0.15795,6.33,86.09,1.093
ours_2x_fixed,2,48,0.16321,6.13,81.2,1.11
ours_2x_fixed,2,48,0.16847,5.94,75.79,1.123
ours_2x_fixed,2,48,0.17374,5.76,71.36,1.155
ours_2x_fixed,2,48,0.179,5.59,66.87,1.14
ours_2x_fixed,2,48,0.18427,5.43,63.16,1.133
ours_2x_fixed,2,48,0.18953,5.28,58.3,1.103
ours_2x_fixed,2,48,0.1948,5.13,54.68,1.095
ours_2x_fixed,2,48,0.20006,5.0,53.18,1.131
ours_2x_fixed,2,48,0.20533,4.87,50.38,1.142
ours_2x_fixed,2,48,0.21059,4.75,48.23,1.17
ours_2x_fixed,2,48,0.21586,4.63,45.43,1.186
ours_2x_fixed,2,48,0.22112,4.52,42.63,1.17
ours_2x_fixed,2,48,0.22639,4.42,41.76,1.191
ours_2x_fixed,2,48,0.23165,4.32,40.73,1.21
ours_2x_fixed,2,48,0.23692,4.22,37.82,1.172
ours_2x_fixed,2,48,0.24218,4.13,35.8,1.159
ours_2x_fixed,2,48,0.24745,4.04,35.08,1.19
ours_2x_fixed,2,48,0.25271,3.96,33.92,1.208
ours_2x_fixed,2,48,0.25798,3.88,32.17,1.205
ours_2x_fixed,2,48,0.26324,3.8,30.53,1.206
ours_2x_fixed,2,48,0.26851,3.72,29.57,1.237
ours_2x_fixed,2,48,0.27377,3.65,28.36,1.242
ours_2x_fixed,2,48,0.27904,3.58,27.58,1.242
ours_2x_fixed,2,48,0.2843,3.52,26.75,1.24
ours_2x_fixed,2,48,0.28957,3.45,25.63,1.224
ours_2x_fixed,2,48,0.29483,3.39,24.92,1.227
ours_2x_fixed,2,48,0.3001,3.33,24.45,1.242
ours_2x_fixed,2,48,0.30536,3.27,23.55,1.237
ours_2x_fixed,2,48,0.31063,3.22,22.69,1.232
ours_2x_fixed,2,48,0.31589,3.17,21.75,1.223
ours_2x_fixed,2,48,0.32116,3.11,20.93,1.22
ours_2x_fixed,2,48,0.32642,3.06,20.37,1.233
ours_2x_fixed,2,48,0.33169,3.01,20.2,1.272
ours_2x_fixed,2,48,0.33695,2.97,19.95,1.307
ours_2x_fixed,2,48,0.34221,2.92,19.18,1.297
ours_2x_fixed,2,48,0.34748,2.88,18.26,1.264
ours_2x_fixed,2,48,0.35274,2.83,17.77,1.261
ours_2x_fixed,2,48,0.35801,2.79,17.32,1.26
ours_2x_fixed,2,48,0.36327,2.75,16.96,1.267
ours_2x_fixed,2,48,0.36854,2.71,16.49,1.264
ours_2x_fixed,2,48,0.3738,2.68,15.68,1.235
ours_2x_fixed,2,48,0.37907,2.64,15.24,1.235
ours_2x_fixed,2,48,0.38433,2.6,14.77,1.232
ours_2x_fixed,2,48,0.3896,2.57,14.18,1.218
ours_2x_fixed,2,48,0.39486,2.53,13.85,1.226
ours_2x_fixed,2,48,0.40013,2.5,13.65,1.248
ours_2x_fixed,2,48,0.40539,2.47,13.51,1.275
ours_2x_fixed,2,48,0.41066,2.44,12.84,1.254
ours_2x_fixed,2,48,0.41592,2.4,12.61,1.274
ours_2x_fixed,2,48,0.42119,2.37,12.32,1.291
ours_2x_fixed,2,48,0.42645,2.34,12.17,1.304
ours_2x_fixed,2,48,0.43172,2.32,12.02,1.307
ours_2x_fixed,2,48,0.43698,2.29,11.87,1.308
ours_2x_fixed,2,48,0.44225,2.26,11.64,1.301
ours_2x_fixed,2,48,0.44751,2.23,11.39,1.29
ours_2x_fixed,2,48,0.45278,2.21,11.25,1.292
ours_2x_fixed,2,48,0.45804,2.18,11.11,1.295
ours_2x_fixed,2,48,0.46331,2.16,10.84,1.282
ours_2x_fixed,2,48,0.46857,2.13,10.84,1.301
ours_2x_fixed,2,48,0.47384,2.11,10.72,1.307
ours_2x_fixed,2,48,0.4791,2.09,10.47,1.296
ours_2x_fixed,2,48,0.48437,2.06,10.24,1.287
ours_2x_fixed,2,48,0.48963,2.04,9.92,1.268
ours_2x_fixed,2,48,0.4949,2.02,9.74,1.265
ours_2x_fixed,2,48,0.50016,2.0,9.71,1.281
ours_2x_fixed,2,48,0.50542,1.98,9.5,1.274
ours_2x_fixed,2,48,0.51069,1.96,9.32,1.272
ours_2x_fixed,2,48,0.51595,1.94,9.23,1.282
ours_2x_fixed,2,48,0.52122,1.92,9.16,1.295
ours_2x_fixed,2,48,0.52648,1.9,9.05,1.303
ours_2x_fixed,2,48,0.53175,1.88,8.96,1.305
ours_2x_fixed,2,48,0.53701,1.86,8.88,1.302
ours_2x_fixed,2,48,0.54228,1.84,8.77,1.297
ours_2x_fixed,2,48,0.54754,1.83,8.66,1.29
ours_2x_fixed,2,48,0.55281,1.81,8.57,1.287
ours_2x_fixed,2,48,0.55807,1.79,8.55,1.293
ours_2x_fixed,2,48,0.56334,1.78,8.49,1.295
ours_2x_fixed,2,48,0.5686,1.76,8.45,1.3
ours_2x_fixed,2,48,0.57387,1.74,8.26,1.28
ours_2x_fixed,2,48,0.57913,1.73,8.0,1.25
ours_2x_fixed,2,48,0.5844,1.71,8.0,1.26
ours_2x_fixed,2,48,0.58966,1.7,7.98,1.268
ours_2x_fixed,2,48,0.59493,1.68,7.97,1.277
ours_2x_fixed,2,48,0.60019,1.67,7.89,1.275
ours_2x_fixed,2,48,0.60546,1.65,7.85,1.278
ours_2x_fixed,2,48,0.61072,1.64,7.89,1.296
ours_2x_fixed,2,48,0.61599,1.62,7.76,1.286
ours_2x_fixed,2,48,0.62125,1.61,7.63,1.276
ours_2x_fixed,2,48,0.62652,1.6,7.53,1.269
ours_2x_fixed,2,48,0.63178,1.58,7.63,1.297
ours_2x_fixed,2,48,0.63705,1.57,7.65,1.313
ours_2x_fixed,2,48,0.64231,1.56,7.54,1.305
ours_2x_fixed,2,48,0.64758,1.54,7.45,1.303
ours_2x_fixed,2,48,0.65284,1.53,7.42,1.309
ours_2x_fixed,2,48,0.65811,1.52,7.27,1.294
ours_2x_fixed,2,48,0.66337,1.51,6.58,1.176
ours_2x_fixed,2,48,0.66864,1.5,4.48,0.799
