map,cycles_per_km,amplitude_levels,vs_vanilla
ours_plain_rescale,0.05,396.5,0.421
ours_plain_rescale,0.1,151.8,0.704
ours_plain_rescale,0.15,105.3,1.225
ours_plain_rescale,0.2,60.9,1.354
ours_plain_rescale,0.3,29.2,1.495
ours_shipped_isotropic,0.05,504.8,0.536
ours_shipped_isotropic,0.1,80.2,0.372
ours_shipped_isotropic,0.15,22.6,0.263
ours_shipped_isotropic,0.2,10.2,0.227
ours_shipped_isotropic,0.3,4.1,0.21
ours_eroded,0.05,1066.3,1.132
ours_eroded,0.1,249.9,1.16
ours_eroded,0.15,85.9,0.999
ours_eroded,0.2,40.8,0.907
ours_eroded,0.3,40.1,2.053
ck3_vanilla,0.05,942.3,1.0
ck3_vanilla,0.1,215.5,1.0
ck3_vanilla,0.15,86.0,1.0
ck3_vanilla,0.2,45.0,1.001
ck3_vanilla,0.3,19.5,0.998
