ck2_id,name,pixel_count,ring_px,ring_land_pixel_count,shore_median_level,risers_above_water,canvas_centroid_y,canvas_centroid_x,region
1966,Lake Menuap,393,15,1543,12362.0,27.0,4600.2,7653.6,other
1970,Lake Dingin,190,15,1112,10007.5,18.5,4461.1,7844.3,other
2685,Lake Chrysalis,16,15,722,9315.0,16.0,1747.1,1957.4,other
1955,The Lost King,236,15,1737,9038.0,15.0,2642.9,7046.2,other
1988,Arch Basin,34,15,765,9038.0,15.0,1633.1,3696.3,other
1992,Ulvarr Water,242,15,1326,9038.0,15.0,2437.3,824.5,other
1956,Hungste,193,15,1251,8761.0,14.0,2926.5,6483.4,other
1968,Lake Pasar,254,15,1247,8761.0,14.0,4570.8,7947.2,other
1905,Lake Woe,559,15,2803,8484.0,13.0,505.8,3016.4,other
1953,Akundi,312,15,1618,8207.0,12.0,2547.7,6770.9,other
1954,Dharbang,156,15,1210,8207.0,12.0,2577.9,6743.6,other
1946,Myrloch,884,15,2179,7930.0,11.0,1724.7,1923.9,other
1904,Lake Thaylambar,7268,15,5613,7099.0,8.0,1859.2,5130.6,thay
1906,Lake Tirulag,638,15,1684,5991.0,4.0,1554.5,5084.5,thay
1973,Yeshelmaar Lake,241,15,1275,5991.0,4.0,1513.3,4791.5,thay
1972,Lake Murthil,369,15,1570,5714.0,3.0,1510.6,4925.9,thay
1974,Lake Flamm,127,15,975,5714.0,3.0,1610.2,4709.2,thay
