file,bytes,blocks,named_objects,id_instances,generated_count_sum
gfx/map/map_object_data/activities.txt,1827535,1,1,11297,0
gfx/map/map_object_data/animals.txt,53735,13,13,0,530
gfx/map/map_object_data/audio_emitters.txt,135134,6,6,0,1372
gfx/map/map_object_data/bridges.txt,18931,5,5,0,187
gfx/map/map_object_data/building_locators.txt,1835660,1,1,11297,0
gfx/map/map_object_data/changan_building.txt,295,1,1,0,1
gfx/map/map_object_data/cliffs_coastline.txt,3507,4,4,0,28
gfx/map/map_object_data/cliffs_rock.txt,1245,8,8,0,0
gfx/map/map_object_data/coast_foam.txt,561,3,3,0,0
gfx/map/map_object_data/combat_locators.txt,1956926,1,1,12065,0
gfx/map/map_object_data/effect_layers.txt,347,0,3,0,0
gfx/map/map_object_data/env_effects.txt,69861,11,11,0,706
gfx/map/map_object_data/game_object_layers.txt,298,0,3,0,0
gfx/map/map_object_data/generated/reeds_01_generator_1.txt,4532942,3,3,0,47085
gfx/map/map_object_data/generated/steppe_bush_01_generator.txt,448689,1,1,0,4647
gfx/map/map_object_data/generated/tree_cypress_01_generator_1.txt,687223,3,3,0,7138
gfx/map/map_object_data/generated/tree_jungle_01_c_generator_1.txt,117536,1,1,0,1227
gfx/map/map_object_data/generated/tree_jungle_01_d_generator_1.txt,3657554,1,1,0,38113
gfx/map/map_object_data/generated/tree_leaf_01_single_generator_1.txt,378950,1,1,0,3954
gfx/map/map_object_data/generated/tree_leaf_2_high_generator_1.txt,1427760,2,2,0,14831
gfx/map/map_object_data/generated/tree_leaf_high_generator_1.txt,13350371,1,1,0,138645
gfx/map/map_object_data/generated/tree_leaf_high_generator_2.txt,3492158,1,1,0,36248
gfx/map/map_object_data/generated/tree_leaf_high_generator_3.txt,7144177,1,1,0,74170
gfx/map/map_object_data/generated/tree_palm_generator_1.txt,1222658,1,1,0,12739
gfx/map/map_object_data/generated/tree_pine_01_a_generator_1.txt,5016727,3,3,0,51997
gfx/map/map_object_data/generated/tree_pine_01_b_generator_1.txt,8413942,1,1,0,87196
gfx/map/map_object_data/generated/tree_pine_impassable_01_a_generator_1.txt,2934272,1,1,0,30406
gfx/map/map_object_data/generated/tree_sakura_01_generator.txt,31373,1,1,0,323
gfx/map/map_object_data/generated/tree_sakura_02_generator.txt,5311,1,1,0,53
gfx/map/map_object_data/generated/tree_sakura_03_generator.txt,13987,1,1,0,143
gfx/map/map_object_data/generated/tree_sakura_forest_generator.txt,20955,3,3,0,211
gfx/map/map_object_data/great_wall_china.txt,829,3,3,0,3
gfx/map/map_object_data/great_wall_china_gate.txt,967,1,1,0,11
gfx/map/map_object_data/lakes.txt,22999,1,1,0,232
gfx/map/map_object_data/layers.txt,1201,0,9,0,0
gfx/map/map_object_data/map_table_ce1.txt,1821,6,6,0,6
gfx/map/map_object_data/map_table_ep3.txt,882,3,3,0,3
gfx/map/map_object_data/map_table_tgp.txt,599,2,2,0,2
gfx/map/map_object_data/map_table_western.txt,1264,4,4,0,4
gfx/map/map_object_data/other_stack_locators.txt,1479612,1,1,8906,0
gfx/map/map_object_data/player_stack_locators.txt,1958017,1,1,12065,0
gfx/map/map_object_data/siege_locators.txt,1817023,1,1,11297,0
gfx/map/map_object_data/special.txt,5958,19,19,0,24
gfx/map/map_object_data/special_building_locators.txt,1914056,1,1,11297,0
gfx/map/map_object_data/stack_locators.txt,690676,1,1,4348,0
gfx/map/map_object_data/test_objects.txt,202,0,2,0,0
