county,ck2_province,baronies,county_px,county_radius_px,distinct_slots,distinct_slots_inside_county,spread_all_slots_px,spread_inside_px,spread_inside_over_radius
c_abarun,1780,1,25627,90.3,7,4,7995.6,44.8,0.496
c_abreon,423,2,4026,35.8,5,2,62.6,23.3,0.652
c_achelar,1741,2,11765,61.2,7,4,3784.8,37.5,0.613
c_adamas_tooth,765,2,4729,38.8,6,4,63.4,48.0,1.238
c_adbarrim,2449,2,1207,19.6,3,3,23.3,23.3,1.187
c_addak,621,1,14528,68.0,6,6,61.8,61.8,0.909
c_adder_swamp,671,1,4734,38.8,5,3,65.1,37.0,0.953
c_adder_woods,598,1,12069,62.0,3,3,24.2,24.2,0.39
c_adderspring,1722,1,10730,58.4,7,4,4894.7,32.6,0.557
c_adhal,1398,2,5671,42.5,7,5,4896.1,42.5,1.001
c_adrila,1456,1,14281,67.4,4,4,36.0,36.0,0.534
c_aerilpar_forest,762,1,3232,32.1,6,5,62.6,41.4,1.291
c_ahlarkhem,171,3,3415,33.0,7,5,55.5,27.5,0.833
c_ahma,418,1,8028,50.6,5,4,61.8,61.8,1.223
c_ahruukar,2520,3,1878,24.4,3,3,23.3,23.3,0.954
c_ahtitlak,1267,2,16467,72.4,5,5,86.2,86.2,1.19
c_aib,1555,2,4672,38.6,4,3,56.4,56.4,1.463
c_aina,678,2,8433,51.8,7,5,66.3,54.6,1.054
c_airspur,578,3,8418,51.8,5,4,63.6,61.8,1.195
c_ajayib,1605,3,4160,36.4,5,4,47.9,34.0,0.935
c_ajmer_forest,775,1,10198,57.0,5,5,62.6,62.6,1.099
c_akaam,414,2,4746,38.9,5,3,62.6,37.0,0.952
c_akanax,630,2,4234,36.7,7,5,84.2,46.1,1.255
c_akararbasa,1758,1,21288,82.3,7,4,5628.7,59.2,0.72
c_akashay,933,1,16358,72.2,5,5,62.6,62.6,0.868
c_akshu,1372,3,25758,90.5,6,6,62.6,62.6,0.692
c_al_abib,1587,1,4870,39.4,4,4,25.2,25.2,0.641
c_al_anwahr,953,1,9444,54.8,4,3,48.3,23.8,0.434
c_al_asirr,1525,3,7568,49.1,5,4,57.6,28.8,0.588
c_al_azra,942,2,3969,35.5,5,3,62.6,37.9,1.068
c_al_faddi,1400,1,22266,84.2,7,6,5050.9,59.0,0.701
c_al_faraq_islands,1483,1,2181,26.3,5,2,64.0,30.3,1.149
c_al_hanieh,1504,1,15359,69.9,4,3,61.8,30.1,0.43
c_al_harir,943,1,7720,49.6,5,4,74.0,62.6,1.263
c_al_harmah,1484,2,5403,41.5,3,2,41.4,22.5,0.542
c_al_haul,952,1,8919,53.3,5,4,61.8,48.3,0.906
c_al_kidr,959,1,14544,68.0,5,5,62.6,62.6,0.92
c_al_kurtum,1521,1,7948,50.3,4,3,59.3,42.1,0.836
c_al_mahabanah,1603,1,4286,36.9,5,3,62.4,36.2,0.981
c_al_malih,1463,2,6859,46.7,5,5,31.3,31.3,0.669
c_al_munamma,1478,2,6236,44.6,3,3,34.1,34.1,0.764
c_al_nuziyyah,1556,2,3772,34.7,5,3,48.5,22.6,0.653
c_al_qahera,1075,3,39148,111.6,5,5,62.6,62.6,0.561
c_al_sarif,1466,1,6936,47.0,5,5,52.4,52.4,1.115
c_al_tarik_islands,1607,1,1720,23.4,5,2,57.3,12.2,0.52
c_al_wahl,1452,2,6727,46.3,5,5,33.2,33.2,0.718
c_al_zabdiyat,2166,1,2204,26.5,3,2,23.3,22.8,0.862
c_alaghon,238,4,2341,27.3,5,3,62.6,27.3,1.001
c_alamaqu,1332,1,15746,70.8,6,5,80.0,80.0,1.131
c_alamirs_end,161,3,6623,45.9,6,4,61.1,50.0,1.09
c_alamontyr,498,3,3903,35.2,6,2,55.1,8.2,0.234
c_alaoreum,239,1,3873,35.1,5,3,62.6,25.7,0.732
c_alashan,977,4,4137,36.3,6,6,52.6,52.6,1.45
c_aldani_basin,456,1,8328,51.5,7,7,51.9,51.9,1.008
c_aldoman,2396,1,37605,109.4,5,5,66.4,66.4,0.607
c_aldreth,1639,1,1215,19.7,4,3,50.0,22.0,1.116
c_alisiwhann,140,3,2852,30.1,7,6,88.0,48.8,1.621
c_almawt,1622,1,7763,49.7,3,2,32.6,22.5,0.452
c_almorel,913,2,5265,40.9,5,4,67.3,65.2,1.593
c_almraiven,151,2,6902,46.9,6,4,79.4,36.2,0.773
c_alonmarch,129,3,9386,54.7,5,5,62.6,62.6,1.146
c_alorev,2133,1,4182,36.5,4,4,40.8,40.8,1.119
c_alphar_and_kelthan,1137,1,970,17.6,6,1,62.4,0.0,0.0
c_aluar,643,2,8192,51.1,6,4,86.6,40.8,0.799
c_aluivyn,1206,3,6041,43.9,7,4,4849.5,48.8,1.113
c_aman,1552,1,9328,54.5,4,4,47.4,47.4,0.87
c_amarrev,1683,1,6746,46.3,4,4,49.5,49.5,1.068
c_amassa,827,1,22073,83.8,5,5,62.6,62.6,0.747
c_amazandar,1104,3,3518,33.5,4,4,27.0,27.0,0.807
c_amekufa,2368,3,22552,84.7,3,2,75.0,22.5,0.265
c_amkethran,235,3,5743,42.8,5,4,63.3,59.5,1.393
c_ammathluir,737,2,6436,45.3,6,6,63.0,63.0,1.391
c_ammathtar,736,3,29608,97.1,5,5,62.6,62.6,0.645
c_amnwater,80,4,5114,40.3,4,4,30.6,30.6,0.758
c_amphail,2,3,2981,30.8,4,4,24.1,24.1,0.782
c_amral,2394,1,4821,39.2,6,6,52.2,52.2,1.331
c_amruthar,1048,2,10855,58.8,6,6,77.8,77.8,1.323
c_amry,303,2,3489,33.3,6,2,52.9,10.0,0.3
c_amstelar,2530,2,8630,52.4,3,3,43.8,43.8,0.836
c_amtar_eave,1739,1,12672,63.5,7,4,4619.3,54.7,0.861
c_anarath,1260,1,20867,81.5,4,4,55.3,55.3,0.679
c_anauril,1100,1,3515,33.4,3,3,23.3,23.3,0.695
c_ancients_hollow,2311,1,3739,34.5,7,4,192.8,78.2,2.268
c_angast,674,3,16710,72.9,5,5,62.6,62.6,0.859
c_angol,665,2,16385,72.2,5,5,63.6,63.6,0.88
c_anhaurz,1038,2,4010,35.7,6,5,52.6,42.8,1.198
c_ankatatra,1499,1,18317,76.4,4,4,27.1,27.1,0.355
c_ankhapur,173,4,12637,63.4,5,4,67.1,62.6,0.987
c_ankhur,2496,3,5376,41.4,3,3,23.3,23.3,0.564
c_ankhwood,604,1,7568,49.1,6,4,72.0,42.2,0.86
c_anklis_and_qusur,1611,1,1151,19.1,5,2,70.1,2.0,0.104
c_anktarina,1190,1,34311,104.5,7,7,69.8,69.8,0.668
c_ansi,877,1,49755,125.8,7,7,111.9,111.9,0.889
c_ar_rasumah,1559,1,6725,46.3,3,2,31.6,22.5,0.486
c_araash,2153,1,4630,38.4,5,4,53.6,35.5,0.924
c_arabalar,417,2,4082,36.0,5,3,62.5,62.5,1.733
c_arabel,253,4,3752,34.6,7,6,58.2,36.7,1.061
c_aradiman,2149,1,4032,35.8,6,5,55.7,41.2,1.15
c_arael_hills,2159,1,4237,36.7,4,4,39.1,39.1,1.063
c_araksa,1120,1,266,9.2,4,2,41.1,3.6,0.392
c_araneh,1602,2,5410,41.5,5,4,97.6,47.4,1.143
c_arangyn,1656,2,2410,27.7,4,3,65.5,26.7,0.963
c_arashand,2158,1,4350,37.2,5,4,56.9,53.2,1.431
c_araugul,373,1,4958,39.7,3,3,35.0,35.0,0.881
c_arcata,361,2,11057,59.3,6,6,51.7,51.7,0.871
c_arch_wood,2575,1,1634,22.8,3,3,22.8,22.8,1.002
c_archenbridge,273,3,2133,26.1,5,4,77.9,53.2,2.04
c_archtassel,2574,2,1323,20.5,4,4,24.8,24.8,1.206
c_ardeep_forest,233,3,2642,29.0,7,6,51.9,41.4,1.428
c_ardeepsward,22,2,2627,28.9,7,3,47.1,26.9,0.931
c_ardhi_kavu,2366,2,6707,46.2,4,3,43.0,27.0,0.585
c_aretax_bay,2138,1,4235,36.7,6,5,37.5,37.5,1.021
c_argaervale,1671,1,4954,39.7,5,5,50.7,50.7,1.277
c_argenmoor,1713,1,11954,61.7,7,4,4448.3,39.4,0.639
c_argul,1654,1,2841,30.1,6,6,33.7,33.7,1.122
c_arjol,1751,1,23230,86.0,7,4,5042.1,67.1,0.781
c_armridge,1160,1,34465,104.7,5,5,63.3,63.3,0.604
c_arn_forest,53,1,3628,34.0,7,5,61.5,31.0,0.912
c_arnrock,2308,1,328,10.2,7,4,30.1,20.0,1.957
c_arrabar,210,4,3052,31.2,3,2,49.6,10.2,0.327
c_arran,607,3,6233,44.5,6,6,62.6,62.6,1.407
c_arthyn,1193,2,4641,38.4,6,4,61.1,39.0,1.015
c_arylon,91,1,4157,36.4,4,4,37.6,37.6,1.033
c_asbravn,95,1,6840,46.7,7,3,86.6,49.8,1.068
c_ascalhorn,105,4,4995,39.9,7,7,56.9,56.9,1.427
c_ascore,2461,1,2621,28.9,4,4,41.4,41.4,1.435
c_ashabenford,279,3,1786,23.8,7,5,119.1,44.9,1.884
c_ashanvast,1010,1,5448,41.6,6,6,59.0,59.0,1.418
c_ashenwood,1016,1,5324,41.2,5,5,62.6,62.6,1.521
c_asher_plain,562,1,19694,79.2,5,5,62.6,62.6,0.791
c_ashfields,2460,2,5948,43.5,3,3,23.3,23.3,0.535
c_aspervi,921,1,20938,81.6,5,5,74.0,74.0,0.906
c_assam,195,2,9791,55.8,5,4,62.6,61.8,1.108
c_assundath,655,2,12862,64.0,6,5,67.7,52.9,0.827
c_atai,1376,1,24730,88.7,5,5,62.6,62.6,0.706
c_atars_looking_glass,1067,1,7486,48.8,7,5,71.3,40.3,0.825
c_athab_cape,704,2,5818,43.0,5,4,71.3,62.6,1.455
c_athkatla,74,3,2077,25.7,7,4,51.7,14.6,0.566
c_atoratgins,906,1,26801,92.4,6,6,62.6,62.6,0.678
c_aurils_end,1788,1,30199,98.0,7,4,6251.6,67.5,0.689
c_aurora,1259,1,14337,67.6,7,6,122.1,104.2,1.543
c_aval,1762,1,15657,70.6,7,4,7363.0,67.7,0.959
c_avax,617,2,8364,51.6,7,6,71.1,62.4,1.209
c_avyn,840,1,23203,85.9,5,5,67.5,67.5,0.785
c_axard,1179,1,406,11.4,6,3,53.6,8.0,0.704
c_azhul_pass,1231,1,5197,40.7,7,5,3733.7,68.0,1.671
c_aznawood,1738,1,22678,85.0,7,4,4391.3,51.2,0.602
c_aztul,436,2,3838,35.0,5,2,52.9,25.3,0.724
c_azun,481,3,16835,73.2,5,5,62.6,62.6,0.856
c_azuni,653,2,9016,53.6,6,5,68.7,61.4,1.146
c_bab_al_gaba,1522,2,7292,48.2,5,4,58.1,34.7,0.721
c_babado,2118,3,8265,51.3,4,2,49.2,7.2,0.141
c_baelrah,291,2,4222,36.7,6,4,81.2,41.6,1.135
c_bahat,1783,1,15550,70.4,7,4,7286.2,38.0,0.54
c_bakhuk,869,1,44845,119.5,5,5,82.2,82.2,0.688
c_balaj,487,1,22549,84.7,5,5,70.3,70.3,0.83
c_baldurs_gate,13,4,4273,36.9,7,4,46.1,31.4,0.851
c_bamas,506,1,10381,57.5,7,7,56.4,56.4,0.982
c_banai,1279,1,30841,99.1,5,5,62.6,62.6,0.632
c_banda,887,1,46721,121.9,7,7,115.3,115.3,0.945
c_banlm,904,2,37178,108.8,5,5,72.9,72.9,0.67
c_banu,721,3,4698,38.7,6,5,52.9,45.0,1.165
c_bara,893,1,36782,108.2,7,6,907.2,69.5,0.642
c_barbarians_road,782,1,18656,77.1,5,5,63.3,63.3,0.821
c_bardshyr,121,3,6804,46.5,5,4,62.6,37.0,0.795
c_bariya,880,1,27570,93.7,5,5,67.4,67.4,0.719
c_barrowfield,2607,2,1463,21.6,6,6,34.4,34.4,1.596
c_barze,354,1,8587,52.3,3,3,24.2,24.2,0.462
c_bathme,636,2,6208,44.5,5,5,62.6,62.6,1.409
c_batiriland,1421,1,5871,43.2,7,7,35.4,35.4,0.818
c_battle_of_bones,1238,1,4500,37.8,7,5,4576.8,43.3,1.144
c_bauthwaf,2494,1,948,17.4,5,4,35.9,24.7,1.422
c_beacon_cairn,914,1,7469,48.8,7,6,77.6,61.9,1.269
c_beacon_rocks,298,1,582,13.6,6,2,73.4,11.7,0.857
c_beast_country,2606,1,3225,32.0,5,5,47.4,47.4,1.48
c_beast_lands,763,1,7341,48.3,5,4,62.6,62.6,1.296
c_beast_marches,2420,2,3200,31.9,5,5,34.4,34.4,1.079
c_beastburn,738,1,16112,71.6,5,5,62.6,62.6,0.874
c_beasts_coast,1197,1,2360,27.4,7,4,57.4,40.4,1.473
c_beland,480,1,22746,85.1,5,4,62.6,62.4,0.733
c_beldenshyn,1704,1,4806,39.1,7,6,4432.2,51.0,1.304
c_belhancol,2116,3,10838,58.7,3,3,50.1,50.1,0.853
c_beliard,100,2,9626,55.4,7,6,52.9,51.4,0.929
c_belintholme,1112,1,2060,25.6,5,4,41.4,30.4,1.186
c_bellakh,1653,1,4163,36.4,4,3,60.9,36.4,1.0
c_belprins_hold,1644,1,4604,38.3,4,4,46.0,46.0,1.201
c_beluir,747,4,7556,49.0,6,5,65.5,53.0,1.081
c_bender_adewah,1621,1,921,17.1,5,3,37.1,18.4,1.077
c_bender_berdh,1620,1,9301,54.4,4,3,80.5,32.8,0.603
c_beowood,1184,1,12918,64.1,7,5,146.5,52.4,0.817
c_berdusk,66,3,3101,31.4,7,4,66.7,33.2,1.058
c_beregost,62,3,11068,59.4,6,4,113.6,65.8,1.109
c_bezantur,1032,5,5072,40.2,7,6,64.1,64.1,1.595
c_bezentil,994,1,6926,47.0,7,6,57.4,48.6,1.035
c_bhaerlith,1068,1,11900,61.5,7,5,157.3,37.4,0.607
c_bhaluin,778,1,493,12.5,5,1,61.8,0.0,0.0
c_bhaulaea,1261,1,12837,63.9,7,5,79.9,59.0,0.924
c_bidnop_so,1291,3,28507,95.3,5,5,62.6,62.6,0.657
c_bildoobaris,992,2,3233,32.1,5,4,62.6,62.6,1.952
c_binatang,1359,1,20327,80.4,6,6,77.1,77.1,0.958
c_bisatare,1487,2,4905,39.5,5,4,50.2,50.2,1.271
c_bisoturi,865,1,19256,78.3,7,6,107.2,86.8,1.109
c_bitter_well,891,1,34665,105.0,5,5,74.8,74.8,0.713
c_bjeoerns_pass,1185,1,9763,55.7,7,6,109.6,63.1,1.133
c_black_ash_plain,667,1,13913,66.5,5,3,131.1,35.8,0.539
c_blackfeather_bridge,276,1,1753,23.6,7,6,56.9,33.8,1.432
c_blackford,42,2,3410,32.9,6,5,52.9,30.9,0.938
c_blackhold,2387,2,3666,34.2,5,5,62.6,62.6,1.834
c_blackvale,431,1,5349,41.3,5,4,62.6,57.4,1.392
c_bladed_coast,948,1,7578,49.1,7,5,63.3,51.2,1.043
c_bloodhawk_hold,2626,1,5720,42.7,7,4,5594.4,63.7,1.493
c_bloodlake,1745,1,13363,65.2,7,4,5204.2,40.5,0.621
c_bloodstone,362,2,1849,24.3,6,5,65.2,41.1,1.695
c_blumantle_pass,786,1,15942,71.2,7,6,68.6,68.6,0.963
c_boareskyr_bridge,1583,1,6731,46.3,7,4,4599.0,43.4,0.938
c_boorva,845,1,14953,69.0,7,5,90.0,57.6,0.834
c_borich,850,1,32896,102.3,7,7,81.2,81.2,0.793
c_bottomless_bog,384,3,8526,52.1,3,3,39.2,39.2,0.753
c_bowshot,1163,3,6565,45.7,6,6,62.6,62.6,1.37
c_braleuz,833,1,19788,79.4,5,5,62.6,62.6,0.789
c_brandiar,364,2,8210,51.1,6,5,51.9,41.4,0.81
c_bregenduth,1651,1,7422,48.6,4,3,60.1,53.9,1.109
c_bregonshire,312,1,988,17.7,6,2,63.1,10.2,0.575
c_brightaxe_hall,2652,1,639,14.3,3,0,23.8,0.0,0.0
c_brightfields,484,1,17396,74.4,5,5,62.6,62.6,0.842
c_brittlebone_coast,2155,1,2894,30.4,5,3,49.2,23.8,0.783
c_broadfields,204,1,10736,58.5,7,5,117.9,74.9,1.282
c_broaspu,1074,1,16104,71.6,5,5,62.6,62.6,0.875
c_broken_swords,522,1,12774,63.8,5,5,62.6,62.6,0.982
c_broken_wall_pass,980,2,7859,50.0,5,5,62.6,62.6,1.252
c_broken_well,2619,1,1569,22.3,6,5,6568.7,41.3,1.85
c_bronze_falcon,964,2,19380,78.5,5,5,62.6,62.6,0.797
c_bronzehelms,1342,2,2616,28.9,6,4,52.9,19.1,0.662
