y,x,index_rgba,intensity_rgba,material_ids,mask_values_at_those_ids,top4_by_mask,in_top4
3091,7816,6/7/5/255,141/112/2/0,beach_02/beach_02_mediterranean/debug/?,141/112/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
3709,8304,6/7/5/255,141/112/2/0,beach_02/beach_02_mediterranean/debug/?,141/112/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
104,9054,6/5/255/255,251/4/0/0,beach_02/debug/?/?,251/4/-1/-1,beach_02/debug/drought/drought_cracks,2
3722,9001,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
2160,8338,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
2374,4319,15/78/86/85,136/119/0/0,desert_rocky/gen_central_mountain_transition/gen_desert_base/gen_steppe_mountain_transition,55/0/13/0,desert_rocky/gen_desert_lowlands_02/gen_drylands_lowlands/gen_drylands_lowlands_03,1
2904,6210,63/45/64/65,115/84/56/0,central_lowlands_02/mountain_02_desert_c/central_lowlands_03/gen_tropical_base,0/0/0/12,gen_central_lowlands/plains_01_rough/gen_central_lowlands_02/gen_central_lowlands_03,0
1316,1108,6/255/255/255,255/0/0/0,beach_02/?/?/?,255/-1/-1/-1,beach_02/drought/flood/drought_cracks,1
4513,8312,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
248,4243,47/92/93/94,196/27/18/14,mountain_03/gen_desert_mountain/gen_desert_mountain_transition/gen_drylands_base,0/0/0/0,steppe_bushes/gen_northern_lowlands/gen_northern_lowlands_02/gen_northern_lowlands_03,0
1280,3355,25/71/70/63,158/57/22/18,forest_leaf_01/gen_tropical_mountain_transition/gen_tropical_mountain/central_lowlands_02,137/0/0/0,forest_leaf_01/gen_steppe_lowlands_02/gen_steppe_lowlands/gen_central_lowlands,1
1766,5006,82/76/78/86,194/61/0/0,gen_steppe_lowlands_03/gen_central_hills/gen_central_mountain_transition/gen_desert_base,0/0/0/43,gen_desert_mountain/gen_desert_base/gen_drylands_lowlands_02/gen_desert_lowlands_02,1
2632,1611,6/12/18/11,128/49/48/30,beach_02/desert_02/drylands_01/desert_01,127/48/47/30,beach_02/desert_02/drylands_01/desert_01,4
1882,7249,6/5/255/255,251/4/0/0,beach_02/debug/?/?,251/4/-1/-1,beach_02/debug/drought/drought_cracks,2
603,7529,64/68/93/255,105/75/75/0,central_lowlands_03/gen_tropical_lowlands_03/gen_desert_mountain_transition/?,0/0/0/-1,gen_central_lowlands_02/gen_central_mountain_transition/gen_northern_lowlands_02/gen_central_lowlands,0
