terrain,windows,px_share_pct,hf_rms_levels,hf_rms_p90,grad_mean_levels_per_km,mean_level
desert,300,4.29,91.2,196.2,92.9,11995.5
desert_mountains,300,1.042,322.6,399.0,304.4,20044.9
drylands,300,3.199,96.9,167.2,102.2,10080.2
farmlands,300,0.414,96.7,221.6,92.4,6740.5
floodplains,300,0.372,106.0,173.9,104.3,7152.6
forest,300,2.664,110.7,198.2,115.0,8304.3
hills,300,6.296,213.3,303.5,208.6,16247.8
jungle,300,1.684,120.7,200.2,120.9,7996.0
mountains,300,3.891,311.4,422.6,293.3,23536.1
oasis,300,0.292,121.8,245.4,132.1,13582.0
plains,300,68.342,86.3,204.6,88.9,10453.1
steppe,300,2.583,97.2,144.1,103.3,14101.8
taiga,300,3.725,70.1,123.3,69.7,6680.1
terraced_hills,300,0.252,253.2,358.8,250.3,13353.7
wetlands,300,0.955,70.4,119.2,70.1,6218.3
