province,centroid_x,centroid_y_top,loc_x,loc_y,loc_z,dx,dz_if_bottom_origin,dz_if_top_origin
1,261.1,136.8,271.799835,0.0,4462.883301,10.7,8.4,4326.1
2,266.0,238.6,228.109695,0.0,4356.450195,-37.9,12.9,4117.8
3,300.6,273.1,294.780823,0.0,4322.118164,-5.8,12.7,4049.0
4,487.4,220.0,503.786743,0.0,4394.661621,16.4,-6.7,4174.6
5,382.8,171.9,404.669464,0.0,4432.13916,21.9,4.0,4260.3
6,677.5,490.3,678.077637,0.0,4119.085449,0.6,-1.4,3628.7
7,963.6,614.9,955.077637,0.0,3983.085449,-8.6,10.0,3368.2
8,852.2,709.1,860.077637,0.0,3890.085449,7.9,8.8,3181.0
9,549.6,1029.6,542.383362,0.0,3580.008301,-7.2,-1.6,2550.4
10,558.9,1006.7,568.077637,0.0,3599.085449,9.2,2.2,2592.3
11,591.2,996.0,592.177246,0.0,3610.493164,1.0,1.5,2614.5
12,604.0,1014.6,596.469238,0.0,3594.519531,-7.5,-1.1,2579.9
13,640.1,1008.4,639.077637,0.0,3593.085449,-1.0,6.5,2584.7
14,651.1,1030.7,665.144104,0.0,3576.869141,14.0,0.4,2546.2
15,661.9,1065.9,657.077637,0.0,3539.085449,-4.8,3.0,2473.2
16,448.5,1252.8,431.576141,0.0,3356.923828,-16.9,-1.7,2104.1
17,612.7,1053.8,623.499207,0.0,3547.091797,10.8,7.1,2493.3
18,635.7,1079.2,630.077637,0.0,3523.085449,-5.6,5.7,2443.9
19,620.8,1096.6,620.077637,0.0,3509.085449,-0.7,2.4,2412.5
20,458.8,1117.7,447.077637,0.0,3491.085449,-11.7,-0.8,2373.4
21,483.6,1095.0,483.257385,0.0,3513.375488,-0.4,-0.4,2418.4
22,513.1,1071.8,519.791992,0.0,3542.541016,6.7,-6.4,2470.7
23,512.0,1141.2,510.050232,0.0,3469.396973,-2.0,-2.6,2328.2
24,546.5,1058.9,541.077637,0.0,3540.085449,-5.4,9.0,2481.2
25,574.5,1050.2,576.893738,0.0,3554.563477,2.3,3.3,2504.4
26,566.2,1083.5,561.701172,0.0,3517.486816,-4.5,7.0,2433.9
27,601.0,1098.6,599.077637,0.0,3506.085449,-1.9,3.3,2407.5
28,623.7,1144.9,623.077637,0.0,3458.085449,-0.6,5.0,2313.1
29,627.4,1167.4,625.077637,0.0,3437.085449,-2.3,3.5,2269.7
30,592.1,1149.6,598.077637,0.0,3454.085449,5.9,4.3,2304.5
31,593.8,1136.1,593.077637,0.0,3470.085449,-0.8,1.8,2334.0
32,620.4,1122.2,620.123596,0.0,3483.348145,-0.3,2.5,2361.2
33,559.5,1131.7,553.077637,0.0,3474.085449,-6.4,2.2,2342.4
34,545.4,1154.5,540.077637,0.0,3454.085449,-5.3,-0.6,2299.6
35,685.9,884.4,683.072754,0.0,3719.364746,-2.8,4.2,2835.0
36,588.4,1114.2,585.077637,0.0,3487.085449,-3.3,6.7,2372.9
37,599.3,1219.9,598.077637,0.0,3388.085449,-1.2,-0.0,2168.1
38,607.6,1202.3,596.746887,0.0,3404.849609,-10.9,0.8,2202.5
39,609.4,1186.9,604.304199,0.0,3421.362793,-5.1,-0.3,2234.5
40,601.3,1170.6,601.077637,0.0,3440.085449,-0.2,-2.6,2269.5
41,553.6,1178.4,550.497681,0.0,3425.575195,-3.1,4.0,2247.2
42,574.8,1161.4,574.077637,0.0,3443.085449,-0.7,3.5,2281.6
43,576.9,1181.9,576.077637,0.0,3424.085449,-0.8,2.0,2242.2
44,574.7,1204.9,574.077637,0.0,3400.085449,-0.6,3.0,2195.1
