set,index,palette_rgb,px,pct
ck2_vanilla,0,0/255/0,209,0.0033
ck2_vanilla,1,255/0/0,143,0.0023
ck2_vanilla,2,255/252/0,16,0.0003
ck2_vanilla,3,0/225/255,15713,0.2498
ck2_vanilla,4,0/200/255,3064,0.0487
ck2_vanilla,5,0/150/255,1397,0.0222
ck2_vanilla,6,0/100/255,11405,0.1813
ck2_vanilla,7,0/0/255,1584,0.0252
ck2_vanilla,8,0/0/225,8929,0.1419
ck2_vanilla,9,0/0/200,1248,0.0198
ck2_vanilla,10,0/0/150,5164,0.0821
ck2_vanilla,11,0/0/100,5145,0.0818
ck2_vanilla,12,0/85/0,1,0.0
ck2_vanilla,14,0/158/0,4,0.0001
ck2_vanilla,15,24/206/0,1,0.0
ck2_vanilla,254,255/0/128,1767391,28.0919
ck2_vanilla,255,255/255/255,4470042,71.0494
ck2_faerun,0,0/255/0,350,0.0026
ck2_faerun,1,255/0/0,308,0.0023
ck2_faerun,2,255/252/0,9,0.0001
ck2_faerun,3,0/225/255,27927,0.2049
ck2_faerun,4,0/200/255,15270,0.112
ck2_faerun,6,0/100/255,16120,0.1183
ck2_faerun,11,0/0/100,5267,0.0386
ck2_faerun,255,255/255/255,13566237,99.5213
ck3_vanilla,0,0/255/0,631,0.0015
ck3_vanilla,1,255/0/0,630,0.0015
ck3_vanilla,2,255/252/0,31,0.0001
ck3_vanilla,3,0/225/255,161041,0.3792
ck3_vanilla,4,0/200/255,20356,0.0479
ck3_vanilla,5,0/150/255,42533,0.1002
ck3_vanilla,6,0/100/255,17883,0.0421
ck3_vanilla,7,0/0/255,5,0.0
ck3_vanilla,8,0/0/225,1049,0.0025
ck3_vanilla,9,0/0/200,32926,0.0775
ck3_vanilla,10,0/0/150,1702,0.004
ck3_vanilla,11,0/0/100,7349,0.0173
ck3_vanilla,13,0/125/0,2,0.0
ck3_vanilla,15,24/206/0,2,0.0
ck3_vanilla,254,255/0/128,18781357,44.2254
ck3_vanilla,255,255/255/255,23399831,55.1008
