barony,county,ck3_province,seed_x,seed_y,current_centroid_x,current_centroid_y,dist_px,seed_in_current_cell,current_seed_source
b_abarun,c_abarun,3137,7058,1014,7060.3,1011.9,3.1,yes,capital_position
b_abreon,c_abreon,1529,3233,3503,3233.6,3513.5,10.5,yes,capital_position
b_st_blencagolph,c_abreon,1530,3253,3515,3239.3,3475.0,42.3,no,sampled
b_achelar,c_achelar,2439,3833,3840,3846.0,3849.9,16.3,yes,capital_position
b_ravamyar_wood,c_achelar,2440,3815,3851,3783.8,3823.4,41.6,no,sampled
b_huorm,c_adamas_tooth,1196,5725,3257,5717.9,3260.8,8.1,yes,capital_position
b_mulur,c_adamas_tooth,1197,5696,3230,5749.1,3233.3,53.2,no,sampled
b_hall_of_kings,c_adbarrim,1895,2922,498,2924.7,502.7,5.4,yes,capital_position
b_adbarrim,c_adbarrim,1896,2932,488,2925.3,485.2,7.3,yes,sampled
b_vetkth,c_addak,2419,4503,3638,4514.3,3639.9,11.5,yes,capital_position
b_baex,c_adder_swamp,2884,4486,2344,4489.1,2349.9,6.7,yes,capital_position
b_adder_point,c_adder_woods,559,4212,2665,4213.2,2663.1,2.3,yes,capital_position
b_adderspring,c_adderspring,2869,4400,2604,4386.0,2617.2,19.3,yes,capital_position
b_adhal,c_adhal,3318,5275,5372,5267.0,5387.7,17.7,yes,capital_position
b_yagrah,c_adhal,3319,5273,5385,5320.5,5361.8,52.9,no,sampled
b_adrila,c_adrila,3345,5826,5415,5843.5,5404.0,20.6,yes,capital_position
b_banyshu,c_aerilpar_forest,1325,5340,3251,5351.0,3241.6,14.5,yes,capital_position
b_duhlnarim,c_ahlarkhem,2673,3387,2456,3392.0,2460.4,6.7,yes,capital_position
b_furrowswich,c_ahlarkhem,2674,3393,2468,3436.6,2477.2,44.6,no,sampled
b_saarlik,c_ahlarkhem,2675,3372,2479,3351.0,2480.0,21.0,yes,sampled
b_ahma,c_ahma,670,2432,3593,2432.4,3594.4,1.5,yes,capital_position
b_ahruukar,c_ahruukar,3655,4732,1748,4732.5,1746.1,1.9,yes,capital_position
b_arau,c_ahruukar,3656,4742,1739,4710.8,1742.7,31.4,no,sampled
b_vardetor,c_ahruukar,3657,4752,1760,4754.8,1748.5,11.8,yes,sampled
b_ahtitlak,c_ahtitlak,806,4257,961,4234.7,949.5,25.1,yes,capital_position
b_takari,c_ahtitlak,807,4308,965,4328.8,984.1,28.2,yes,sampled
b_aib,c_aib,3259,5586,5565,5591.2,5561.7,6.1,yes,capital_position
b_abu_azada,c_aib,3260,5635,5593,5652.4,5606.6,22.1,yes,sampled
b_aina,c_aina,1619,5000,2636,5012.2,2641.1,13.3,yes,capital_position
b_espesha,c_aina,1620,4992,2690,5020.3,2687.2,28.4,yes,sampled
b_airspur,c_airspur,2852,4351,2198,4353.3,2195.9,3.1,yes,capital_position
b_akanawater,c_airspur,2854,4322,2171,4352.6,2235.2,71.1,no,sampled
b_the_crimson_wall,c_airspur,2853,4335,2221,4317.3,2149.1,74.0,no,sampled
b_ajayib,c_ajayib,3495,5254,6265,5252.2,6272.0,7.2,yes,capital_position
b_buni,c_ajayib,3496,5240,6234,5233.9,6238.1,7.3,yes,sampled
b_khamah,c_ajayib,3497,5256,6249,5271.5,6236.8,19.7,no,sampled
b_orodan,c_ajmer_forest,1210,6012,3177,6009.9,3191.8,14.9,yes,capital_position
b_akaam,c_akaam,1570,2651,3558,2638.6,3562.1,13.0,yes,capital_position
