set,index,ck2_type,palette_rgb,px,pct,land_px,land_pct
ck2_vanilla,0,plains,86/124/27,801303,12.736,798263,17.736
ck2_vanilla,1,farmlands,138/11/26,14827,0.236,14738,0.327
ck2_vanilla,2,plains,130/158/75,128835,2.048,128333,2.851
ck2_vanilla,3,desert,206/169/99,1269725,20.182,1268452,28.183
ck2_vanilla,4,mountain,112/74/31,196523,3.124,196502,4.366
ck2_vanilla,5,steppe,255/186/0,409577,6.51,408969,9.087
ck2_vanilla,6,arctic,13/96/62,737051,11.715,732899,16.284
ck2_vanilla,7,mountain,86/46/0,93648,1.488,93580,2.079
ck2_vanilla,8,hills,0/86/6,332964,5.292,332139,7.38
ck2_vanilla,9,mountain,65/42/17,321452,5.109,321191,7.136
ck2_vanilla,10,mountain,155/155/155,65659,1.044,65659,1.459
ck2_vanilla,11,mountain,255/255/255,22304,0.355,22304,0.496
ck2_vanilla,12,jungle,40/180/149,104843,1.666,104843,2.329
ck2_vanilla,15,coastal_desert,69/91/186,1792745,28.495,12821,0.285
ck2_faerun,0,plains,86/124/27,1444224,10.595,1444224,20.808
ck2_faerun,1,farmlands,138/11/26,56328,0.413,56328,0.812
ck2_faerun,2,plains,130/158/75,119622,0.878,119622,1.723
ck2_faerun,3,desert,206/169/99,586674,4.304,586674,8.453
ck2_faerun,4,hills,112/74/31,170461,1.25,170461,2.456
ck2_faerun,5,steppe,255/186/0,966850,7.093,966850,13.93
ck2_faerun,6,arctic,13/96/62,560327,4.111,560327,8.073
ck2_faerun,7,mountain,86/46/0,67896,0.498,67896,0.978
ck2_faerun,8,hills,0/86/6,946372,6.943,946372,13.635
ck2_faerun,9,mountain,65/42/17,640432,4.698,640432,9.227
ck2_faerun,10,mountain,155/155/155,151586,1.112,151586,2.184
ck2_faerun,11,mountain,255/255/255,77226,0.567,77226,1.113
ck2_faerun,12,jungle,40/180/149,469331,3.443,469331,6.762
ck2_faerun,13,desert,135/114/101,33901,0.249,33901,0.488
ck2_faerun,14,glacier,167/225/255,541686,3.974,541686,7.804
ck2_faerun,15,marsh,0/73/82,107909,0.792,107909,1.555
ck2_faerun,19,coastal_desert,69/91/186,6690663,49.082,0,0.0
