set,index,palette_rgb,px,pct,trees_size,province_size,downscale
ck2_vanilla,0,0/0/0,98609,88.102,382x293,3072x2048,8.042
ck2_vanilla,2,30/139/109,2580,2.305,382x293,3072x2048,8.042
ck2_vanilla,3,18/100/78,2608,2.33,382x293,3072x2048,8.042
ck2_vanilla,4,8/58/44,2129,1.902,382x293,3072x2048,8.042
ck2_vanilla,5,76/156/51,2246,2.007,382x293,3072x2048,8.042
ck2_vanilla,6,47/120/24,1917,1.713,382x293,3072x2048,8.042
ck2_vanilla,7,20/85/0,1377,1.23,382x293,3072x2048,8.042
ck2_vanilla,8,154/156/51,145,0.13,382x293,3072x2048,8.042
ck2_vanilla,9,118/120/24,55,0.049,382x293,3072x2048,8.042
ck2_vanilla,10,83/85/0,25,0.022,382x293,3072x2048,8.042
ck2_vanilla,11,255/255/0,86,0.077,382x293,3072x2048,8.042
ck2_vanilla,12,213/160/0,149,0.133,382x293,3072x2048,8.042
ck2_faerun,0,0/0/0,193309,90.759,512x416,4096x3328,8.0
ck2_faerun,2,30/139/109,2101,0.986,512x416,4096x3328,8.0
ck2_faerun,3,18/100/78,1949,0.915,512x416,4096x3328,8.0
ck2_faerun,4,8/58/44,1170,0.549,512x416,4096x3328,8.0
ck2_faerun,5,76/156/51,4241,1.991,512x416,4096x3328,8.0
ck2_faerun,6,47/120/24,5891,2.766,512x416,4096x3328,8.0
ck2_faerun,7,20/85/0,4098,1.924,512x416,4096x3328,8.0
ck2_faerun,8,154/156/51,181,0.085,512x416,4096x3328,8.0
ck2_faerun,9,118/120/24,52,0.024,512x416,4096x3328,8.0
