county,barony,holding,built_date,seed_source,pixels,status,ck2_province,ck2_province_name,capital,later_bookmark
c_tarmalune,b_dawnside,city_holding,initial,port_position,816,placed,1638,Tarmalune,no,no
c_sambral,b_the_high_rise,city_holding,initial,port_position,1067,placed,1626,Sambral,no,no
c_marangor,b_oriph,city_holding,initial,port_position,838,placed,1665,Marangor,no,no
c_lamrar,b_maura_rauth,city_holding,initial,port_position,1069,placed,1663,Lamrar,no,no
c_daerr,b_corglaak,city_holding,initial,port_position,1151,placed,1667,Daerr,no,no
c_glarn,b_tyebar,city_holding,initial,port_position,1601,placed,1657,Glarn,no,no
c_arangyn,b_djerad_azaurand,city_holding,initial,port_position,631,placed,1656,Arangyn,no,no
c_narvarr,b_thera,city_holding,initial,port_position,1766,placed,1659,Narvarr,no,no
c_qaragar,b_djerad_rorgaechara,city_holding,initial,port_position,851,placed,1662,Qaragar,no,no
c_gontal,b_sanda,city_holding,1388.1.1,port_position,832,placed,2141,Gontal,no,yes
c_szant,b_achaurax,city_holding,1388.1.1,port_position,1070,placed,2140,Szant,no,yes
c_djerad_harngha,b_arora,city_holding,1385.4.29,port_position,705,placed,2139,Djerad Harngha,no,yes
c_riimlost,b_bleak_pass,city_holding,1420.1.1,port_position,641,placed,2132,Riimlost,no,yes
c_korar_hills,b_djerad_arandal,city_holding,1388.1.1,port_position,457,placed,2143,Korar Hills,no,yes
c_velandilmur,b_djerad_thar_ghul,city_holding,1388.1.1,port_position,611,placed,2144,Velandilmur,no,yes
c_xoraar,b_handia,city_holding,initial,port_position,808,placed,2152,Xoraar,no,no
c_rokthorl,b_harone_thar,city_holding,initial,port_position,845,placed,1684,Rokthorl,no,no
c_darrawn,b_kor_tera,city_holding,initial,port_position,2112,placed,1678,Darrawn,no,no
c_grimroost,b_arsthar,city_holding,initial,port_position,1321,placed,1677,Grimroost,no,no
c_purskul,b_karastra,city_holding,250.1.1,port_position,1407,placed,237,Purskul,no,no
c_amstelar,b_turova,city_holding,523.1.1,port_position,2874,placed,2530,Amstelar,no,no
c_esmeltaran,b_kings_arch,city_holding,300.1.1,port_position,1671,placed,76,Esmeltaran,no,no
