ck3_id,name,width_px,risers,pixels
3939,FIRE_RIVER,8.5,16.0,637
4273,LAKE_CHRYSALIS,4.0,16.0,16
3877,THE_LOST_KING,6.0,15.0,236
3910,ARCH_BASIN,5.7,15.0,34
3878,HUNGSTE,10.0,14.0,193
3875,AKUNDI,10.2,12.0,312
3876,DHARBANG,8.9,12.0,156
3969,RIVER_XON,8.5,11.0,880
3871,VASTY_DRINK,8.0,10.0,181
3917,LAKE_TABAT,10.0,10.0,156
4012,SURBRIN_RIVER,11.3,10.0,1688
3796,RIVER_DESSARIN,8.5,9.0,1666
3822,RAUVIN_RIVER,8.9,9.0,1495
3996,UPPER_RIVER_DELIMBIYR,8.9,9.0,1734
4272,MAL_TARBAT,4.0,9.0,16
3782,LOWER_SULDUSKOON_RIVER,8.9,8.0,1091
3785,RIVER_ITH,8.9,8.0,1662
3815,RIVER_AGIS,8.5,8.0,1561
3880,LAKE_OF_DRIFTING_STARS,6.3,8.0,68
3916,BLOODMUCK,7.2,8.0,54
3941,RIVER_OF_METALS,8.5,8.0,995
3953,WET_RIVER,8.5,8.0,1115
3783,SULDUSKOON_RIVER,8.9,7.0,1451
3786,RIVER_OLUNG,10.0,7.0,1666
3835,REDWATERS,10.0,7.0,125
3836,LAC_DINNESHERE,10.0,7.0,136
3837,MAER_DUALDON_2,10.0,7.0,157
3873,MANASOWAR,8.0,7.0,236
3955,GREAT_IMPHRAS_RIVER,8.9,7.0,2083
3958,RIVER_ALAMBAR,8.5,7.0,1594
4212,WINTERFLOW_RIVER,8.5,7.0,1265
3784,LOWER_RIVER_ITH,8.9,6.0,1829
3794,RIVER_DELIMBIYR,8.9,6.0,1853
3844,POOL_OF_YEVEN,10.0,6.0,189
3899,CLEARFLOW_RIVER,8.5,6.0,1581
3907,THE_GOLDENFLOW,8.9,6.0,890
3909,ALDANI_BASIN,8.0,6.0,134
3945,ADDER_RIVER,8.5,6.0,1351
3956,ICELACE_RIVER,8.9,6.0,1302
3959,RIVER_BEAUMARIS,8.9,6.0,2225
4025,RIVER_ESMUR,8.9,6.0,717
4211,ARUNDI_RIVER,8.5,6.0,3005
4270,SHEE_POOL_2,4.0,6.0,17
4274,HARLOCH,5.7,6.0,48
3776,RIVER_MIRAR,8.9,5.0,1309
3777,LOWER_RIVER_CHIONTHAR,8.5,5.0,1614
3795,LOWER_RIVER_DESSARIN,8.9,5.0,1061
3807,REACHING_RIVER,8.9,5.0,1008
3809,AMSTEL_RIVER,8.9,5.0,951
3814,HIGHRIDDEN_RIVER,8.9,5.0,1503
3849,EVENSTAR_LAKE,8.9,5.0,110
3850,BEASTBURN_LAKE,8.2,5.0,229
3898,NEBULAE_POOL_2,7.2,5.0,70
3962,RIVER_ARKHEN,8.5,5.0,959
4026,GLAUR_RIVER,8.2,5.0,1284
4033,NIXIN_RIVER,8.9,5.0,2497
4210,LOWER_ARUNDI_RIVER,8.9,5.0,3089
4267,LISLOCH_2,7.2,5.0,91
4271,MAL_TAMESIS,4.0,5.0,16
3778,RIVER_CHIONTHAR,8.9,4.0,1471
3780,ESMEL_RIVER,8.9,4.0,2216
3791,RIVER_TALAR,8.9,4.0,2464
3804,RIVER_PANKA,8.5,4.0,1393
3808,UPPER_RIVER_CHIONTHAR,10.0,4.0,1716
3834,ICE_LAKES,8.0,4.0,457
3869,LAKE_SUNDER,10.2,4.0,177
3870,NORFEN_LAKE,4.5,4.0,25
3908,SEMPHARIN,8.5,4.0,1772
3946,RIVER_AKAX,8.5,4.0,704
3948,THE_NAGAFLOW,8.5,4.0,819
3957,RIVER_OF_SHADOWS,10.2,4.0,1544
3960,THE_WYVERNFLOW,8.9,4.0,370
4013,NOGARO_RIVER,10.0,4.0,2012
4014,NOGARO_RIVER_2,8.5,4.0,2580
4022,SKELKOR_RIVER,8.5,4.0,1237
4032,SEMPAR_RIVER,10.2,4.0,3098
4268,LAC_SIELYA,4.0,4.0,25
