ck2_on_action,ck3_on_action,ck2_event_id,ck3_event_id,list_kind,weight,wired,reason,trigger_first_line
on_adulthood,on_birthday_adulthood,HL.1040,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13998,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13000,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13010,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13020,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13030,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13040,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13050,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13060,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13070,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13080,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
