id,kind,faerun_file,vanilla_file,status,changed_keys,uses_faerun_mechanic,vanilla_dup_count,faerun_dup_count
on_absorb_clan_attempted_started_war,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_acquire_nickname,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_adolescence,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,,1,1
on_adolescence_pulse,on_action,common/on_actions/00_zeus_education.txt,common/on_actions/00_zeus_education.txt,kept,,,1,1
on_adulthood,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,effect;events,,1,1
on_ai_end_raid,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_alternate_start,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_approve_de_jure_law,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_approve_law,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_artifact_inheritance,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,,1,1
on_artifact_renamed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_assassination,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_assassination_disc,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_avoided_imprison_fled_country,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_avoided_imprison_started_war,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_battle_lost,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,,1,1
on_battle_lost_leader,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_battle_lost_owner,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_battle_won,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,,1,1
on_battle_won_leader,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_battle_won_owner,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_became_imprisoned,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_become_doge,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_become_imprisoned_any_reason,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_betrothal,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_bi_yearly_pulse,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,sorcerer_tiers,1,1
on_birth,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,,1,1
on_blood_brother_death,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_bloodline_renamed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_character_ask_to_join_society,on_action,common/on_actions/00_on_actions.txt;common/on_actions/olrox_society_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,2
on_character_convert_culture,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_character_convert_religion,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_character_convert_secret_religion,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_character_event_message,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_character_join_society,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,effect,,1,1
on_character_kicked_from_society,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,effect;events,,1,1
on_character_leave_society,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,effect;events,,1,1
on_character_renamed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_character_society_rank_down,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,effect,,1,1
on_character_society_rank_up,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,effect;events,,1,1
on_character_stop_showing_interest,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_character_switch_society_interest,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_childhood_pulse,on_action,common/on_actions/00_zeus_education.txt,common/on_actions/00_zeus_education.txt,modified,events,,1,1
on_chronicle_owner_change,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_chronicle_start,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_combat_pulse,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,,1,1
on_combat_starting,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_command_sub_unit,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_command_unit,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_county_religion_change,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_create_chronicle_if_empty,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_create_title,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,governments_custom,1,1
on_crusade_canceled,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_crusade_creation,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_crusade_failure,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_crusade_invalid,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_crusade_launches,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_crusade_monthly,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_crusade_preparation_starts,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_crusade_success,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_crusade_target_changes,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_death,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,,1,1
on_decade_pulse,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,,1,1
on_defect_from_rebels,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_defect_to_rebels,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_divorce,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_elective_gavelkind_succession,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_employer_change,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_enforce_peace,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_enforce_peace_six_vassals,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_enforce_peace_start,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_entering_port,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_eu4_conversion_done,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_eu4_conversion_start,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_excommunicate_interaction,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_executed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_exiled,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_failed_assassination,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_failed_assassination_disc,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_feud_ended,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_feud_started,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_five_year_pulse,on_action,common/on_actions/00_on_actions.txt;common/on_actions/olrox_society_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,,1,2
on_focus_pulse,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_focus_selected,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_forced_consort,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_fort_construction_completed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_fort_construction_start,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_heresy_takeover,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_holding_building_start,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_holy_order_leave,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_hospital_construction_completed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_hospital_construction_start,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_host_change,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_law_vote_failed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_law_vote_passed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_letter_event_message,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_loot_province,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_loot_settlement,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,,1,1
on_major_battle_lost,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_major_battle_lost_leader,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_major_battle_won,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_major_battle_won_leader,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_marriage,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_merc_leave,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_merc_rampage,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_merc_turn_coat_from,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_merc_turn_coat_to,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_mercenary_captain_replacement,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_mercenary_dismissed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_mercenary_hired,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_navy_returns_with_loot,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_new_holder,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,governments_custom,1,1
on_new_holder_inheritance,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,governments_custom,1,1
on_new_holder_usurpation,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events;random_events,governments_custom,1,1
on_offmap_governor_changed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_offmap_monthly_pulse,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_offmap_policy_changed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_offmap_ruler_changed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_offmap_status_changed,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_offmap_yearly_pulse,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_outbreak,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_over_vassal_limit_succession,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_player_mercenary_income,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_pledge_crusade_defense,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_pledge_crusade_participation,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_post_birth,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_post_birth_stillbirth,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,kept,,,1,1
on_pregnancy,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_prepared_invasion_aborts,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_prepared_invasion_expires,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,events,,1,1
on_prepared_invasion_monthly,on_action,common/on_actions/00_on_actions.txt,common/on_actions/00_on_actions.txt,modified,random_events,,1,1
