ck3_terrain,rank,material,ordinal,share,regional,rank_nonregional,share_nonregional_renormalised
desert,1,gen_central_hills,76,28.5027,1,,
desert,2,gen_central_mountain_transition,78,12.2189,1,,
desert,3,desert_wavy_01,16,9.0654,0,1,23.163
desert,4,gen_steppe_base,79,6.4295,1,,
desert,5,drylands_01,18,5.8908,0,2,15.0516
desert,6,desert_rocky,15,4.6805,0,3,11.9593
desert,7,desert_cracked,13,4.2821,0,4,10.9412
desert,8,coastline_cliff_desert,9,4.0754,0,5,10.413
desert,9,drylands_01_grassy,20,3.4467,0,6,8.8066
desert,10,gen_steppe_hills,83,2.7766,1,,
desert,11,gen_steppe_lowlands_02,81,2.5772,1,,
desert,12,desert_wavy_01_larger,17,2.5538,0,7,6.5252
desert,13,debug,5,2.436,0,8,6.2242
desert,14,gen_steppe_lowlands,80,1.9575,1,,
desert,15,gen_steppe_lowlands_03,82,1.3729,1,,
desert,16,medi_dry_mud,33,1.2853,1,,
desert,17,gen_desert_base,86,1.1245,1,,
desert,18,hills_01_rocks_medi,30,1.1025,0,9,2.8169
desert,19,gen_steppe_mountain_transition,85,1.0848,1,,
desert,20,gen_desert_lowlands,87,0.6863,1,,
desert,21,drylands_01_cracked,19,0.4614,0,10,1.1789
desert,22,gen_central_mountain,77,0.4596,1,,
desert,23,mountain_03,47,0.3526,0,11,0.9009
desert,24,mountain_02_d_valleys,44,0.2899,0,12,0.7408
desert,,mountain_02_desert_c,45,0.2435,0,13,0.6222
desert,,hills_01,28,0.0474,0,14,0.1212
desert,,mountain_02_snow,46,0.0424,0,15,0.1084
desert,,steppe_grass,58,0.0333,0,16,0.085
desert,,mountain_02_d,42,0.0243,0,17,0.0621
desert,,mountain_02_b,39,0.0209,0,18,0.0534
desert,,mud_wet_01,48,0.0184,0,19,0.047
desert,,steppe_bushes,57,0.0144,0,20,0.0367
desert,,beach_02_pebbles,8,0.0116,0,21,0.0298
desert,,forest_jungle_01,24,0.011,0,22,0.0282
desert,,mountain_02_d_snow,43,0.0098,0,23,0.025
desert,,hills_01_rocks,29,0.0066,0,24,0.0169
desert_mountains,1,gen_steppe_lowlands_03,82,16.0802,1,,
desert_mountains,2,gen_central_hills,76,8.9798,1,,
desert_mountains,3,gen_desert_base,86,8.5561,1,,
desert_mountains,4,gen_desert_lowlands_03,89,8.2018,1,,
desert_mountains,5,gen_steppe_hills,83,7.4688,1,,
desert_mountains,6,gen_steppe_lowlands_02,81,7.1988,1,,
desert_mountains,7,gen_desert_lowlands_04,90,6.5316,1,,
desert_mountains,8,desert_rocky,15,5.8239,0,1,36.4426
desert_mountains,9,gen_desert_lowlands,87,5.3482,1,,
desert_mountains,10,gen_steppe_mountain_transition,85,5.2279,1,,
desert_mountains,11,hills_01_rocks_medi,30,5.1861,0,2,32.4516
desert_mountains,12,gen_central_mountain_transition,78,4.1074,1,,
desert_mountains,13,gen_desert_lowlands_02,88,2.6843,1,,
desert_mountains,14,debug,5,2.4028,0,3,15.0352
desert_mountains,15,gen_steppe_base,79,1.7394,1,,
desert_mountains,16,coastline_cliff_desert,9,0.7237,0,4,4.5282
desert_mountains,17,drylands_01_grassy,20,0.6374,0,5,3.9886
desert_mountains,18,gen_steppe_lowlands,80,0.5391,1,,
desert_mountains,19,gen_tropical_lowlands_02,67,0.2635,1,,
desert_mountains,20,desert_wavy_01,16,0.2458,0,6,1.538
desert_mountains,21,drylands_01,18,0.1934,0,7,1.2104
desert_mountains,22,mountain_02_d_valleys,44,0.1731,0,8,1.0834
