barony,county,status_before,status_after,pixels_before,pixels_after,rel_change
b_jemdet,c_uruk,placed,placed,897,2737,2.0513
b_ghikuli,c_hethar,placed,placed,1858,3826,1.0592
b_teth,c_nethra,placed,placed,820,1651,1.0134
b_captains_court,c_luskan,placed,demoted,688,0,-1.0
b_llandeilo,c_callidyrr,placed,demoted,437,0,-1.0
b_magkstok,c_sundasz,placed,demoted,403,0,-1.0
b_marsember,c_marsember,placed,demoted,406,0,-1.0
b_nasad,c_hitan_island,placed,demoted,403,0,-1.0
b_oakengrove,c_barrowfield,placed,demoted,414,0,-1.0
b_rassalantars_keep,c_rassalantar,placed,demoted,406,0,-1.0
b_ring_caverns,c_oryndoll,placed,demoted,546,0,-1.0
b_rosekeep,c_heliogabalus,placed,demoted,401,0,-1.0
b_tantras,c_tantras,placed,demoted,595,0,-1.0
b_torvudd,c_fireforges,placed,demoted,649,0,-1.0
b_oryndoll,c_oryndoll,placed,placed,587,1087,0.8518
b_wadieskab,c_duirtanal,placed,placed,1939,3349,0.7272
b_gahyrst,c_hethar,placed,placed,1689,2893,0.7128
b_morovar,c_heliogabalus,placed,placed,545,933,0.7119
b_mudanxing,c_akshu,placed,placed,4559,7583,0.6633
b_lahyrst,c_cathyr,placed,placed,1146,1888,0.6475
b_oxblood,c_selgaunt,placed,placed,605,996,0.6463
b_drik_hargunen,c_drik_hargunen,placed,placed,1233,484,-0.6075
b_antanmarans_isle,c_marsember,placed,placed,526,840,0.597
b_marakir,c_zaz_in_vintor,placed,placed,951,1514,0.592
b_jura,c_dihliz,placed,placed,607,962,0.5848
b_caer_callidyrr,c_callidyrr,placed,placed,714,1104,0.5462
b_hethar,c_hethar,placed,placed,5993,2861,-0.5226
b_sessemal,c_manshaka,placed,placed,1847,961,-0.4797
b_warka,c_uruk,placed,placed,4254,2254,-0.4701
b_sundasz,c_sundasz,placed,placed,844,1223,0.4491
b_khanala,c_al_azra,placed,placed,1020,1476,0.4471
b_red_haven,c_red_shores,placed,placed,909,1314,0.4455
b_glukharks_delve,c_ormpetarr,placed,placed,1279,719,-0.4378
b_palace_of_the_hulorn,c_selgaunt,placed,placed,844,484,-0.4265
b_hhune,c_zaz_in_vintor,placed,placed,1215,717,-0.4099
b_sibbaqiyah,c_hitan_island,placed,placed,841,1182,0.4055
b_wyrms_tooth,c_wyrms_tooth,placed,placed,923,556,-0.3976
b_faerinstar,c_manshaka,placed,placed,1079,1505,0.3948
b_peldans_helm,c_barrowfield,placed,placed,1049,1463,0.3947
b_tescahaqd,c_dihliz,placed,placed,1790,1086,-0.3933
b_qingmay,c_akshu,placed,placed,6621,4043,-0.3894
b_nethra,c_nethra,placed,placed,2249,1396,-0.3793
b_ommlur_hills,c_murann,placed,placed,2125,1321,-0.3784
b_rassalantar,c_rassalantar,placed,placed,562,772,0.3737
b_vesparal,c_memnon,placed,placed,789,500,-0.3663
b_st_tarils,c_manshaka,placed,placed,1160,1578,0.3603
b_adamantine_palace,c_splendarrmornn,placed,placed,1075,701,-0.3479
b_murann,c_murann,placed,placed,2058,2771,0.3465
b_azoun_palace,c_suzail,placed,placed,635,425,-0.3307
b_burbo,c_red_shores,placed,placed,1162,779,-0.3296
b_duirtanal,c_duirtanal,placed,placed,6632,4519,-0.3186
b_milvarune,c_milvarune,placed,placed,2069,1410,-0.3185
b_dihliz,c_dihliz,placed,placed,1105,1452,0.314
b_daramabar,c_the_camels_hump,placed,placed,1632,2126,0.3027
b_khalis,c_duirtanal,placed,placed,2374,3089,0.3012
b_mulur,c_adamas_tooth,placed,placed,1419,1843,0.2988
b_tillisetr,c_ormpetarr,placed,placed,751,971,0.2929
b_abam,c_zelpir,placed,placed,1286,1638,0.2737
b_lathtarls_lantern,c_roaringshore,placed,placed,2759,2011,-0.2711
b_marbelaga,c_milvarune,placed,placed,2408,1796,-0.2542
b_mishtan,c_mishtan,placed,placed,2390,2997,0.254
b_good_mead,c_redwaters,placed,placed,761,574,-0.2457
b_maidens_tomb_tor,c_rassalantar,placed,placed,490,607,0.2388
b_lomoli,c_lomatra,placed,placed,930,715,-0.2312
b_laughing_hollow,c_mount_illefarn,placed,placed,421,518,0.2304
b_itiraf,c_itiraf,placed,placed,1072,1311,0.2229
b_azalhar,c_mishtan,placed,placed,2691,2102,-0.2189
b_zassatam,c_golden_shore,placed,placed,1474,1160,-0.213
b_harone_thar,c_rokthorl,placed,placed,845,1019,0.2059
b_roaringshore,c_roaringshore,placed,placed,4068,4891,0.2023
b_dhaztanar,c_dhaztanar,placed,placed,1055,842,-0.2019
