ck3_terrain,family,ours_pct,vanilla_pct,ratio,within_30pct
desert,grass,9.73,8.14,1.195,True
desert,other,77.85,19.12,4.072,False
desert,rock,7.04,29.03,0.243,False
desert,soil,1.34,43.54,0.031,False
farmlands,forest,0.76,3.26,0.232,False
farmlands,grass,87.25,7.57,11.526,False
farmlands,rock,1.43,9.89,0.145,False
farmlands,snow,0.3,6.66,0.045,False
farmlands,soil,8.69,71.78,0.121,False
forest,forest,67.59,82.12,0.823,True
forest,rock,3.51,7.83,0.448,False
forest,snow,1.06,8.87,0.12,False
hills,forest,13.02,8.92,1.459,False
hills,grass,33.64,24.46,1.375,False
hills,other,18.89,22.9,0.825,True
hills,rock,24.16,36.77,0.657,False
hills,snow,5.9,3.28,1.799,False
hills,soil,4.38,3.67,1.195,True
jungle,forest,61.1,72.28,0.845,True
jungle,grass,25.01,17.54,1.426,False
jungle,rock,6.05,4.94,1.224,True
jungle,soil,1.31,4.22,0.311,False
mountains,forest,17.64,9.84,1.793,False
mountains,grass,14.81,13.57,1.092,True
mountains,other,13.87,12.16,1.141,True
mountains,rock,31.48,36.47,0.863,True
mountains,snow,13.87,21.67,0.64,False
mountains,soil,8.32,6.29,1.322,False
plains,forest,5.82,27.68,0.21,False
plains,grass,80.12,9.65,8.302,False
plains,other,4.84,1.92,2.521,False
plains,rock,5.19,24.42,0.212,False
plains,snow,1.41,13.4,0.105,False
plains,soil,2.63,22.92,0.115,False
steppe,forest,2.41,1.3,1.855,False
steppe,grass,93.37,11.61,8.043,False
steppe,other,1.41,8.49,0.166,False
steppe,rock,1.97,73.2,0.027,False
steppe,soil,0.36,4.76,0.075,False
taiga,forest,90.48,87.69,1.032,True
taiga,rock,3.47,9.06,0.383,False
taiga,snow,0.86,2.47,0.347,False
wetlands,forest,15.99,11.46,1.395,False
wetlands,grass,81.66,16.15,5.056,False
wetlands,other,0.61,60.44,0.01,False
wetlands,rock,1.0,4.72,0.212,False
wetlands,snow,0.26,5.1,0.05,False
wetlands,soil,0.48,2.14,0.225,False
