map,pit_px,pit_mean,pit_p95,pit_p99,pit_max,pit_frac_gt_riser,bump_px,bump_mean,bump_p95,bump_p99,bump_max,bump_frac_gt_riser,region,bound_under_frac,bound_over_frac,bound_under_p99,bound_under_max,bound_over_max,sink_p99,sink_frac_gt_riser,delta_std,transects,undershoot_mean,undershoot_p95,undershoot_max,frac_undershoot_gt_200,control_transects,control_undershoot_mean,moat_excess_mean,grad_kurtosis,grad_p99_over_rms,grad_rms_levels_per_km,ridge_share,ridge_mean_run_px,ridge_p90_run_px,bound_limited_pct_of_land,bound_excess_below_p99,erosion_gate_land_mean,erosion_ridged_land_mean,land_pct_on_clamp_floor,coast_mode
plain_rescale,295889,-420.3,0.0,0.0,0.0,0.0,295889,-428.8,0.0,0.0,0.0,0.0,thay,0.0,0.0,0.0,0.0,0.0,1108.0,0.03988,0.0,24399,12.9,0.0,278.0,0.0467,126726,56.4,-43.5,9.78,3.188,254.4,0.1529,162.33,27.0,,,,,,
plain_rescale,27817,-703.0,0.0,0.0,0.0,0.0,27817,-707.2,0.0,0.0,0.0,0.0,spine,0.0,0.0,0.0,0.0,0.0,1385.0,0.05831,0.0,6269,10.6,0.0,278.0,0.0383,11500,35.1,-24.5,2.724,2.707,353.5,0.1293,69.26,28.0,,,,,,
live_build15,295889,-301.2,576.0,2612.0,8141.0,0.09341,295889,-547.8,268.0,734.0,4927.0,0.04803,thay,0.08809,0.04508,2381.2,7815.8,4303.2,1041.0,0.0532,752.7,24399,140.2,1466.0,7955.0,0.4375,126726,262.6,-122.4,66.861,3.526,364.8,0.1279,162.3,31.1,,,,,,
live_build15,27817,-613.6,514.0,1352.7,5874.0,0.08797,27817,-796.7,267.0,759.8,2851.0,0.04857,spine,0.07876,0.03074,830.0,5566.6,2227.2,1420.5,0.06374,713.6,6269,100.3,1437.6,6585.0,0.4136,11500,229.0,-128.7,37.49,2.582,369.5,0.1135,68.06,30.1,,,,,,
fix_all,295889,-395.6,256.0,597.0,1019.0,0.04712,295889,-453.4,193.0,567.0,1447.0,0.03895,thay,0.00017,0.00023,0.0,531.4,823.2,1235.0,0.05884,402.3,24399,96.7,1076.1,2553.0,0.411,126726,185.8,-89.1,105.068,3.049,468.2,0.1319,150.16,32.0,15.033,348.4,0.4503,0.2007,0.074,damp_detail
fix_all,27817,-654.2,263.0,614.0,980.0,0.04788,27817,-756.0,166.0,594.0,892.0,0.03494,spine,0.00126,0.00029,0.0,552.4,275.8,1501.1,0.07014,488.2,6269,92.2,1011.2,2371.0,0.405,11500,194.0,-101.8,73.697,2.482,429.1,0.1179,60.15,28.0,15.033,348.4,0.4503,0.2007,0.074,damp_detail
fix_all_no_ridge,295889,-398.1,273.0,609.0,920.0,0.04943,295889,-451.0,200.0,552.0,1222.0,0.03902,thay,0.0002,0.00019,0.0,419.4,598.2,1304.1,0.06034,412.1,24399,98.4,1175.1,2407.0,0.4135,126726,194.7,-96.3,104.046,3.113,470.5,0.133,120.74,32.0,16.208,377.9,0.4503,0.0,0.073,damp_detail
fix_all_no_ridge,27817,-656.4,360.0,621.0,773.0,0.05957,27817,-753.9,221.0,587.8,900.0,0.04217,spine,0.00147,0.0004,0.0,550.6,276.2,1423.8,0.0687,520.1,6269,75.7,1123.6,2633.0,0.4001,11500,212.0,-136.3,74.906,2.435,431.0,0.1179,79.82,23.0,16.208,377.9,0.4503,0.0,0.073,damp_detail
fill010,295889,-392.4,125.0,376.0,812.0,0.01595,295889,-456.6,47.0,196.0,641.0,0.00566,thay,3e-05,3e-05,0.0,276.4,170.4,1188.0,0.04554,269.9,24399,29.1,658.0,1725.0,0.2937,126726,143.9,-114.8,108.293,3.261,458.8,0.1317,164.16,24.0,3.077,173.8,0.4503,0.2007,0.078,damp_detail
fill010,27817,-651.3,140.0,372.0,796.0,0.01531,27817,-759.0,-31.0,145.8,620.0,0.00316,spine,0.00093,0.00018,0.0,368.4,90.8,1475.0,0.06029,325.9,6269,45.3,658.0,1811.0,0.3,11500,152.3,-107.0,79.071,2.521,411.5,0.1207,75.29,34.0,3.077,173.8,0.4503,0.2007,0.078,damp_detail
