map,pit_px,pit_mean,pit_p95,pit_p99,pit_max,pit_frac_gt_riser,bump_px,bump_mean,bump_p95,bump_p99,bump_max,bump_frac_gt_riser,region,bound_under_frac,bound_over_frac,bound_under_p99,bound_under_max,bound_over_max,sink_p99,sink_frac_gt_riser,delta_std,transects,undershoot_mean,undershoot_p95,undershoot_max,frac_undershoot_gt_200,control_transects,control_undershoot_mean,moat_excess_mean,grad_kurtosis,grad_p99_over_rms,grad_rms_levels_per_km,ridge_share,ridge_mean_run_px,ridge_p90_run_px
plain_rescale,295889,-420.3,0.0,0.0,0.0,0.0,295889,-428.8,0.0,0.0,0.0,0.0,thay,0.0,0.0,0.0,0.0,0.0,1108.0,0.03988,0.0,24399,12.9,0.0,278.0,0.0467,126726,56.4,-43.5,9.78,3.188,254.4,0.1529,162.33,27.0
plain_rescale,27817,-703.0,0.0,0.0,0.0,0.0,27817,-707.2,0.0,0.0,0.0,0.0,spine,0.0,0.0,0.0,0.0,0.0,1385.0,0.05831,0.0,6269,10.6,0.0,278.0,0.0383,11500,35.1,-24.5,2.724,2.707,353.5,0.1293,69.26,28.0
live_build15,295889,-301.2,576.0,2612.0,8141.0,0.09341,295889,-547.8,268.0,734.0,4927.0,0.04803,thay,0.08839,0.04539,2382.2,7816.8,4304.2,1041.0,0.0532,752.7,24399,140.2,1466.0,7955.0,0.4375,126726,262.6,-122.4,66.861,3.526,364.8,0.1279,162.3,31.1
live_build15,27817,-613.6,514.0,1352.7,5874.0,0.08797,27817,-796.7,267.0,759.8,2851.0,0.04857,spine,0.07884,0.03077,831.0,5567.6,2228.2,1420.5,0.06374,713.6,6269,100.3,1437.6,6585.0,0.4136,11500,229.0,-128.7,37.49,2.582,369.5,0.1135,68.06,30.1
b15_default,295889,-300.4,572.0,2611.1,8140.0,0.09287,295889,-548.7,263.0,723.1,4884.0,0.047,thay,0.08791,0.04441,2382.4,7816.8,4261.2,1041.0,0.05299,750.9,24399,141.1,1459.0,7952.0,0.4387,126726,262.4,-121.3,66.741,3.53,364.7,0.1279,158.15,32.0
b15_default,27817,-613.1,508.2,1344.7,5875.0,0.08728,27817,-797.2,263.0,752.0,2833.0,0.04788,spine,0.07837,0.03038,821.2,5567.6,2210.2,1418.8,0.06363,710.6,6269,100.9,1433.6,6585.0,0.4141,11500,228.7,-127.8,37.467,2.587,369.2,0.1117,74.47,27.1
pass1_only,295889,-418.4,4.0,76.0,379.0,5e-05,295889,-430.7,12.0,84.0,330.0,2e-05,thay,0.00066,0.00062,0.0,197.2,120.4,798.0,0.0323,181.4,24399,-41.3,318.0,892.0,0.1367,126726,80.7,-122.0,8.861,3.611,243.9,0.1038,74.99,29.0
pass1_only,27817,-700.5,-89.0,34.0,270.0,0.0,27817,-709.8,-89.0,37.8,301.0,7e-05,spine,0.00097,0.00111,0.0,98.8,160.8,1181.0,0.04584,213.4,6269,-38.3,326.0,672.0,0.1436,11500,70.9,-109.2,2.215,2.891,355.1,0.1071,67.51,23.0
no_incision,295889,-302.2,774.0,2818.0,8245.0,0.11839,295889,-546.9,389.0,1215.0,8599.0,0.06903,thay,0.11499,0.06727,2499.5,7850.8,7976.2,1187.0,0.06166,903.5,24399,232.5,2179.0,8200.0,0.5003,126726,204.3,28.2,69.145,3.645,356.9,0.1257,163.93,30.0
no_incision,27817,-615.9,788.0,1927.8,5840.0,0.12212,27817,-794.4,555.0,1519.7,4351.0,0.08369,spine,0.10742,0.06327,1375.0,5217.2,3728.2,1365.7,0.06748,997.2,6269,146.5,1998.6,6129.0,0.4696,11500,149.3,-2.8,38.546,2.875,357.1,0.1135,64.71,24.8
isotropic_relief,295889,-300.5,564.0,2622.0,8257.0,0.09776,295889,-548.5,275.0,673.0,2648.0,0.04949,thay,0.09741,0.04963,2408.5,7851.8,2025.2,1405.0,0.07838,713.1,24399,100.1,1151.1,7569.0,0.4066,126726,272.8,-172.7,49.673,3.508,396.1,0.1417,167.79,27.0
isotropic_relief,27817,-617.5,445.0,1098.0,6177.0,0.0802,27817,-792.7,248.0,710.0,1543.0,0.04558,spine,0.07104,0.0279,626.1,5554.2,920.2,1783.0,0.08689,616.3,6269,112.1,1123.0,6235.0,0.4023,11500,257.5,-145.4,16.744,2.842,435.1,0.1251,56.67,29.0
fill_from_0.10,295889,-298.2,333.0,2604.0,8163.0,0.05579,295889,-550.9,50.0,196.0,1651.0,0.00517,thay,0.0506,0.00283,2395.5,7835.8,1028.2,1219.0,0.0469,640.7,24399,84.3,897.0,7590.0,0.3515,126726,205.5,-121.2,63.294,3.585,362.4,0.1291,178.48,26.0
fill_from_0.10,27817,-614.3,204.0,812.8,5928.0,0.03764,27817,-796.0,-22.0,200.0,1393.0,0.00615,spine,0.04113,0.00377,455.1,5487.6,770.2,1605.2,0.05781,503.1,6269,104.0,915.0,6437.0,0.3528,11500,169.9,-65.9,30.409,2.723,372.0,0.1084,132.49,29.0
fill_from_0.172,295889,-297.8,282.0,2606.2,8179.0,0.05033,295889,-551.3,10.0,85.0,454.0,6e-05,thay,0.04775,0.00051,2400.8,7834.8,147.4,1199.0,0.04448,605.5,24399,63.5,571.1,7501.0,0.2438,126726,188.3,-124.8,57.352,3.679,365.8,0.1107,223.39,24.0
fill_from_0.172,27817,-614.6,145.0,647.7,6006.0,0.03279,27817,-795.7,-103.0,32.0,308.0,0.00011,spine,0.03854,0.00108,419.2,5467.6,167.8,1677.0,0.05809,421.5,6269,93.0,644.6,6315.0,0.2737,11500,159.0,-66.0,23.319,2.888,384.1,0.1027,83.05,27.6
no_fill,295889,-297.8,285.0,2614.1,8191.0,0.05058,295889,-551.3,7.0,79.0,330.0,1e-05,thay,0.04769,0.00049,2406.6,7841.8,120.4,1205.0,0.04411,603.2,24399,36.0,519.0,7520.0,0.2039,126726,190.5,-154.5,51.98,3.675,373.6,0.1056,186.12,25.8
no_fill,27817,-614.6,145.0,642.8,6093.0,0.03361,27817,-795.7,-107.0,23.8,301.0,7e-05,spine,0.03854,0.00083,415.6,5470.2,160.8,1660.0,0.05737,413.3,6269,61.1,624.6,6099.0,0.2275,11500,168.7,-107.6,18.9,2.948,401.7,0.1072,64.4,24.5
no_rivers,295889,-331.0,491.0,2604.0,8140.0,0.07749,295889,-518.1,289.0,771.0,4884.0,0.05245,thay,0.07214,0.04906,2375.4,7816.8,4261.2,811.0,0.04498,749.3,24399,108.6,1427.1,7952.0,0.4183,126726,224.7,-116.1,67.666,3.556,362.5,0.1284,165.31,32.0
no_rivers,27817,-667.9,428.2,1299.7,5875.0,0.06863,27817,-742.4,292.0,818.0,2836.0,0.05238,spine,0.05385,0.03609,748.1,5567.6,2213.2,1091.8,0.05975,703.0,6269,45.6,1373.6,6585.0,0.3731,11500,161.7,-116.1,40.673,2.542,361.0,0.1127,67.2,28.2
no_coast_smooth,295889,-390.1,344.0,823.0,3257.0,0.0631,295889,-459.0,266.0,723.1,4884.0,0.0475,thay,0.05804,0.04486,383.4,2634.2,4261.2,1020.1,0.05112,499.5,24399,100.7,1345.1,3304.0,0.4251,126726,198.5,-97.8,122.938,2.766,448.3,0.129,153.41,33.0
no_coast_smooth,27817,-643.6,447.0,999.0,2458.0,0.07794,27817,-766.7,265.0,752.0,2833.0,0.04828,spine,0.06848,0.03092,514.5,1835.2,2210.2,1417.7,0.06223,637.5,6269,59.2,1286.4,3493.0,0.4042,11500,203.0,-143.8,118.056,2.27,387.7,0.1122,73.4,26.8
