map,pit_px,pit_mean,pit_p95,pit_p99,pit_max,pit_frac_gt_riser,bump_px,bump_mean,bump_p95,bump_p99,bump_max,bump_frac_gt_riser,region,bound_under_frac,bound_over_frac,bound_under_p99,bound_under_max,bound_over_max,sink_p99,sink_frac_gt_riser,delta_std,transects,undershoot_mean,undershoot_p95,undershoot_max,frac_undershoot_gt_200,control_transects,control_undershoot_mean,moat_excess_mean,grad_kurtosis,grad_p99_over_rms,grad_rms_levels_per_km,ridge_share,ridge_mean_run_px,ridge_p90_run_px
plain_rescale,295889,-420.3,0.0,0.0,0.0,0.0,295889,-428.8,0.0,0.0,0.0,0.0,thay,0.0,0.0,0.0,0.0,0.0,1108.0,0.03988,0.0,24399,12.9,0.0,278.0,0.0467,126726,56.4,-43.5,9.78,3.188,254.4,0.1529,162.33,27.0
plain_rescale,27817,-703.0,0.0,0.0,0.0,0.0,27817,-707.2,0.0,0.0,0.0,0.0,spine,0.0,0.0,0.0,0.0,0.0,1385.0,0.05831,0.0,6269,10.6,0.0,278.0,0.0383,11500,35.1,-24.5,2.724,2.707,353.5,0.1293,69.26,28.0
live_build15,295889,-301.2,576.0,2612.0,8141.0,0.09341,295889,-547.8,268.0,734.0,4927.0,0.04803,thay,0.08839,0.04539,2382.2,7816.8,4304.2,1041.0,0.0532,752.7,24399,140.2,1466.0,7955.0,0.4375,126726,262.6,-122.4,66.861,3.526,364.8,0.1279,162.3,31.1
live_build15,27817,-613.6,514.0,1352.7,5874.0,0.08797,27817,-796.7,267.0,759.8,2851.0,0.04857,spine,0.07884,0.03077,831.0,5567.6,2228.2,1420.5,0.06374,713.6,6269,100.3,1437.6,6585.0,0.4136,11500,229.0,-128.7,37.49,2.582,369.5,0.1135,68.06,30.1
fix_coast_only,295889,-389.6,310.0,751.0,2655.0,0.05595,295889,-459.4,233.0,638.0,1983.0,0.04071,thay,0.04975,0.03605,339.2,2032.2,1415.4,1184.0,0.05628,422.7,24399,115.7,1120.1,2932.0,0.4184,126726,223.9,-108.2,105.165,3.11,469.2,0.1337,135.27,32.0
fix_coast_only,27817,-643.9,379.0,858.0,1874.0,0.06766,27817,-766.4,229.0,610.0,1646.0,0.04181,spine,0.05853,0.02236,400.1,1399.4,1042.4,1444.2,0.06597,518.6,6269,92.2,1065.8,2219.0,0.3985,11500,240.6,-148.4,77.0,2.418,428.3,0.1197,145.65,22.7
fix_coast_gate,295889,-391.1,337.0,805.0,2818.0,0.06064,295889,-457.9,221.0,653.0,2298.0,0.03926,thay,0.0526,0.03164,384.2,2195.2,1675.2,1393.0,0.06419,436.4,24399,106.8,1182.1,3095.0,0.4135,126726,218.8,-112.0,102.844,3.102,473.1,0.1329,133.11,33.0
fix_coast_gate,27817,-644.3,407.0,919.0,1953.0,0.07391,27817,-766.0,222.2,628.7,1780.0,0.04087,spine,0.06374,0.02319,446.0,1526.4,1157.2,1497.0,0.071,538.2,6269,83.1,1118.2,2473.0,0.3975,11500,246.2,-163.1,73.944,2.413,434.5,0.1186,109.81,21.4
fix_all,295889,-396.6,236.0,507.0,1018.0,0.04329,295889,-452.4,187.0,475.0,1359.0,0.03622,thay,0.00244,0.00047,0.0,532.4,736.2,1212.0,0.05768,391.4,24399,93.0,1058.0,2352.0,0.4095,126726,178.7,-85.7,106.088,3.05,466.4,0.1314,144.72,31.0
fix_all,27817,-656.2,236.0,526.8,912.0,0.04415,27817,-754.1,154.0,495.0,806.0,0.03196,spine,0.00129,0.00029,0.0,485.4,268.8,1467.8,0.06917,475.4,6269,90.0,997.6,2277.0,0.4042,11500,184.8,-94.8,75.263,2.479,425.9,0.1178,57.6,27.2
fix_all_fill010,295889,-393.4,113.0,334.0,737.0,0.01436,295889,-455.7,46.0,191.0,621.0,0.00506,thay,0.00194,2e-05,0.0,274.4,171.4,1170.0,0.04522,266.4,24399,28.2,656.0,1604.0,0.2931,126726,141.1,-112.9,108.667,3.263,458.3,0.1318,162.35,24.0
fix_all_fill010,27817,-653.3,108.0,323.8,748.0,0.01345,27817,-757.0,-31.0,141.0,588.0,0.00284,spine,0.00097,0.00022,0.0,321.4,91.8,1451.2,0.05996,321.3,6269,44.3,655.0,1806.0,0.2996,11500,147.6,-103.3,79.785,2.504,410.3,0.1204,73.86,34.0
