map,pit_px,pit_mean,pit_p95,pit_p99,pit_max,pit_frac_gt_riser,bump_px,bump_mean,bump_p95,bump_p99,bump_max,bump_frac_gt_riser,region,bound_under_frac,bound_over_frac,bound_under_p99,bound_under_max,bound_over_max,sink_p99,sink_frac_gt_riser,delta_std,grad_kurtosis,grad_p99_over_rms,grad_rms_levels_per_km,ridge_share,ridge_mean_run_px,ridge_p90_run_px,shape_px,bound_limited_pct_of_land,bound_excess_below_p99,erosion_gate_land_mean,erosion_ridged_land_mean,land_pct_on_clamp_floor,coast_mode
plain_rescale,295889,-420.3,0.0,0.0,0.0,0.0,295889,-428.8,0.0,0.0,0.0,0.0,thay,0.0,0.0,0.0,0.0,0.0,1108.0,0.03988,0.0,10.187,3.195,254.2,0.152,140.22,27.0,264688,,,,,,
plain_rescale,27817,-703.0,0.0,0.0,0.0,0.0,27817,-707.2,0.0,0.0,0.0,0.0,spine,0.0,0.0,0.0,0.0,0.0,1385.0,0.05831,0.0,2.481,2.663,366.4,0.1289,72.13,33.8,24087,,,,,,
live_build15,295889,-301.2,576.0,2612.0,8141.0,0.09341,295889,-547.8,268.0,734.0,4927.0,0.04803,thay,0.08809,0.04508,2381.2,7815.8,4303.2,1041.0,0.0532,752.7,2.306,2.891,240.4,0.1224,97.05,32.0,264688,,,,,,
live_build15,27817,-613.6,514.0,1352.7,5874.0,0.08797,27817,-796.7,267.0,759.8,2851.0,0.04857,spine,0.07876,0.03074,830.0,5566.6,2227.2,1420.5,0.06374,713.6,1.029,2.483,343.4,0.1112,70.94,33.0,24087,,,,,,
ship,295889,-392.4,125.0,376.0,812.0,0.01595,295889,-456.6,47.0,196.0,641.0,0.00566,thay,3e-05,3e-05,0.0,276.4,170.4,1188.0,0.04554,269.9,5.43,3.288,258.5,0.1227,91.61,26.0,264688,2.565,173.8,0.4503,0.2007,0.078,damp_detail
ship,27817,-651.3,140.0,372.0,796.0,0.01531,27817,-759.0,-31.0,145.8,620.0,0.00316,spine,0.00093,0.00018,0.0,368.4,90.8,1475.0,0.06029,325.9,1.37,2.682,373.3,0.1205,79.08,38.0,24087,2.565,173.8,0.4503,0.2007,0.078,damp_detail
ridge_sharp3,295889,-392.5,134.0,390.0,825.0,0.01753,295889,-456.5,52.0,237.0,650.0,0.00783,thay,3e-05,4e-05,0.0,276.4,186.4,1206.0,0.04766,276.7,6.071,3.356,269.7,0.124,92.39,26.0,264688,2.654,177.2,0.4503,0.2361,0.078,damp_detail
ridge_sharp3,27817,-651.2,140.0,386.8,826.0,0.01693,27817,-759.1,-14.8,175.0,622.0,0.00449,spine,0.00097,0.00018,0.0,398.4,83.8,1482.6,0.0605,333.2,1.722,2.727,388.3,0.1257,72.45,38.0,24087,2.654,177.2,0.4503,0.2361,0.078,damp_detail
ridge_off,295889,-392.5,129.0,385.1,831.0,0.01656,295889,-456.6,47.0,194.0,997.0,0.00573,thay,5e-05,5e-05,0.0,276.4,373.2,1194.0,0.0441,271.3,5.312,3.277,258.3,0.1242,88.4,27.0,264688,2.682,177.7,0.4503,0.0,0.077,damp_detail
ridge_off,27817,-651.3,140.0,381.8,818.0,0.01618,27817,-759.0,-25.8,168.0,622.0,0.00453,spine,0.00104,0.00029,0.0,390.4,144.8,1511.4,0.06014,330.0,1.208,2.665,376.0,0.1224,225.36,32.0,24087,2.682,177.7,0.4503,0.0,0.077,damp_detail
