zone,share_of_land,pit_px,pit_mean,pit_p95,pit_p99,pit_max,pit_frac_gt_riser,region,map
coast_band,0.0837,24774,-440.1,0.0,0.0,0.0,0.0,thay,plain_rescale
river_band,0.0641,18964,-450.6,0.0,0.0,0.0,0.0,thay,plain_rescale
interior,0.8522,252151,-416.0,0.0,0.0,0.0,0.0,thay,plain_rescale
coast_band,0.0837,24774,660.7,4085.7,6644.5,8141.0,0.3766,thay,build15
river_band,0.0641,18964,-124.1,748.0,1217.0,3279.0,0.26719,thay,build15
interior,0.8522,252151,-409.1,290.0,788.0,3044.0,0.05252,thay,build15
coast_band,0.0837,24774,-414.3,53.0,191.3,427.0,0.00662,thay,after
river_band,0.0641,18964,-107.2,427.0,618.0,623.0,0.14665,thay,after
interior,0.8522,252151,-413.0,60.5,263.0,829.0,0.00917,thay,after
coast_band,0.0404,1125,-526.6,0.0,0.0,0.0,0.0,spine,plain_rescale
river_band,0.1136,3161,-715.3,0.0,0.0,0.0,0.0,spine,plain_rescale
interior,0.8459,23531,-709.8,0.0,0.0,0.0,0.0,spine,plain_rescale
coast_band,0.0404,1125,360.8,3126.6,4801.2,5874.0,0.27733,spine,build15
river_band,0.1136,3161,-340.7,691.0,1126.4,1640.0,0.19108,spine,build15
interior,0.8459,23531,-696.9,392.0,999.0,2476.0,0.06506,spine,build15
coast_band,0.0404,1125,-497.4,77.0,140.0,323.0,0.00089,spine,after
river_band,0.1136,3161,-325.4,411.0,549.6,825.0,0.08478,spine,after
interior,0.8459,23531,-703.2,7.0,259.7,623.0,0.00905,spine,after
