crop,map,grad_kurtosis,grad_p99_over_rms,grad_rms_levels_per_km,ridge_share,ridge_mean_run_px,ridge_p90_run_px,shape_px,local_relief_p95,grad_kurtosis_vs_vanilla,grad_p99_over_rms_vs_vanilla,ridge_share_vs_vanilla,ridge_mean_run_px_vs_vanilla
vanilla_mountains_0,ck3_vanilla,23.984,3.271,212.3,0.1198,125.68,34.3,262144,3863.5,1.032,1.055,1.019,1.07
vanilla_mountains_1,ck3_vanilla,17.098,2.772,214.8,0.1168,100.67,30.0,262144,3828.0,0.736,0.894,0.994,0.857
vanilla_mountains_2,ck3_vanilla,28.618,3.258,175.8,0.116,125.93,30.0,262144,3309.0,1.232,1.051,0.987,1.072
spine,plain_rescale,9.813,3.405,203.7,0.1647,162.49,26.0,202271,3878.0,0.422,1.098,1.401,1.384
thaymount,plain_rescale,19.504,3.162,213.1,0.1591,197.0,27.7,207071,3602.0,0.839,1.02,1.354,1.678
spine,build15,6.685,3.518,182.2,0.1289,137.96,32.0,202271,3943.0,0.288,1.135,1.097,1.175
thaymount,build15,2.993,3.0,202.6,0.1245,101.58,31.0,207071,4500.0,0.129,0.968,1.059,0.865
spine,ship,9.374,3.891,187.7,0.1221,97.07,30.7,202271,3972.0,0.403,1.255,1.039,0.827
thaymount,ship,9.173,3.412,209.9,0.1199,92.14,26.0,207071,4654.0,0.395,1.101,1.02,0.785
spine,sharp3,10.162,3.937,194.7,0.1226,124.79,31.0,202271,4008.0,0.437,1.27,1.043,1.063
thaymount,sharp3,10.375,3.466,218.5,0.1205,90.27,24.0,207071,4741.0,0.447,1.118,1.025,0.769
