cycles_per_km,km,vanilla_levels,plain_rescale,build15,fix_fill005,fix_fill010
0.0105,95.2,20308.6,0.77,0.767,0.766,0.766
0.0158,63.3,10945.0,0.675,0.668,0.668,0.667
0.0211,47.4,6958.2,0.548,0.54,0.539,0.538
0.029,34.5,3652.9,0.438,0.465,0.46,0.428
0.0395,25.3,1655.6,0.415,0.823,0.741,0.398
0.05,20.0,942.3,0.421,0.959,0.89,0.388
0.0711,14.1,457.9,0.488,0.976,0.938,0.671
0.1,10.0,215.5,0.704,0.922,1.045,1.141
0.15,6.7,86.0,1.225,0.646,1.102,1.131
0.2,5.0,45.0,1.354,0.843,1.112,1.033
0.3,3.3,19.5,1.496,2.083,2.117,2.089
