region,transect,y,x,land,plain_rescale,build15,after
spine,interior,416,2032,1,7930,7897,7967
spine,interior,416,2033,1,7930,7866,7929
spine,interior,416,2034,1,7930,7877,7893
spine,interior,416,2035,1,7653,7931,7869
spine,interior,416,2036,1,7653,8004,7861
spine,interior,416,2037,1,7930,8057,7859
spine,interior,416,2038,1,7930,8062,7850
spine,interior,416,2039,1,7930,8010,7835
spine,interior,416,2040,1,7930,7911,7819
spine,interior,416,2041,1,7930,7785,7801
spine,interior,416,2042,1,7930,7651,7775
spine,interior,416,2043,1,7653,7518,7715
spine,interior,416,2044,1,7653,7384,7603
spine,interior,416,2045,1,7376,7258,7450
spine,interior,416,2046,1,7376,7181,7309
spine,interior,416,2047,1,7099,7159,7212
spine,interior,416,2048,1,7099,7174,7168
spine,interior,416,2049,1,7099,7208,7167
spine,interior,416,2050,1,7099,7264,7191
spine,interior,416,2051,1,7376,7339,7224
spine,interior,416,2052,1,7376,7408,7242
spine,interior,416,2053,1,7099,7438,7227
spine,interior,416,2054,1,7099,7414,7183
spine,interior,416,2055,1,7099,7342,7128
spine,interior,416,2056,1,6822,7263,7094
spine,interior,416,2057,1,6822,7233,7125
spine,interior,416,2058,1,7099,7277,7235
spine,interior,416,2059,1,7376,7396,7397
spine,interior,416,2060,1,7653,7526,7533
spine,interior,416,2061,1,7930,8055,8039
spine,interior,416,2062,1,8207,8295,8242
spine,interior,416,2063,1,8484,8474,8386
spine,interior,416,2064,1,8761,8623,8519
spine,interior,416,2065,1,8761,8788,8684
spine,interior,416,2066,1,9038,8913,8827
spine,interior,416,2067,1,9038,8940,8885
spine,interior,416,2068,1,9038,8963,8947
spine,interior,416,2069,1,9038,9041,9059
spine,interior,416,2070,1,9315,9152,9192
spine,interior,416,2071,1,9315,9381,9432
spine,interior,416,2072,1,9592,9624,9671
spine,interior,416,2073,1,9592,9801,9840
spine,interior,416,2074,1,9869,9932,9975
spine,interior,416,2075,1,10146,9912,9973
spine,interior,416,2076,1,10700,10471,10545
spine,interior,416,2077,1,10700,10511,10593
spine,interior,416,2078,1,10700,10582,10675
spine,interior,416,2079,1,10700,10624,10724
spine,interior,416,2080,1,10977,10607,10701
spine,interior,416,2081,1,10977,10675,10752
spine,interior,416,2082,1,10977,10761,10807
spine,interior,416,2083,1,10977,10783,10782
spine,interior,416,2084,1,10700,10705,10651
spine,interior,416,2085,1,10146,10262,10170
spine,interior,416,2086,1,9592,9442,9343
spine,interior,416,2087,1,9038,9201,9128
spine,interior,416,2088,1,8761,8859,8825
spine,interior,416,2089,1,8761,8583,8588
spine,interior,416,2090,1,8484,8188,8230
spine,interior,416,2091,1,8207,7946,8009
spine,interior,416,2092,1,7653,7506,7559
spine,interior,416,2093,1,6822,6870,6900
spine,interior,416,2094,1,6268,6028,6041
spine,interior,416,2095,1,5991,5916,5923
spine,interior,416,2096,1,5714,5655,5678
spine,interior,416,2097,1,5437,5420,5540
spine,interior,416,2098,1,5437,5261,5444
spine,interior,416,2099,1,5437,5174,5389
spine,interior,416,2100,1,5437,5180,5407
spine,interior,416,2101,1,4883,4884,4884
spine,interior,416,2102,0,4729,4476,4476
spine,interior,416,2103,0,4677,4273,4273
spine,interior,416,2104,0,4729,4069,4069
spine,interior,416,2105,0,4729,4149,4149
spine,interior,416,2106,0,4729,4308,4308
spine,interior,416,2107,0,4677,4428,4428
spine,interior,416,2108,0,4729,4595,4595
spine,interior,416,2109,0,4883,4680,4680
spine,interior,416,2110,1,5437,5333,5601
spine,interior,416,2111,1,5991,5598,5763
spine,interior,416,2112,1,5991,5971,5961
spine,interior,416,2113,1,6268,6321,6104
spine,interior,416,2114,1,7099,7219,7020
spine,interior,416,2115,1,7930,7968,7841
spine,interior,416,2116,1,8761,8695,8646
spine,interior,416,2117,1,9038,8729,8742
spine,interior,416,2118,1,9038,8796,8867
spine,interior,416,2119,1,9038,8779,8895
spine,interior,416,2120,1,9038,8701,8836
spine,interior,416,2121,1,8484,8294,8428
spine,interior,416,2122,1,7930,8245,8360
spine,interior,416,2123,1,7376,6858,6929
spine,interior,416,2124,1,6822,6888,6905
spine,interior,416,2125,1,5991,5784,5756
spine,interior,416,2126,1,5714,5625,5666
spine,interior,416,2127,1,5437,5428,5532
spine,interior,416,2128,1,5160,5285,5449
spine,interior,416,2129,0,4780,4680,4680
spine,interior,416,2130,0,4677,4476,4476
spine,interior,416,2131,0,4729,4476,4476
spine,interior,416,2132,0,4729,4428,4428
