region,transect,y,x,land,plain_rescale,build15,after
thay,interior,1641,4752,1,7099,7059,7105
thay,interior,1641,4753,1,7099,7097,7102
thay,interior,1641,4754,1,7099,7094,7097
thay,interior,1641,4755,1,7099,7055,7099
thay,interior,1641,4756,1,7099,7007,7110
thay,interior,1641,4757,1,7099,6967,7125
thay,interior,1641,4758,1,7099,6941,7137
thay,interior,1641,4759,1,7099,6935,7142
thay,interior,1641,4760,1,7099,6953,7150
thay,interior,1641,4761,1,7376,6991,7173
thay,interior,1641,4762,1,7376,7045,7221
thay,interior,1641,4763,1,7376,7116,7283
thay,interior,1641,4764,1,7376,7214,7362
thay,interior,1641,4765,1,7376,7346,7446
thay,interior,1641,4766,1,7376,7499,7524
thay,interior,1641,4767,1,7653,7636,7586
thay,interior,1641,4768,1,7653,7722,7636
thay,interior,1641,4769,1,7653,7755,7683
thay,interior,1641,4770,1,7653,7762,7739
thay,interior,1641,4771,1,7930,7773,7803
thay,interior,1641,4772,1,7930,7790,7861
thay,interior,1641,4773,1,7930,7807,7899
thay,interior,1641,4774,1,7930,7822,7916
thay,interior,1641,4775,1,8207,7841,7927
thay,interior,1641,4776,1,8207,7875,7948
thay,interior,1641,4777,1,7930,7929,7982
thay,interior,1641,4778,1,7930,7995,8015
thay,interior,1641,4779,1,8207,8054,8036
thay,interior,1641,4780,1,8207,8083,8042
thay,interior,1641,4781,1,7930,8073,8034
thay,interior,1641,4782,1,7930,8028,8011
thay,interior,1641,4783,1,7930,7971,7982
thay,interior,1641,4784,1,7930,7924,7954
thay,interior,1641,4785,1,7930,7896,7933
thay,interior,1641,4786,1,7930,7886,7920
thay,interior,1641,4787,1,7930,7894,7915
thay,interior,1641,4788,1,7930,7916,7914
thay,interior,1641,4789,1,7930,7945,7912
thay,interior,1641,4790,1,7930,7969,7910
thay,interior,1641,4791,1,7930,7984,7910
thay,interior,1641,4792,1,7930,7992,7918
thay,interior,1641,4793,1,7930,7998,7940
thay,interior,1641,4794,1,7930,8011,7983
thay,interior,1641,4795,1,7930,8042,8052
thay,interior,1641,4796,1,8207,8100,8143
thay,interior,1641,4797,1,8484,8183,8243
thay,interior,1641,4798,1,8484,8287,8342
thay,interior,1641,4799,1,8484,8409,8438
thay,interior,1641,4800,1,8484,8536,8527
thay,interior,1641,4801,1,8484,8648,8606
thay,interior,1641,4802,1,8761,8729,8670
thay,interior,1641,4803,1,9038,8782,8718
thay,interior,1641,4804,1,9038,8829,8758
thay,interior,1641,4805,1,9038,8889,8793
thay,interior,1641,4806,1,8761,8954,8817
thay,interior,1641,4807,1,8761,8995,8827
thay,interior,1641,4808,1,8761,8987,8823
thay,interior,1641,4809,1,8761,8931,8809
thay,interior,1641,4810,1,9038,8848,8787
thay,interior,1641,4811,1,9038,8756,8749
thay,interior,1641,4812,1,9038,8651,8686
thay,interior,1641,4813,1,8761,8522,8596
thay,interior,1641,4814,1,8484,8376,8483
thay,interior,1641,4815,1,8484,8239,8359
thay,interior,1641,4816,1,8207,8132,8237
thay,interior,1641,4817,1,8207,8058,8131
thay,interior,1641,4818,1,7930,7990,8031
thay,interior,1641,4819,1,7930,7894,7916
thay,interior,1641,4820,1,7653,7757,7777
thay,interior,1641,4821,1,7653,7601,7630
thay,interior,1641,4822,1,7376,7465,7503
thay,interior,1641,4823,1,7376,7372,7405
thay,interior,1641,4824,1,7376,7310,7324
thay,interior,1641,4825,1,7376,7248,7237
thay,interior,1641,4826,1,7099,7168,7132
thay,interior,1641,4827,1,7099,7078,7013
thay,interior,1641,4828,1,6822,6996,6899
