region,slope_ceiling_steps,slope_ceiling_levels_px,field_rms_levels,uplift_levels,field_mean_on_cliff,field_mean_far,trench_levels,field_min
thay,0.0,0.0,931.4,882.4,-1142.0,632.0,1773.0,-7947.0
thay,4.0,1108.0,875.0,860.0,-1044.0,610.0,1654.0,-6201.0
thay,2.0,554.0,674.1,740.7,-662.0,491.0,1153.0,-4135.0
thay,1.0,277.0,487.4,568.0,-274.0,319.0,593.0,-3340.0
thay,0.5,138.5,390.3,391.9,-72.0,173.0,246.0,-2452.0
spine,0.0,0.0,828.8,722.1,-1444.0,361.0,1804.0,-6574.0
spine,4.0,1108.0,760.9,700.1,-1341.0,339.0,1680.0,-5443.0
spine,2.0,554.0,581.6,617.6,-827.0,258.0,1085.0,-3894.0
spine,1.0,277.0,436.3,508.7,-335.0,152.0,488.0,-3138.0
spine,0.5,138.5,360.7,368.6,-79.0,70.0,149.0,-2307.0
