map,cliff_px,near_px,far_px,moat_mean_near,moat_p95_near,moat_p99_near,moat_max_near,moat_p95_far,source_moat_p95_near,moat_excess_p95,region,elapsed_s,tr_transects,tr_undershoot_mean,tr_undershoot_p95,tr_undershoot_max,tr_frac_undershoot_gt_200,tr_control_transects,tr_control_undershoot_mean,tr_moat_excess_mean,delta_std,delta_p01,clamp_floor_pct,deficit_scale
plain_rescale,21386,55553,79237,241.0,1108.0,1663.0,4156.0,554.0,1108.0,554.0,spine,,12310,12.4,0.0,278.0,0.0448,102221,58.5,-46.1,0.0,0.0,0.0,
live_build13_map,21386,55553,79237,243.3,1134.0,2480.0,13011.0,270.0,1108.0,864.0,spine,,12310,2720.4,8966.4,15513.0,0.8045,102221,354.8,2365.6,1717.0,-6407.0,0.307,
deterrace_pm_only,21386,55553,79237,136.4,809.9,1553.3,3379.3,190.5,1108.0,619.4,spine,,12310,-39.5,318.4,735.1,0.1372,102221,82.6,-122.1,170.0,-419.0,0.027,
b13_default,21386,55553,79237,205.9,908.0,1529.5,3992.0,347.0,1108.0,561.0,spine,0.4,12310,1362.6,4361.6,8119.0,0.7487,102221,302.5,1060.1,1158.0,-3419.0,0.055,1333.1923
b13_deterrace_gaussian,21386,55553,79237,220.8,938.0,1657.5,4061.0,462.0,1108.0,476.0,spine,0.4,12310,1741.0,5177.2,9770.0,0.7833,102221,376.5,1364.5,1380.0,-4003.0,0.028,1611.8718
b13_no_incision,21386,55553,79237,180.6,809.4,1481.0,3330.0,558.0,1108.0,251.4,spine,0.4,12310,38.3,2113.5,4160.0,0.4614,102221,295.4,-257.1,1193.0,-2646.0,0.085,1268.1848
b13_isotropic_relief,21386,55553,79237,248.3,1112.0,2026.0,4380.0,653.0,1108.0,459.0,spine,0.2,12310,73.7,1668.5,3151.0,0.4712,102221,313.2,-239.5,958.0,-2109.0,0.09,986.1266
b13_gain_hf_target,21386,55553,79237,222.8,938.0,1595.0,3924.0,418.0,1108.0,520.0,spine,0.4,12310,1698.9,5296.1,9357.0,0.7634,102221,380.3,1318.6,1419.0,-4155.0,0.07,
b13_no_rivers,21386,55553,79237,189.4,818.0,1377.5,3476.0,339.0,1108.0,479.0,spine,0.4,12310,1317.6,4331.5,8109.0,0.74,102221,279.1,1038.5,1162.0,-3394.0,0.048,1333.1923
b13_no_coast_smooth,21386,55553,79237,207.1,909.0,1529.5,3992.0,347.0,1108.0,562.0,spine,0.4,12310,1360.2,4361.6,8119.0,0.7476,102221,299.8,1060.4,1159.0,-3419.0,0.048,1333.1923
fix_slopecap_2.0,21386,55553,79237,245.2,1015.0,1754.0,5487.0,435.0,1108.0,580.0,spine,0.4,12310,893.5,3076.1,4997.0,0.7191,102221,417.7,475.8,1129.0,-2841.0,0.066,1240.1327
fix_slopecap_1.0,21386,55553,79237,259.1,1080.0,1835.0,5038.0,511.0,1108.0,569.0,spine,0.4,12310,410.6,2223.5,4252.0,0.568,102221,454.5,-43.9,1073.0,-2437.0,0.069,1157.4156
fix_fillmin_only,21386,55553,79237,179.5,901.0,1565.0,3854.0,269.0,1108.0,632.0,spine,0.4,12310,342.7,1425.1,3377.0,0.5773,102221,151.8,190.9,347.0,-1082.0,0.03,329.4414
fix_both_0.03,21386,55553,79237,243.1,1046.0,1824.0,5328.0,509.0,1108.0,537.0,spine,0.4,12310,219.0,1253.0,2621.0,0.4963,102221,303.6,-84.6,577.0,-1425.0,0.048,574.9005
fix_both_0.05,21386,55553,79237,215.2,997.0,1729.0,4616.0,398.0,1108.0,599.0,spine,0.4,12310,102.2,832.5,2023.0,0.3873,102221,190.0,-87.8,342.0,-919.0,0.036,291.3084
fix_both_0.05_cap1,21386,55553,79237,215.2,997.0,1729.0,4616.0,398.0,1108.0,599.0,spine,0.4,12310,102.2,832.5,2023.0,0.3873,102221,190.0,-87.8,342.0,-919.0,0.036,291.3084
fix_both_0.08,21386,55553,79237,197.4,953.4,1780.5,4136.0,298.0,1108.0,655.4,spine,0.4,12310,43.8,644.0,1649.0,0.2887,102221,140.5,-96.7,254.0,-787.0,0.035,161.1788
