map,cliff_px,near_px,far_px,moat_mean_near,moat_p95_near,moat_p99_near,moat_max_near,moat_p95_far,source_moat_p95_near,moat_excess_p95,region,elapsed_s,tr_transects,tr_undershoot_mean,tr_undershoot_p95,tr_undershoot_max,tr_frac_undershoot_gt_200,tr_control_transects,tr_control_undershoot_mean,tr_moat_excess_mean,delta_std,delta_p01,clamp_floor_pct,deficit_scale
plain_rescale,38227,91797,34209,288.9,1385.0,2216.0,8311.0,554.0,1385.0,831.0,thay,,21544,12.1,0.0,278.0,0.0438,110677,56.4,-44.3,0.0,0.0,0.0,
live_build13_map,38227,91797,34209,606.7,3516.0,8849.0,11562.0,321.0,1385.0,3195.0,thay,,21544,4900.4,13851.0,21265.0,0.8806,110677,1356.0,3544.4,3291.0,-14959.0,4.232,
deterrace_pm_only,38227,91797,34209,190.7,1031.2,1948.8,7789.5,167.6,1385.0,863.6,thay,,21544,-46.6,312.2,891.7,0.1304,110677,79.9,-126.5,184.0,-445.0,0.004,
b13_default,38227,91797,34209,273.4,1144.0,1782.0,6782.0,344.0,1385.0,800.0,thay,0.4,21544,1837.7,4731.0,8240.0,0.8231,110677,343.4,1494.3,1551.0,-4304.0,0.041,1497.6115
b13_deterrace_gaussian,38227,91797,34209,265.3,1097.0,1703.1,7884.0,420.0,1385.0,677.0,thay,0.3,21544,2071.1,5234.0,9653.0,0.8297,110677,364.5,1706.6,1677.0,-4749.0,0.039,1609.5395
b13_no_incision,38227,91797,34209,234.8,1099.0,1778.0,5705.0,573.0,1385.0,526.0,thay,0.4,21544,198.7,2528.0,5923.0,0.51,110677,309.3,-110.6,1396.0,-3194.0,0.089,1490.3373
b13_isotropic_relief,38227,91797,34209,317.3,1411.0,2429.0,8159.0,573.0,1385.0,838.0,thay,0.1,21544,32.6,1806.0,3736.0,0.4463,110677,340.4,-307.8,1114.0,-2509.0,0.029,1110.5336
b13_gain_hf_target,38227,91797,34209,262.1,1150.0,1841.0,5919.0,301.0,1385.0,849.0,thay,0.3,21544,1412.3,3720.8,6403.0,0.8073,110677,259.1,1153.2,1209.0,-3389.0,0.024,
b13_no_rivers,38227,91797,34209,248.0,1014.0,1574.0,6782.0,297.0,1385.0,717.0,thay,0.4,21544,1802.5,4664.8,8240.0,0.8179,110677,299.7,1502.8,1556.0,-4260.0,0.033,1497.6115
b13_no_coast_smooth,38227,91797,34209,273.9,1144.0,1782.0,6782.0,344.0,1385.0,800.0,thay,0.4,21544,1836.0,4731.0,8240.0,0.8225,110677,341.7,1494.3,1551.0,-4304.0,0.028,1497.6115
fix_slopecap_2.0,38227,91797,34209,294.5,1202.0,1935.0,6306.0,378.0,1385.0,824.0,thay,0.4,21544,1172.3,3197.0,5627.0,0.7843,110677,403.0,769.3,1284.0,-3214.0,0.041,1238.3322
fix_slopecap_1.0,38227,91797,34209,324.0,1309.0,2118.0,6683.0,474.0,1385.0,835.0,thay,0.4,21544,742.1,2808.8,4890.0,0.6742,110677,491.0,251.1,1297.0,-3055.0,0.063,1304.0687
fix_fillmin_only,38227,91797,34209,224.3,1121.0,1773.0,5103.0,267.0,1385.0,854.0,thay,0.4,21544,372.1,1329.8,3241.0,0.6075,110677,161.1,211.0,407.0,-1215.0,0.002,337.0741
fix_both_0.03,38227,91797,34209,243.3,1062.0,1804.0,6123.0,372.0,1385.0,690.0,thay,0.4,21544,568.5,1659.0,2944.0,0.715,110677,237.9,330.6,610.0,-1622.0,0.008,547.6018
fix_both_0.05,38227,91797,34209,232.4,1127.0,1824.0,6325.0,288.0,1385.0,839.0,thay,0.4,21544,239.3,941.0,2548.0,0.5267,110677,174.1,65.2,354.0,-990.0,0.002,278.0837
fix_both_0.05_cap1,38227,91797,34209,255.8,1168.2,2004.0,6796.0,369.0,1385.0,799.2,thay,0.4,21544,121.1,835.0,2321.0,0.4072,110677,196.6,-75.5,361.0,-984.0,0.004,293.0734
fix_both_0.08,38227,91797,34209,254.6,1287.2,2056.0,7688.0,268.0,1385.0,1019.2,thay,0.4,21544,80.6,640.0,1893.0,0.3292,110677,149.3,-68.7,274.0,-855.0,0.003,158.597
