map,cliff_px,near_px,far_px,moat_mean_near,moat_p95_near,moat_p99_near,moat_max_near,moat_p95_far,source_moat_p95_near,moat_excess_p95,region,tr_transects,tr_undershoot_mean,tr_undershoot_p95,tr_undershoot_max,tr_frac_undershoot_gt_200,tr_control_transects,tr_control_undershoot_mean,tr_moat_excess_mean,delta_std,clamp_floor_pct
plain_rescale,34339,85183,34743,301.0,1385.0,2216.0,8311.0,554.0,1385.0,831.0,thay,16687,13.2,0.0,278.0,0.0478,98916,59.4,-46.2,0.0,0.0
build13_live,34339,85183,34743,325.0,1443.9,2752.4,11562.0,318.0,1385.0,1125.9,thay,16687,3478.2,10098.0,21265.0,0.8459,98916,550.8,2927.4,2464.0,0.034
lane_1x_fix,34339,85183,34743,343.4,1505.0,2374.0,6245.0,388.0,1385.0,1117.0,thay,16687,169.1,1570.7,7955.0,0.4508,98916,284.7,-115.6,804.0,0.006
no_fix,34339,85183,34743,325.0,1443.9,2752.4,11562.0,318.0,1385.0,1125.9,thay,16687,3478.2,10098.0,21265.0,0.8459,98916,550.8,2927.4,2464.0,0.034
fillmin_only,34339,85183,34743,295.1,1313.0,2288.2,11262.0,300.0,1385.0,1013.0,thay,16687,1172.1,3967.2,9334.0,0.7433,98916,311.1,861.0,1061.0,0.007
slopecap_only,34339,85183,34743,357.0,1574.0,2512.5,5638.0,437.9,1385.0,1136.1,thay,16687,468.3,3888.1,8795.0,0.5547,98916,514.1,-45.8,1569.0,0.083
headroom_1.0,34339,85183,34743,347.6,1530.0,2405.2,6224.0,400.0,1385.0,1130.0,thay,16687,177.1,1608.7,7956.0,0.4518,98916,292.8,-115.7,808.0,0.007
slopecap_1.0,34339,85183,34743,340.0,1457.9,2459.2,6554.0,346.0,1385.0,1111.9,thay,16687,327.0,1727.7,7922.0,0.5332,98916,311.9,15.1,818.0,0.007
plain_rescale,21239,55188,79275,241.1,1108.0,1663.0,4156.0,554.0,1108.0,554.0,spine,12165,12.3,0.0,278.0,0.0442,101562,58.6,-46.3,0.0,0.0
build13_live,21239,55188,79275,224.6,1095.0,2154.3,6196.0,270.0,1108.0,825.0,spine,12165,2678.0,8825.8,14866.0,0.8021,101562,328.2,2349.8,1695.0,0.038
lane_1x_fix,21239,55188,79275,240.0,1194.0,2173.5,4351.0,326.0,1108.0,868.0,spine,12165,95.1,1300.8,6585.0,0.4037,101562,167.6,-72.5,405.0,0.031
no_fix,21239,55188,79275,224.6,1095.0,2154.3,6196.0,270.0,1108.0,825.0,spine,12165,2678.0,8825.8,14866.0,0.8021,101562,328.2,2349.8,1695.0,0.038
fillmin_only,21239,55188,79275,215.3,1066.7,2001.3,6661.0,239.0,1108.0,827.7,spine,12165,885.0,3679.8,7188.0,0.6667,101562,179.8,705.2,629.0,0.031
slopecap_only,21239,55188,79275,267.0,1270.7,2482.1,4721.0,383.0,1108.0,887.7,spine,12165,218.0,3282.8,6438.0,0.4978,101562,348.2,-130.2,1083.0,0.032
headroom_1.0,21239,55188,79275,243.5,1210.0,2214.0,4375.0,329.0,1108.0,881.0,spine,12165,98.4,1314.0,6586.0,0.4043,101562,172.8,-74.4,410.0,0.033
slopecap_1.0,21239,55188,79275,244.7,1193.7,2159.1,5562.0,288.0,1108.0,905.7,spine,12165,190.5,1433.0,6926.0,0.4554,101562,181.9,8.6,415.0,0.03
