region,map,patches,cycles_per_km,amplitude_levels
-,ck3_vanilla,48,0.00526,43207.31
-,ck3_vanilla,48,0.01053,20178.75
-,ck3_vanilla,48,0.01579,10949.1
-,ck3_vanilla,48,0.02106,6977.03
-,ck3_vanilla,48,0.02632,4537.72
-,ck3_vanilla,48,0.03159,2796.83
-,ck3_vanilla,48,0.03685,1980.24
-,ck3_vanilla,48,0.04212,1334.28
-,ck3_vanilla,48,0.04738,1050.37
-,ck3_vanilla,48,0.05265,832.82
-,ck3_vanilla,48,0.05791,672.08
-,ck3_vanilla,48,0.06318,596.99
-,ck3_vanilla,48,0.06844,491.28
-,ck3_vanilla,48,0.07371,425.23
-,ck3_vanilla,48,0.07897,360.03
-,ck3_vanilla,48,0.08424,304.03
-,ck3_vanilla,48,0.0895,260.28
-,ck3_vanilla,48,0.09477,236.53
-,ck3_vanilla,48,0.10003,215.37
-,ck3_vanilla,48,0.1053,187.43
-,ck3_vanilla,48,0.11056,167.68
-,ck3_vanilla,48,0.11583,148.03
-,ck3_vanilla,48,0.12109,132.51
-,ck3_vanilla,48,0.12636,126.0
-,ck3_vanilla,48,0.13162,114.47
-,ck3_vanilla,48,0.13689,103.45
-,ck3_vanilla,48,0.14215,93.73
-,ck3_vanilla,48,0.14742,88.09
-,ck3_vanilla,48,0.15268,83.74
-,ck3_vanilla,48,0.15795,77.86
-,ck3_vanilla,48,0.16321,73.24
-,ck3_vanilla,48,0.16847,67.0
-,ck3_vanilla,48,0.17374,61.66
-,ck3_vanilla,48,0.179,58.0
-,ck3_vanilla,48,0.18427,54.01
-,ck3_vanilla,48,0.18953,51.01
-,ck3_vanilla,48,0.1948,48.36
-,ck3_vanilla,48,0.20006,44.94
-,ck3_vanilla,48,0.20533,41.56
-,ck3_vanilla,48,0.21059,39.68
-,ck3_vanilla,48,0.21586,37.78
-,ck3_vanilla,48,0.22112,36.55
-,ck3_vanilla,48,0.22639,34.33
-,ck3_vanilla,48,0.23165,32.48
-,ck3_vanilla,48,0.23692,30.43
-,ck3_vanilla,48,0.24218,29.05
-,ck3_vanilla,48,0.24745,27.47
-,ck3_vanilla,48,0.25271,26.35
-,ck3_vanilla,48,0.25798,25.53
-,ck3_vanilla,48,0.26324,24.62
-,ck3_vanilla,48,0.26851,23.66
-,ck3_vanilla,48,0.27377,22.71
-,ck3_vanilla,48,0.27904,22.44
-,ck3_vanilla,48,0.2843,21.69
-,ck3_vanilla,48,0.28957,20.9
-,ck3_vanilla,48,0.29483,20.13
-,ck3_vanilla,48,0.3001,19.52
-,ck3_vanilla,48,0.30536,18.8
-,ck3_vanilla,48,0.31063,18.09
-,ck3_vanilla,48,0.31589,17.46
-,ck3_vanilla,48,0.32116,16.68
-,ck3_vanilla,48,0.32642,16.21
-,ck3_vanilla,48,0.33169,15.61
-,ck3_vanilla,48,0.33695,15.15
-,ck3_vanilla,48,0.34221,14.72
-,ck3_vanilla,48,0.34748,14.21
-,ck3_vanilla,48,0.35274,13.75
-,ck3_vanilla,48,0.35801,13.16
-,ck3_vanilla,48,0.36327,12.79
-,ck3_vanilla,48,0.36854,12.48
-,ck3_vanilla,48,0.3738,12.09
-,ck3_vanilla,48,0.37907,11.86
-,ck3_vanilla,48,0.38433,11.5
-,ck3_vanilla,48,0.3896,11.27
-,ck3_vanilla,48,0.39486,11.02
-,ck3_vanilla,48,0.40013,10.61
-,ck3_vanilla,48,0.40539,10.41
-,ck3_vanilla,48,0.41066,10.05
-,ck3_vanilla,48,0.41592,9.86
-,ck3_vanilla,48,0.42119,9.48
-,ck3_vanilla,48,0.42645,9.3
-,ck3_vanilla,48,0.43172,9.18
-,ck3_vanilla,48,0.43698,8.93
-,ck3_vanilla,48,0.44225,8.79
-,ck3_vanilla,48,0.44751,8.61
-,ck3_vanilla,48,0.45278,8.61
-,ck3_vanilla,48,0.45804,8.48
-,ck3_vanilla,48,0.46331,8.29
-,ck3_vanilla,48,0.46857,8.09
-,ck3_vanilla,48,0.47384,7.87
-,ck3_vanilla,48,0.4791,7.79
-,ck3_vanilla,48,0.48437,7.67
-,ck3_vanilla,48,0.48963,7.46
-,ck3_vanilla,48,0.4949,7.44
-,ck3_vanilla,48,0.50016,7.41
-,ck3_vanilla,48,0.50542,7.26
-,ck3_vanilla,48,0.51069,7.14
-,ck3_vanilla,48,0.51595,7.09
-,ck3_vanilla,48,0.52122,6.98
-,ck3_vanilla,48,0.52648,6.93
-,ck3_vanilla,48,0.53175,6.83
-,ck3_vanilla,48,0.53701,6.74
-,ck3_vanilla,48,0.54228,6.67
-,ck3_vanilla,48,0.54754,6.56
-,ck3_vanilla,48,0.55281,6.51
-,ck3_vanilla,48,0.55807,6.44
-,ck3_vanilla,48,0.56334,6.43
-,ck3_vanilla,48,0.5686,6.41
-,ck3_vanilla,48,0.57387,6.36
-,ck3_vanilla,48,0.57913,6.28
-,ck3_vanilla,48,0.5844,6.18
-,ck3_vanilla,48,0.58966,6.04
-,ck3_vanilla,48,0.59493,6.07
-,ck3_vanilla,48,0.60019,6.01
-,ck3_vanilla,48,0.60546,6.0
-,ck3_vanilla,48,0.61072,5.89
-,ck3_vanilla,48,0.61599,5.9
-,ck3_vanilla,48,0.62125,5.9
-,ck3_vanilla,48,0.62652,5.8
-,ck3_vanilla,48,0.63178,5.76
-,ck3_vanilla,48,0.63705,5.75
-,ck3_vanilla,48,0.64231,5.73
