where,material,ck3_terrain,px
land,plains_01,plains,1414796
land,hills_01,hills,1034846
land,steppe_grass,steppe,916172
land,forest_pine_01,taiga,906468
land,mountain_02,mountains,886896
land,desert_02,desert,592772
land,forest_leaf_01,forest,440533
land,forest_jungle_01,jungle,267190
land,wetlands_02,wetlands,98143
land,farmland_01,farmlands,53578
land,drylands_01,drylands,357
water,drylands_01,drylands,6386450
water,plains_01,plains,1096685
water,hills_01,hills,10395
water,mountain_02,mountains,3761
water,steppe_grass,steppe,813
water,forest_leaf_01,forest,432
water,wetlands_02,wetlands,216
water,forest_pine_01,taiga,207
water,farmland_01,farmlands,5
water,desert_02,desert,4
water,forest_jungle_01,jungle,1
