cliff_threshold_risers,n_edges,lag_px,baseline_km,drop_plain_risers,drop_deterrace_risers,drop_shipped_risers,kept_deterrace_pct,kept_shipped_pct
2,56257,1,1.48,2.499,1.606,1.457,64.3,58.3
2,56257,2,4.45,5.94,4.666,4.131,78.5,69.5
2,56257,3,7.42,8.545,7.343,6.437,85.9,75.3
2,56257,4,10.39,10.476,9.56,8.315,91.3,79.4
2,56257,6,16.32,13.574,12.747,11.006,93.9,81.1
2,56257,8,22.26,15.247,14.665,12.636,96.2,82.9
2,56257,12,34.13,16.681,16.41,14.4,98.4,86.3
4,6224,1,1.48,4.516,3.038,2.814,67.3,62.3
4,6224,2,4.45,11.43,8.76,7.907,76.6,69.2
4,6224,3,7.42,16.392,13.576,12.089,82.8,73.8
4,6224,4,10.39,19.603,17.267,15.344,88.1,78.3
4,6224,6,16.32,23.275,21.684,19.117,93.2,82.1
4,6224,8,22.26,24.492,23.557,20.759,96.2,84.8
4,6224,12,34.13,24.602,24.219,21.868,98.4,88.9
6,700,1,1.48,6.638,4.26,4.105,64.2,61.8
6,700,2,4.45,16.853,12.113,11.049,71.9,65.6
6,700,3,7.42,23.323,18.261,16.769,78.3,71.9
6,700,4,10.39,26.485,22.319,20.544,84.3,77.6
6,700,6,16.32,27.399,25.355,23.41,92.5,85.4
6,700,8,22.26,25.902,25.233,23.541,97.4,90.9
6,700,12,34.13,24.689,24.198,24.061,98.0,97.5
