county,province_id,r,g,b,px,ck2_x0,ck2_x1,ck2_y0,ck2_y1
c_thaymount,1426,103,46,39,718,2457,2496,878,902
c_dmir,1045,167,52,55,1562,2423,2498,841,874
c_szul,1044,234,70,91,977,2451,2503,891,926
c_umbthal,1043,213,18,52,1047,2429,2461,870,920
c_umratharos,1035,152,55,30,2754,2501,2580,788,838
c_keluthar,1172,203,88,106,1925,2511,2592,827,863
c_eltabbar,1034,228,21,9,870,2502,2540,856,903
c_rathmar,1051,237,61,85,2222,2394,2478,818,879
c_sefriszar,1046,200,146,109,1966,2450,2517,797,862
c_gauros,1039,231,27,15,1911,2577,2636,799,849
c_denzar,700,188,106,149,1181,2567,2617,847,883
c_escalant,1040,209,146,67,620,2355,2383,970,1007
c_amruthar,1048,182,52,88,2847,2398,2460,877,969
c_anhaurz,1038,252,137,0,1044,2362,2408,943,977
c_nethentir,1012,82,128,188,1130,2351,2402,838,906
c_nethjet,1011,146,182,219,879,2359,2403,896,943
c_pyarados,1041,112,39,76,1750,2512,2565,943,1002
c_the_surague,1059,231,39,134,2275,2552,2609,869,945
c_surthay,1023,76,121,161,775,2496,2561,775,796
c_mulsanyaar,1022,152,46,91,2217,2558,2619,738,790
c_surmarsh,1009,76,155,100,1203,2431,2501,772,818
c_moszabbar,1042,167,82,109,1797,2553,2617,962,1004
c_thazar,2497,238,158,182,1282,2548,2611,923,964
c_thazarim,1047,206,155,88,1103,2531,2582,988,1029
c_the_alaor,1033,231,88,24,178,2464,2485,1044,1064
c_bezantur,1032,225,30,30,1320,2455,2538,989,1022
c_murbant,1037,170,67,43,1775,2360,2434,967,1019
c_thasselen,1036,206,118,91,1347,2419,2465,987,1027
c_tyraturos,1031,158,15,24,1072,2493,2538,935,970
c_ankhur,2496,173,184,169,1411,2459,2513,955,992
c_nuthretos,1050,158,82,137,1590,2473,2525,902,958
c_surag,1425,76,36,203,1088,2518,2553,898,949
c_zolum,1049,149,43,128,1816,2417,2476,925,985
(all k_thay),-1,,,,47652,2351,2636,738,1064
