stage,class,edges,pct,n_edges_total,mean_risers,p99_risers,max_risers
ck2_plain_rescale,flat (0),366961,48.45,757403,0.7886,4.0,13.999
ck2_plain_rescale,sub-riser,385,0.051,757403,0.7886,4.0,13.999
ck2_plain_rescale,1 riser (quantisation),258634,34.147,757403,0.7886,4.0,13.999
ck2_plain_rescale,2 risers,83453,11.018,757403,0.7886,4.0,13.999
ck2_plain_rescale,3-4 risers,41633,5.497,757403,0.7886,4.0,13.999
ck2_plain_rescale,>=5 risers,6337,0.837,757403,0.7886,4.0,13.999
after_deterrace,flat (0),23872,3.152,757403,0.6263,3.417,9.424
after_deterrace,sub-riser,435358,57.48,757403,0.6263,3.417,9.424
after_deterrace,1 riser (quantisation),212136,28.008,757403,0.6263,3.417,9.424
after_deterrace,2 risers,60516,7.99,757403,0.6263,3.417,9.424
after_deterrace,3-4 risers,24086,3.18,757403,0.6263,3.417,9.424
after_deterrace,>=5 risers,1435,0.189,757403,0.6263,3.417,9.424
shipped,flat (0),28805,3.803,757403,1.0022,5.96,12.519
shipped,sub-riser,356658,47.09,757403,1.0022,5.96,12.519
shipped,1 riser (quantisation),210969,27.854,757403,1.0022,5.96,12.519
shipped,2 risers,73260,9.673,757403,1.0022,5.96,12.519
shipped,3-4 risers,63579,8.394,757403,1.0022,5.96,12.519
shipped,>=5 risers,24132,3.186,757403,1.0022,5.96,12.519
