file,ours,vanilla
reeds_01_generator_1.txt,23898,47085
steppe_bush_01_generator.txt,17711,4647
tree_cypress_01_generator_1.txt,0,7138
tree_jungle_01_c_generator_1.txt,0,1227
tree_jungle_01_d_generator_1.txt,104334,38113
tree_leaf_01_single_generator_1.txt,179733,3954
tree_leaf_2_high_generator_1.txt,0,14831
tree_leaf_high_generator_1.txt,339829,138645
tree_leaf_high_generator_2.txt,0,36248
tree_leaf_high_generator_3.txt,0,74170
tree_palm_generator_1.txt,0,12739
tree_pine_01_a_generator_1.txt,0,51997
tree_pine_01_b_generator_1.txt,46370,87196
tree_pine_impassable_01_a_generator_1.txt,0,30406
tree_sakura_01_generator.txt,0,323
tree_sakura_02_generator.txt,0,53
tree_sakura_03_generator.txt,0,143
tree_sakura_forest_generator.txt,0,211
