stage,level,count
before,7099,1340319
before,7376,1462376
before,7653,1178679
before,7930,1368584
before,8207,1004823
before,8484,1177032
before,8761,978825
before,9038,737365
before,9315,700969
before,9592,635472
before,9869,540968
before,10146,554237
before,10423,517855
before,10700,563851
before,10977,470873
before,11254,434198
before,11531,422200
before,11808,411110
before,12085,421554
before,12362,371535
before,12639,335863
before,12916,328672
before,13193,308840
before,13470,283402
before,13747,276077
now,7000,4042
now,7001,4077
now,7002,3964
now,7003,4032
now,7004,4066
now,7005,4103
now,7006,3944
now,7007,4015
now,7008,4023
now,7009,4097
now,7010,4029
now,7011,4006
now,7012,3957
now,7013,4079
now,7014,3968
now,7015,3872
now,7016,4043
now,7017,4098
now,7018,4012
now,7019,4022
now,7020,4113
now,7021,3999
now,7022,4037
now,7023,4147
now,7024,4001
now,7025,4111
now,7026,4059
now,7027,4037
now,7028,4007
now,7029,4084
now,7030,4076
now,7031,4047
now,7032,4087
now,7033,4215
now,7034,4061
now,7035,4115
now,7036,4104
now,7037,4068
now,7038,4134
now,7039,4069
now,7040,4118
now,7041,3993
now,7042,4012
now,7043,4098
now,7044,4111
now,7045,4090
now,7046,4117
now,7047,4178
now,7048,4104
now,7049,4201
now,7050,4057
now,7051,4073
now,7052,4110
now,7053,4228
now,7054,4153
now,7055,4079
now,7056,4081
now,7057,4166
now,7058,4071
now,7059,3993
now,7060,4145
now,7061,4155
now,7062,4058
now,7063,4175
now,7064,4049
now,7065,4212
now,7066,4156
now,7067,4129
now,7068,4173
now,7069,4134
now,7070,4067
now,7071,4161
now,7072,4109
now,7073,4070
now,7074,4215
now,7075,4131
now,7076,4149
now,7077,4149
now,7078,4137
now,7079,4180
now,7080,4121
now,7081,4173
now,7082,4214
now,7083,4171
now,7084,4226
now,7085,4115
now,7086,4118
now,7087,4177
now,7088,4110
now,7089,4229
now,7090,4254
now,7091,4196
now,7092,4173
now,7093,4120
now,7094,4290
now,7095,4219
now,7096,4194
now,7097,4229
now,7098,4128
now,7099,4184
now,7100,4121
now,7101,4256
now,7102,4110
now,7103,4250
now,7104,4214
now,7105,4093
now,7106,4224
now,7107,4182
now,7108,4196
now,7109,4292
now,7110,4223
now,7111,4161
now,7112,4259
now,7113,4151
now,7114,4048
now,7115,4295
now,7116,4190
now,7117,4130
now,7118,4129
now,7119,4240
now,7120,4200
now,7121,4271
now,7122,4349
now,7123,4233
now,7124,4167
now,7125,4309
now,7126,4177
now,7127,4177
now,7128,4218
now,7129,4190
now,7130,4229
now,7131,4318
now,7132,4222
now,7133,4216
now,7134,4279
now,7135,4248
now,7136,4186
now,7137,4241
now,7138,4266
now,7139,4255
now,7140,4209
now,7141,4223
now,7142,4167
now,7143,4231
now,7144,4116
now,7145,4278
now,7146,4255
now,7147,4168
now,7148,4158
now,7149,4352
now,7150,4141
now,7151,4289
now,7152,4195
now,7153,4258
now,7154,4270
now,7155,4196
now,7156,4313
now,7157,4314
now,7158,4421
now,7159,4271
now,7160,4261
now,7161,4312
now,7162,4310
now,7163,4271
now,7164,4294
now,7165,4230
now,7166,4374
now,7167,4430
now,7168,4402
now,7169,4337
now,7170,4137
now,7171,4339
now,7172,4410
now,7173,4379
now,7174,4271
now,7175,4277
now,7176,4269
now,7177,4324
now,7178,4292
now,7179,4307
now,7180,4336
now,7181,4225
now,7182,4281
now,7183,4293
now,7184,4302
now,7185,4312
now,7186,4360
now,7187,4207
now,7188,4351
now,7189,4294
now,7190,4498
now,7191,4312
now,7192,4538
now,7193,4366
now,7194,4298
now,7195,4279
now,7196,4280
now,7197,4261
now,7198,4369
now,7199,4273
now,7200,4466
now,7201,4358
now,7202,4319
now,7203,4308
now,7204,4420
now,7205,4403
now,7206,4413
now,7207,4333
now,7208,4364
now,7209,4324
now,7210,4412
now,7211,4348
now,7212,4369
now,7213,4417
now,7214,4455
now,7215,4366
now,7216,4378
now,7217,4302
now,7218,4362
now,7219,4408
now,7220,4411
now,7221,4390
now,7222,4401
now,7223,4333
now,7224,4303
now,7225,4326
now,7226,4342
now,7227,4314
now,7228,4349
now,7229,4374
now,7230,4325
now,7231,4400
now,7232,4323
now,7233,4502
now,7234,4507
now,7235,4506
now,7236,4324
now,7237,4412
now,7238,4411
now,7239,4360
now,7240,4419
now,7241,4399
now,7242,4355
now,7243,4291
now,7244,4297
now,7245,4345
now,7246,4487
now,7247,4362
now,7248,4484
now,7249,4351
now,7250,4338
now,7251,4389
now,7252,4399
now,7253,4429
now,7254,4463
now,7255,4399
now,7256,4378
now,7257,4406
now,7258,4340
now,7259,4365
now,7260,4407
now,7261,4410
now,7262,4435
now,7263,4484
now,7264,4477
now,7265,4480
now,7266,4560
now,7267,4451
now,7268,4467
now,7269,4564
now,7270,4456
now,7271,4356
now,7272,4491
now,7273,4526
now,7274,4505
now,7275,4379
now,7276,4486
now,7277,4373
now,7278,4465
now,7279,4544
now,7280,4497
now,7281,4560
now,7282,4316
now,7283,4518
now,7284,4515
now,7285,4425
now,7286,4570
now,7287,4387
now,7288,4453
now,7289,4462
now,7290,4502
now,7291,4467
now,7292,4442
now,7293,4441
now,7294,4635
now,7295,4515
now,7296,4509
now,7297,4279
now,7298,4376
now,7299,4470
now,7300,4492
now,7301,4391
now,7302,4526
now,7303,4480
now,7304,4524
now,7305,4543
now,7306,4458
now,7307,4513
now,7308,4456
now,7309,4490
now,7310,4393
now,7311,4555
now,7312,4467
now,7313,4543
now,7314,4588
now,7315,4480
now,7316,4479
now,7317,4601
now,7318,4437
now,7319,4468
now,7320,4522
now,7321,4589
now,7322,4544
now,7323,4471
now,7324,4489
now,7325,4417
now,7326,4453
now,7327,4520
now,7328,4417
now,7329,4470
now,7330,4380
now,7331,4523
now,7332,4583
now,7333,4330
now,7334,4544
now,7335,4559
now,7336,4579
now,7337,4595
now,7338,4537
now,7339,4414
now,7340,4528
now,7341,4446
now,7342,4487
now,7343,4529
now,7344,4507
now,7345,4515
now,7346,4451
now,7347,4442
now,7348,4539
now,7349,4561
now,7350,4506
now,7351,4546
now,7352,4362
now,7353,4411
now,7354,4650
now,7355,4450
now,7356,4454
now,7357,4459
now,7358,4538
now,7359,4633
now,7360,4583
now,7361,4565
now,7362,4495
now,7363,4547
now,7364,4604
now,7365,4545
now,7366,4586
now,7367,4479
now,7368,4543
now,7369,4662
now,7370,4622
now,7371,4471
now,7372,4459
now,7373,4509
now,7374,4582
now,7375,4406
now,7376,4697
now,7377,4473
now,7378,4583
now,7379,4623
now,7380,4499
