material,ordinal,family,vanilla_regional,ours_coverage_pct,vanilla_coverage_pct,ours_primary_pct,vanilla_primary_pct,ours_presence_pct,vanilla_presence_pct,ours_mean_weight_where_present,vanilla_mean_weight_where_present
plains_01,51,plains & lowlands,0,15.4483,0.0481,21.3982,0.0547,22.2085,0.1452,0.6956,0.3314
forest_pine_01,26,forest & jungle,0,9.7576,4.9334,13.71,6.9203,13.71,9.3042,0.7117,0.5302
hills_01,28,hills,0,11.1367,0.9335,15.6516,1.0661,15.6516,2.7088,0.7115,0.3446
steppe_grass,58,steppe,0,9.8642,0.9965,13.8567,0.7015,13.8567,4.1089,0.7119,0.2425
mountain_02,38,mountain,0,9.5581,0.0636,13.4139,0.0134,13.4139,0.3843,0.7126,0.1654
forest_jungle_01,24,forest & jungle,0,2.8767,4.7168,4.0411,6.1729,4.0411,7.9463,0.7118,0.5936
forest_leaf_01,25,forest & jungle,0,4.7392,1.9172,6.6629,2.7312,6.6629,3.6085,0.7113,0.5313
desert_02,12,desert & drylands,0,6.3755,0.1285,8.9654,0.1282,8.9654,0.4606,0.7111,0.2789
plains_01_noisy,54,plains & lowlands,0,6.1827,0.1135,0.0,0.1406,21.3982,0.3282,0.2889,0.3457
steppe_bushes,57,steppe,0,3.9925,1.5162,0.0,1.1633,13.8567,7.9222,0.2881,0.1914
gen_central_hills,76,hills,1,0.0,5.5082,0.0,4.2152,0.0,19.0753,0.0,0.2888
desert_wavy_01,16,desert & drylands,0,2.5899,2.7345,0.0,3.6982,8.9654,7.3309,0.2889,0.373
hills_01_rocks,29,hills,0,4.515,0.5346,0.0,0.5758,15.6516,1.6462,0.2885,0.3248
snow,56,snow & ice,0,3.9523,0.3348,0.0,0.1658,13.71,1.6145,0.2883,0.2074
central_lowlands_02,63,plains & lowlands,1,0.0,3.981,0.0,3.4729,0.0,15.6591,0.0,0.2542
gen_desert_mountain,92,mountain,1,0.0,3.9413,0.0,3.1739,0.0,16.1293,0.0,0.2444
mountain_02_c,40,mountain,0,3.8558,0.0372,0.0,0.0433,13.4139,0.1015,0.2874,0.3669
forestfloor,27,forest & jungle,0,3.0881,0.7468,0.0,0.7217,10.704,2.4623,0.2885,0.3033
gen_drylands_base,94,desert & drylands,1,0.0,3.462,0.0,3.2427,0.0,13.0268,0.0,0.2658
central_lowlands_03,64,plains & lowlands,1,0.0,3.2665,0.0,2.6297,0.0,13.4723,0.0,0.2425
gen_desert_mountain_transition,93,mountain,1,0.0,3.2376,0.0,2.0863,0.0,14.6611,0.0,0.2208
mountain_03,47,mountain,0,0.0,3.1359,0.0,3.9351,0.0,9.2414,0.0,0.3393
gen_central_mountain_transition,78,mountain,1,0.0,2.9611,0.0,3.3756,0.0,10.8038,0.0,0.2741
