x_px,ck2_derived,deepened
1750,4266,1621
1751,4266,1602
1752,4266,1571
1753,4266,1527
1754,4215,1472
1755,4215,1406
1756,4215,1330
1757,4215,1243
1758,4215,1148
1759,4215,1044
1760,4163,933
1761,4112,814
1762,4112,694
1763,4112,591
1764,4112,500
1765,4061,421
1766,4009,334
1767,4009,239
1768,4061,138
1769,4061,30
1770,4009,0
1771,3958,0
1772,3958,0
1773,3906,0
1774,3906,0
1775,3855,0
1776,3855,0
1777,3752,0
1778,3701,0
1779,3649,0
1780,3649,0
1781,3701,0
1782,3701,0
1783,3649,0
1784,3598,0
1785,3547,0
1786,3547,0
1787,3444,0
1788,3444,0
1789,3392,0
1790,3392,0
1791,3341,0
1792,3341,0
1793,3290,0
1794,3238,0
1795,3187,0
1796,3135,0
1797,3084,0
1798,3084,0
1799,3135,0
1800,3135,0
1801,3084,0
1802,3084,0
1803,3084,0
1804,3084,0
1805,3084,0
1806,3084,0
1807,3033,0
1808,2981,0
1809,2981,0
1810,2981,0
1811,2981,0
1812,3033,0
1813,3033,0
1814,3033,0
1815,3033,0
1816,3084,0
1817,3084,0
1818,3033,0
1819,3033,0
1820,3033,0
1821,3033,0
1822,3084,0
1823,3084,0
1824,3084,0
1825,3084,0
1826,3084,0
1827,3084,0
1828,3084,0
1829,3084,0
1830,3033,0
1831,3033,0
1832,2981,0
1833,2981,0
1834,2981,0
1835,2981,0
1836,2981,0
1837,3033,0
1838,3084,0
1839,3084,0
1840,3033,0
1841,3033,0
1842,3033,0
1843,2981,0
1844,2981,0
1845,3033,0
1846,3033,0
1847,2930,0
1848,2878,0
1849,2930,0
1850,2981,0
1851,3033,0
1852,2981,0
1853,2930,0
1854,2878,0
1855,2878,0
1856,2878,0
1857,2981,0
1858,2981,0
1859,2930,0
1860,2878,0
1861,2930,0
1862,2981,0
1863,2878,0
1864,2878,0
1865,2930,0
1866,2981,0
1867,2930,0
1868,2930,0
1869,2930,0
1870,2930,0
1871,2981,0
1872,2981,0
1873,2930,0
1874,2930,0
1875,2930,0
1876,2930,0
1877,2981,0
1878,2981,0
1879,2981,0
1880,2981,0
1881,2981,0
1882,2981,0
1883,2981,0
1884,2981,0
1885,2981,0
1886,2981,0
1887,2981,0
1888,2981,0
1889,2981,0
1890,2981,0
1891,2981,0
1892,3033,0
1893,3033,0
1894,3033,0
1895,3033,0
1896,3084,0
1897,3135,0
1898,3084,0
1899,3033,0
1900,3084,0
1901,3084,0
1902,3033,0
1903,3033,0
1904,3033,0
1905,3033,0
1906,3084,0
1907,3084,0
1908,3084,0
1909,3084,0
1910,3084,0
1911,3084,0
1912,3135,0
1913,3135,0
1914,3135,0
1915,3135,0
1916,3187,0
1917,3187,0
1918,3135,0
1919,3187,0
1920,3238,0
1921,3187,0
1922,3135,0
1923,3135,0
1924,3238,0
1925,3290,0
1926,3290,0
1927,3290,0
1928,3290,0
1929,3290,0
1930,3341,0
1931,3341,0
1932,3392,0
1933,3444,0
1934,3444,133
1935,3444,270
1936,3444,402
1937,3495,529
1938,3547,649
1939,3547,763
1940,3547,870
1941,3649,969
1942,3701,1060
1943,3701,1142
1944,3701,1215
1945,3701,1278
1946,3701,1330
1947,3752,1371
1948,3752,1400
1949,3752,1418
1950,3752,1424
1951,3701,1424
1952,3701,1424
1953,3701,1424
1954,3701,1424
1955,3701,1424
1956,3701,1424
1957,3701,1424
1958,3701,1424
1959,3701,1418
1960,3701,1400
1961,3649,1371
1962,3649,1330
1963,3649,1278
1964,3649,1215
1965,3701,1142
1966,3701,1060
1967,3701,969
1968,3701,886
1969,3649,933
1970,3649,969
1971,3649,996
1972,3649,1012
1973,3649,1017
1974,3649,1017
1975,3649,1017
1976,3649,1012
1977,3649,996
1978,3649,969
1979,3649,933
1980,3598,886
1981,3547,829
1982,3547,763
1983,3598,829
1984,3598,886
1985,3598,933
1986,3598,969
1987,3598,996
1988,3598,1012
1989,3598,1017
1990,3547,1131
1991,3547,1261
1992,3495,1383
1993,3495,1497
1994,3495,1602
1995,3495,1698
1996,3495,1784
1997,3495,1858
1998,3444,1921
1999,3444,1970
2000,3444,2006
2001,3444,2027
2002,3392,2035
2003,3392,2035
2004,3392,2027
2005,3392,2006
2006,3392,1970
2007,3392,1921
2008,3392,1858
2009,3341,1784
2010,3290,1698
2011,3290,1602
2012,3290,1497
2013,3341,1383
2014,3341,1261
2015,3290,1131
2016,3238,996
2017,3238,855
2018,3238,708
2019,3238,567
2020,3187,421
2021,3135,270
2022,3135,116
2023,3135,0
2024,3135,0
2025,3084,0
2026,3084,0
2027,3084,0
2028,3135,0
2029,3135,0
2030,3135,0
2031,3135,0
2032,3084,0
2033,2981,0
2034,2981,0
2035,3033,0
2036,3033,0
2037,3033,0
2038,3033,0
2039,3033,0
2040,3033,0
2041,3084,0
2042,3084,0
2043,3033,0
2044,3033,0
2045,3033,0
2046,3033,0
2047,2981,0
2048,2981,0
2049,2981,0
2050,2981,0
2051,2930,0
2052,2930,0
2053,2981,0
2054,2981,0
2055,2930,0
2056,2930,0
2057,2930,0
2058,2981,0
2059,2981,0
2060,2981,0
2061,2930,0
2062,2930,0
2063,2981,0
2064,2981,0
2065,2981,0
2066,2981,0
2067,2981,0
2068,2981,0
2069,2981,0
2070,2981,0
2071,2981,0
2072,2981,0
2073,2981,0
2074,2981,0
2075,2981,0
2076,2981,0
2077,2981,0
2078,2981,0
2079,2981,0
2080,3033,0
2081,3033,0
2082,2981,0
2083,2981,0
2084,2981,0
2085,2981,0
2086,2981,0
2087,2981,0
2088,2981,0
2089,2981,0
2090,3033,0
2091,3033,0
2092,3033,0
2093,3033,0
2094,3033,0
2095,3033,0
2096,3033,0
2097,3033,0
2098,3033,0
2099,3033,0
2100,3033,0
2101,3033,0
2102,3033,0
2103,3033,0
2104,3033,0
2105,3033,0
2106,3033,0
2107,3033,0
2108,3033,0
2109,3033,0
2110,3033,0
2111,3033,0
2112,3033,0
2113,3084,0
2114,3084,0
2115,3033,0
2116,3033,0
2117,3033,0
2118,3033,0
2119,3084,0
2120,3084,0
2121,3084,0
2122,3084,0
2123,3084,0
2124,3084,0
2125,3084,0
2126,3084,0
2127,3084,0
2128,3084,0
2129,3135,0
2130,3135,0
2131,3135,0
2132,3135,0
2133,3135,0
2134,3135,0
2135,3135,0
2136,3135,0
2137,3135,0
2138,3135,0
2139,3135,0
2140,3135,0
2141,3135,0
2142,3135,0
2143,3135,0
2144,3135,0
2145,3135,0
2146,3135,0
2147,3135,0
2148,3135,0
2149,3135,0
2150,3135,0
2151,3135,0
2152,3135,0
2153,3135,0
2154,3135,0
2155,3135,0
2156,3135,0
2157,3135,0
2158,3084,0
2159,3084,0
2160,3084,0
2161,3084,0
2162,3187,0
2163,3238,0
2164,3187,0
2165,3187,0
2166,3238,0
2167,3238,0
2168,3238,0
2169,3238,0
2170,3238,0
2171,3238,0
2172,3238,0
2173,3238,0
2174,3238,0
2175,3238,0
2176,3238,0
2177,3238,0
2178,3238,0
2179,3238,0
2180,3238,0
2181,3238,0
2182,3290,0
2183,3290,0
2184,3290,0
2185,3290,0
2186,3290,0
2187,3290,0
2188,3290,0
2189,3290,0
2190,3290,0
2191,3290,0
2192,3290,0
2193,3341,0
2194,3341,0
2195,3341,0
2196,3341,0
2197,3290,0
2198,3290,0
2199,3290,0
2200,3290,0
2201,3341,0
2202,3341,0
2203,3392,0
2204,3392,0
2205,3392,0
2206,3392,0
2207,3392,0
2208,3392,0
2209,3392,0
2210,3392,0
2211,3495,0
2212,3495,0
2213,3495,0
2214,3495,0
2215,3495,0
2216,3495,0
2217,3495,0
2218,3495,0
2219,3547,0
2220,3547,0
2221,3547,0
2222,3547,0
2223,3598,0
2224,3598,0
2225,3649,0
2226,3649,0
2227,3701,0
2228,3701,0
2229,3701,0
2230,3701,0
2231,3701,0
2232,3701,0
2233,3752,0
2234,3804,0
2235,3804,0
2236,3804,0
2237,3804,0
2238,3804,0
2239,3804,0
2240,3804,0
2241,3855,0
2242,3906,0
2243,3906,0
2244,3906,0
2245,3906,0
2246,3958,0
2247,3958,0
2248,4009,0
2249,4009,81
2250,4061,243
2251,4061,402
2252,4061,557
2253,4061,708
2254,4112,855
2255,4112,996
2256,4112,1131
2257,4112,1261
2258,4163,1383
2259,4163,1497
2260,4163,1602
2261,4163,1698
2262,4215,1784
2263,4215,1858
2264,4266,1921
2265,4266,1970
2266,4266,2006
2267,4266,2027
2268,4318,2035
2269,4369,2035
2270,4369,2035
2271,4369,2238
2272,4369,2442
2273,4369,2645
2274,4420,2848
2275,4420,3052
2276,4420,3255
2277,4420,3459
2278,4472,3662
2279,4523,3866
2280,4575,4069
2281,4575,4273
2282,4626,4476
2283,4883,4680
2284,4884,4884
2285,4884,4884
2286,4884,4884
2287,4884,4884
2288,4677,4476
2289,4677,4273
2290,4677,4069
2291,4677,4020
2292,4677,4149
2293,4677,4240
2294,4677,4273
2295,4677,4273
2296,4729,4240
2297,4729,4308
2298,4729,4428
2299,4677,4595
2300,4780,4680
2301,4884,4884
2302,4884,4884
2303,5342,5327
2304,6137,6127
2305,7117,7104
2306,8066,8045
2307,8836,8802
2308,9562,9513
2309,10250,10183
2310,10892,10807
2311,11470,11367
2312,11967,11848
2313,12385,12251
2314,12739,12594
2315,13045,12893
2316,12157,12023
2317,11178,11067
2318,10127,10040
2319,4883,4883
2320,4883,4883
2321,10556,10491
2322,10649,10593
2323,11252,11200
2324,12338,12288
2325,13454,13406
2326,14297,14255
2327,13924,13890
2328,13480,13453
2329,13000,12978
2330,12510,12493
2331,12003,11989
2332,11445,11435
2333,10809,10804
2334,10105,10106
2335,9380,9389
2336,8692,8712
2337,8097,8132
2338,7636,7689
2339,7323,7397
2340,7139,7237
2341,7053,7178
2342,7042,7195
2343,7102,7283
2344,7228,7436
2345,7400,7633
2346,7582,7836
2347,7737,8010
2348,7855,8141
2349,7938,8232
2350,7979,8277
2351,7971,8268
2352,7926,8217
2353,7857,8138
2354,7747,8015
2355,7567,7818
2356,7313,7545
2357,7021,7231
2358,6738,6926
2359,6488,6652
2360,6266,6407
2361,6068,6184
2362,5899,5992
2363,5762,5833
2364,5643,5690
2365,5488,5507
2366,5314,5303
2367,5179,5138
2368,5084,5006
2369,4988,4889
2370,4729,4476
2371,4729,4476
2372,4729,4476
2373,4729,4428
2374,4729,4308
2375,4729,4149
2376,4729,4149
2377,4729,4308
2378,4729,4428
2379,4729,4595
2380,4832,4680
2381,4883,4883
2382,5317,5287
2383,5434,5418
2384,5584,5577
2385,5709,5706
2386,5713,5714
2387,5729,5731
2388,5780,5783
2389,5824,5829
2390,5809,5815
2391,5785,5792
2392,5764,5773
2393,5769,5779
2394,5818,5830
2395,5910,5925
2396,6031,6048
2397,6164,6183
2398,6302,6324
2399,6451,6475
2400,6629,6656
2401,6860,6889
2402,7143,7175
2403,7455,7489
2404,7786,7820
2405,8161,8196
2406,8610,8644
2407,9115,9147
2408,9624,9653
2409,10104,10129
2410,10549,10569
2411,10959,10972
2412,11326,11331
2413,11648,11645
2414,11925,11913
2415,12156,12134
2416,12344,12310
2417,12502,12456
2418,12655,12596
2419,12811,12738
2420,12950,12862
2421,13039,12934
2422,13070,12947
2423,13066,12925
2424,13056,12895
2425,13051,12870
2426,13059,12858
2427,13104,12886
2428,13210,12975
2429,13377,13128
2430,13579,13319
2431,13796,13529
2432,14019,13749
2433,14230,13961
2434,14392,14129
2435,14480,14226
2436,14507,14267
2437,14503,14282
2438,14468,14268
2439,14370,14195
2440,14197,14049
2441,13971,13854
2442,13730,13646
2443,13502,13452
2444,13293,13280
2445,13086,13111
2446,12856,12919
2447,12601,12704
2448,12353,12494
2449,12127,12307
