cliff_threshold_risers,n_edges,lag_px,baseline_km,drop_plain_risers,drop_deterrace_risers,drop_shipped_risers,kept_deterrace_pct,kept_shipped_pct
2,56257,1,1.48,2.499,2.4,1.427,96.1,57.1
2,56257,2,4.45,5.94,5.644,2.944,95.0,49.6
2,56257,3,7.42,8.545,8.31,4.434,97.3,51.9
2,56257,4,10.39,10.476,10.297,5.668,98.3,54.1
2,56257,6,16.32,13.574,13.383,7.96,98.6,58.6
2,56257,8,22.26,15.247,15.085,9.669,98.9,63.4
2,56257,12,34.13,16.681,16.61,12.464,99.6,74.7
4,6224,1,1.48,4.516,4.989,1.874,110.5,41.5
4,6224,2,4.45,11.43,11.548,3.266,101.0,28.6
4,6224,3,7.42,16.392,16.361,5.098,99.8,31.1
4,6224,4,10.39,19.603,19.441,7.104,99.2,36.2
4,6224,6,16.32,23.275,23.056,10.614,99.1,45.6
4,6224,8,22.26,24.492,24.297,12.878,99.2,52.6
4,6224,12,34.13,24.602,24.506,16.578,99.6,67.4
6,700,1,1.48,6.638,6.786,1.836,102.2,27.7
6,700,2,4.45,16.853,17.045,3.682,101.1,21.8
6,700,3,7.42,23.323,23.312,6.347,100.0,27.2
6,700,4,10.39,26.485,26.298,9.346,99.3,35.3
6,700,6,16.32,27.399,27.174,13.635,99.2,49.8
6,700,8,22.26,25.902,25.666,14.614,99.1,56.4
6,700,12,34.13,24.689,24.528,17.393,99.4,70.4
