stage,class,edges,pct,n_edges_total,mean_risers,p99_risers,max_risers
ck2_plain_rescale,flat (0),366961,48.45,757403,0.7886,4.0,13.999
ck2_plain_rescale,sub-riser,385,0.051,757403,0.7886,4.0,13.999
ck2_plain_rescale,1 riser (quantisation),258634,34.147,757403,0.7886,4.0,13.999
ck2_plain_rescale,2 risers,83453,11.018,757403,0.7886,4.0,13.999
ck2_plain_rescale,3-4 risers,41633,5.497,757403,0.7886,4.0,13.999
ck2_plain_rescale,>=5 risers,6337,0.837,757403,0.7886,4.0,13.999
after_deterrace,flat (0),24273,3.205,757403,0.6526,5.282,14.193
after_deterrace,sub-riser,539592,71.242,757403,0.6526,5.282,14.193
after_deterrace,1 riser (quantisation),107955,14.253,757403,0.6526,5.282,14.193
after_deterrace,2 risers,18861,2.49,757403,0.6526,5.282,14.193
after_deterrace,3-4 risers,47793,6.31,757403,0.6526,5.282,14.193
after_deterrace,>=5 risers,18929,2.499,757403,0.6526,5.282,14.193
shipped,flat (0),10885,1.437,757403,1.0588,6.985,20.165
shipped,sub-riser,380659,50.258,757403,1.0588,6.985,20.165
shipped,1 riser (quantisation),200344,26.451,757403,1.0588,6.985,20.165
shipped,2 risers,71414,9.429,757403,1.0588,6.985,20.165
shipped,3-4 risers,62723,8.281,757403,1.0588,6.985,20.165
shipped,>=5 risers,31378,4.143,757403,1.0588,6.985,20.165
