transect,canvas_row,canvas_col,ck2_source,plain,deterrace,shipped,land
A,1842,4711,21781,21781,21566,26282,1
A,1842,4712,22058,22058,21669,25568,1
A,1842,4713,22058,21781,21690,24578,1
A,1842,4714,21781,21781,21641,23308,1
A,1842,4715,21781,21781,21527,21825,1
A,1842,4716,21227,21227,21297,20363,1
A,1842,4717,21227,20950,21129,19473,1
A,1842,4718,20673,20673,20921,19116,1
A,1842,4719,20673,20396,20787,19053,1
A,1842,4720,19842,20119,19826,17994,1
A,1842,4721,19842,19842,19765,17620,1
A,1842,4722,19565,19288,19699,17286,1
A,1842,4723,19565,19288,19647,17250,1
A,1842,4724,19842,19565,19620,17518,1
A,1842,4725,19842,19565,19599,17870,1
A,1842,4726,19842,19842,19554,18091,1
A,1842,4727,19842,19842,19529,18221,1
A,1842,4728,19842,19842,19478,18240,1
A,1842,4729,19842,19842,19377,17995,1
A,1842,4730,19011,19288,19209,17303,1
A,1842,4731,19011,19011,19014,16200,1
A,1842,4732,18457,18734,18789,14831,1
A,1842,4733,18457,18457,18513,13395,1
A,1842,4734,17349,17903,18100,12039,1
A,1842,4735,17349,17072,17141,10517,1
A,1842,4736,15964,16241,16001,9171,1
A,1842,4737,15964,15409,15405,8515,1
A,1842,4738,14301,14578,14227,7575,1
A,1842,4739,13470,14024,14056,7533,1
A,1842,4740,13470,13470,13972,7767,1
A,1842,4741,11808,12639,12860,7474,1
A,1842,4742,11808,11808,11658,7205,1
A,1842,4743,11808,11531,11511,7713,1
A,1842,4744,11808,11254,11215,8029,1
A,1842,4745,11254,11254,11043,8459,1
A,1842,4746,11254,10977,10931,8875,1
A,1842,4747,10700,10700,10696,8957,1
A,1842,4748,10700,10423,10469,8886,1
A,1842,4749,10423,10146,10321,8888,1
A,1842,4750,10423,10146,10228,9011,1
A,1842,4751,10423,10146,10196,9252,1
A,1842,4752,10423,10146,10214,9588,1
A,1842,4753,9592,10146,10207,9990,1
A,1842,4754,9592,9315,9481,9809,1
A,1842,4755,9869,9315,9447,10375,1
A,1842,4756,9869,9592,9407,10782,1
A,1842,4757,9592,9592,9345,10869,1
A,1842,4758,9592,9315,9245,10661,1
A,1842,4759,8761,9315,9102,10365,1
A,1842,4760,8761,8761,8948,10225,1
A,1842,4761,7930,8207,8125,9553,1
A,1842,4762,7930,7930,8061,9565,1
A,1842,4763,7930,7930,7960,9409,1
A,1842,4764,7930,7930,7818,9266,1
A,1842,4765,7376,7653,7634,9228,1
A,1842,4766,7376,7376,7492,9262,1
A,1842,4767,7376,7376,7391,9276,1
A,1842,4768,7376,7376,7312,9284,1
A,1842,4769,7376,7376,7233,9288,1
