file,ours,vanilla
reeds_01_generator_1.txt,25162,47085
steppe_bush_01_generator.txt,613,4647
tree_cypress_01_generator_1.txt,7795,7138
tree_jungle_01_c_generator_1.txt,4951,1227
tree_jungle_01_d_generator_1.txt,159334,38113
tree_leaf_01_single_generator_1.txt,6755,3954
tree_leaf_2_high_generator_1.txt,23074,14831
tree_leaf_high_generator_1.txt,183844,138645
tree_leaf_high_generator_2.txt,46456,36248
tree_leaf_high_generator_3.txt,94869,74170
tree_palm_generator_1.txt,2010,12739
tree_pine_01_a_generator_1.txt,24951,51997
tree_pine_01_b_generator_1.txt,119643,87196
tree_pine_impassable_01_a_generator_1.txt,671,30406
tree_sakura_01_generator.txt,218,323
tree_sakura_02_generator.txt,0,53
tree_sakura_03_generator.txt,192,143
tree_sakura_forest_generator.txt,84,211
